REGION,admin1,PROVINCE,admin2,COMMUNE,admin3,pop_improved_water_source,pop_improved_sanitation,taux_fct
Boucle du Mouhoun,boucle_du_mouhoun,BALE,Bale,BAGASSI,bagassi,0.9261054899756418,2.494,89.22155688622755
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,BANA,bana,0.8167366526694662,1.417,92.64705882352942
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,BOROMO,boromo,0.9386085978633134,810,86.02941176470588
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,FARA,fara,0.7573051948051948,1.283,94.11764705882352
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,OURi,ouri,0.8974269414367214,1.531,86.29032258064517
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,PA,pa,0.6637451142958664,1.499,78.2051282051282
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,POMPOI,pompoi,0.9266068019514955,965,88.52459016393442
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,POURA,poura,0.49241157986227185,203,97.67441860465115
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,SIBY,siby,0.7189222290263318,1.13,81.94444444444444
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BALE,Bale,YAHO,yaho,0.7902410289136518,1.394,84.84848484848484
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BANWA,Banwa,BALAVE,balave,0.724479969183359,1.562,94.91525423728814
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BANWA,Banwa,KOUKA,kouka,0.4278117121749928,2.467,83.78378378378379
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BANWA,Banwa,SAMI,sami,0.6818510484454086,480,86.04651162790698
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BANWA,Banwa,SANABA,sanaba,0.7100009034239769,1.336,87.5
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BANWA,Banwa,SOLENZO,solenzo,0.4386744436601404,481,93.78531073446328
BOUCLE DU MOUHOUN,boucle_du_mouhoun,BANWA,Banwa,TANSILA,tansila,0.7064679265371306,225,89.56521739130436
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,BARANI,barani,0.5795746785361029,788,76.61290322580645
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,BOMBOROKUY,bomborokuy,0.6707836686262877,392,76.74418604651163
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,BOURASSO,bourasso,0.72648881703045,688,81.03448275862068
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,DJIBASSO,djibasso,0.6166235475332367,1.08,84.6938775510204
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,DOKUY,dokuy,0.5510324318258333,313,77.94117647058823
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,DOUMBALA,doumbala,0.7260000570239216,832,73.17073170731707
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,KOMBORI,kombori,0.68820095252727,439,86.8421052631579
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,MADOUBA,madouba,0.8044698544698544,342,93.54838709677419
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,NOUNA,nouna,0.682754757543185,427,83.15217391304348
BOUCLE DU MOUHOUN,boucle_du_mouhoun,KOSSI,Kossi,SONO,sono,0.6183686307401971,530,83.78378378378379
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,BONDOKUY,bondokuy,0.4996875390576178,1.379,84.17266187050359
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,DEDOUGOU,dedougou,0.6753798504921436,763,90
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,DOUROULA,douroula,0.7028571428571428,610,90.9090909090909
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,KONA,kona,0.8314700616669982,407,91.56626506024097
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,OUARKOYE,ouarkoye,0.7011936152653933,853,87.89808917197452
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,SAFANE,safane,0.7069996650877949,783,92.04545454545455
BOUCLE DU MOUHOUN,boucle_du_mouhoun,MOUHOUN,Mouhoun,TCHERIBA,tcheriba,0.5869773442539633,572,93.60000000000001
BOUCLE DU MOUHOUN,boucle_du_mouhoun,NAYALA,Nayala,GASSAN,gassan,0.8160390986132512,1.046,72.54901960784314
BOUCLE DU MOUHOUN,boucle_du_mouhoun,NAYALA,Nayala,GOSSINA,gossina,0.626380134523457,117,73.77049180327869
BOUCLE DU MOUHOUN,boucle_du_mouhoun,NAYALA,Nayala,KOUGNY,kougny,0.7448016047751846,413,76.74418604651163
BOUCLE DU MOUHOUN,boucle_du_mouhoun,NAYALA,Nayala,TOMA,toma,0.6955169258920403,219,82.56880733944955
BOUCLE DU MOUHOUN,boucle_du_mouhoun,NAYALA,Nayala,YABA,yaba,0.8943642865951412,441,84.78260869565217
BOUCLE DU MOUHOUN,boucle_du_mouhoun,NAYALA,Nayala,YE,ye,0.7034364788701507,311,88.67924528301887
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,DI,di,0.5713632055430271,758,71.25
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,GOMBORO,gomboro,0.7816410895294185,141,83.72093023255815
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,KASSOUM,kassoum,0.7385396446169927,521,65.4320987654321
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,KIEMBARA,kiembara,0.7462014181372287,520,65.4320987654321
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,LANFIERA,lanfiera,0.7265945542707944,514,80
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,LANKOUE,lankoue,0.6453470067017496,408,64.28571428571429
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,TOENI,toeni,0.6535561179691132,329,49.42528735632184
BOUCLE DU MOUHOUN,boucle_du_mouhoun,SOUROU,Sourou,TOUGAN,tougan,0.7381621187800963,230,66
CASCADES,cascades,COMOE,Comoe,BANFORA,banfora,0.7760744682582305,1.198,96.72727272727273
CASCADES,cascades,COMOE,Comoe,BEREGADOUGOU,beregadougou,0.7976283048211509,779,96.29629629629629
CASCADES,cascades,COMOE,Comoe,MANGODARA,mangodara,0.47956922814716973,1.204,95.23809523809523
CASCADES,cascades,COMOE,Comoe,MOUSSODOUGOU,moussodougou,0.8111081724411532,761,100
CASCADES,cascades,COMOE,Comoe,NIANGOLOKO,niangoloko,0.5464951430821738,598,95.40229885057471
CASCADES,cascades,COMOE,Comoe,OUO,ouo,0.645229348689436,525,97.31543624161074
CASCADES,cascades,COMOE,Comoe,SIDERADOUGOU,sideradougou,0.5015988900512683,1.44,96.7948717948718
CASCADES,cascades,COMOE,Comoe,SOUBAKANIEDOUGOU,soubakaniedougou,0.6664242757753233,344,100
