admin2,semaine,nb_cases_cholera,nb_cases_awd,nb_death_awd,nb_cases_meningitis,nb_cases_malaria,nb_cases_dengues,femme_local,homme_local,total_local,total,total_pdi,weights_adm2,nb_cases_cholera_twoWeeks_mean,nb_cases_awd_twoWeeks_mean,nb_death_awd_twoWeeks_mean,nb_cases_meningitis_twoWeeks_mean,nb_cases_malaria_twoWeeks_mean,nb_cases_dengues_twoWeeks_mean,nb_cases_cholera_per100k,nb_cases_awd_per100k,nb_death_awd_per100k,nb_cases_meningitis_per100k,nb_cases_malaria_per100k,nb_cases_dengues_per100k,nb_cases_cholera_twoWeeks_mean_per100k,nb_cases_awd_twoWeeks_mean_per100k,nb_death_awd_twoWeeks_mean_per100k,nb_cases_meningitis_twoWeeks_mean_per100k,nb_cases_malaria_twoWeeks_mean_per100k,nb_cases_dengues_twoWeeks_mean_per100k
bale,1,0,0,0,0,90,0,164538,160742,325280,336155,NA,0.012036696141303519,NA,NA,NA,NA,NA,NA,0,0,0,0,26.773363478157396,0,NA,NA,NA,NA,NA,NA
bale,2,0,0,0,0,72,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,81,0,0,0,0,0,21.418690782525918,0,0,0,0,0,24.096027130341657,0
bale,3,0,0,0,0,69,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,70.5,0,0,0,0,0,20.526245333254003,0,0,0,0,0,20.972468057889962,0
bale,4,0,0,0,0,71,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,70,0,0,0,0,0,21.121208966101946,0,0,0,0,0,20.823727149677975,0
bale,5,0,0,0,0,60,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,65.5,0,0,0,0,0,17.848908985438268,0,0,0,0,0,19.485058975770105,0
bale,6,0,0,0,1,77,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0.5,68.5,0,0,0,0,0.2974818164239711,22.906099864645775,0,0,0,0,0.14874090821198555,20.37750442504202,0
bale,7,0,1,0,1,86,1,164538,160742,325280,336155,NA,0.012036696141303519,0,0.5,0,1,81.5,0.5,0,0.2974818164239711,0,0.2974818164239711,25.583436212461514,0.2974818164239711,0,0.14874090821198555,0,0.2974818164239711,24.24476803855364,0.14874090821198555
bale,8,0,0,0,1,74,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0.5,0,1,80,0.5,0,0,0,0.2974818164239711,22.01365441537386,0,0,0.14874090821198555,0,0.2974818164239711,23.798545313917685,0.14874090821198555
bale,9,0,0,0,2,67,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,1.5,70.5,0,0,0,0,0.5949636328479422,19.93128170040606,0,0,0,0,0.44622272463595664,20.972468057889962,0
bale,10,0,0,0,2,52,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,2,59.5,0,0,0,0,0.5949636328479422,15.469054454046496,0,0,0,0,0.5949636328479422,17.70016807722628,0
bale,11,0,1,0,0,58,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0.5,0,1,55,0,0,0.2974818164239711,0,0,17.25394535259032,0,0,0.14874090821198555,0,0.2974818164239711,16.36149990331841,0
bale,12,0,0,0,1,59,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0.5,0,0.5,58.5,0,0,0,0,0.2974818164239711,17.551427169014296,0,0,0.14874090821198555,0,0.14874090821198555,17.40268626080231,0
bale,13,0,0,0,0,42,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0.5,50.5,0,0,0,0,0,12.494236289806786,0,0,0,0,0.14874090821198555,15.022831729410541,0
bale,14,0,0,0,0,49,1,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,45.5,0.5,0,0,0,0,14.576609004774584,0.2974818164239711,0,0,0,0,13.535422647290686,0.14874090821198555
bale,15,0,0,0,1,29,2,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0.5,39,1.5,0,0,0,0.2974818164239711,8.62697267629516,0.5949636328479422,0,0,0,0.14874090821198555,11.601790840534873,0.44622272463595664
bale,16,0,0,0,0,46,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0.5,37.5,1,0,0,0,0,13.68416355550267,0,0,0,0,0.14874090821198555,11.155568115898916,0.2974818164239711
bale,17,0,0,0,0,25,1,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,35.5,0.5,0,0,0,0,7.437045410599277,0.2974818164239711,0,0,0,0,10.560604483050973,0.14874090821198555
bale,18,0,0,0,0,27,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0,0,0,26,0.5,0,0,0,0,8.03200904344722,0,0,0,0,0,7.734527227023248,0.14874090821198555
bale,19,0,1,0,0,34,0,164538,160742,325280,336155,NA,0.012036696141303519,0,0.5,0,0,30.5,0,0,0.2974818164239711,0,0,10.114381758415016,0,0,0.14874090821198555,0,0,9.073195400931118,0
bale,20,0,2,0,0,27,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1.5,0,0,30.5,0,0,0.5949636328479422,0,0,8.03200904344722,0,0,0.44622272463595664,0,0,9.073195400931118,0
bale,21,0,0,0,0,32,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1,0,0,29.5,0,0,0,0,0,9.519418125567075,0,0,0.2974818164239711,0,0,8.775713584507148,0
bale,22,0,2,0,0,34,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1,0,0,33,0,0,0.5949636328479422,0,0,10.114381758415016,0,0,0.2974818164239711,0,0,9.816899941991046,0
bale,23,0,1,0,0,29,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1.5,0,0,31.5,0,0,0.2974818164239711,0,0,8.62697267629516,0,0,0.44622272463595664,0,0,9.37067721735509,0
bale,24,0,1,0,0,35,0,164538,160742,325280,336155,NA,0.012036696141303519,0,1,0,0,32,0,0,0.2974818164239711,0,0,10.411863574838987,0,0,0.2974818164239711,0,0,9.519418125567075,0
