x_coord,y_coord,date,rain,evap,depth,scaled_depth,medianDepth,Condition,area_ha
-0.989342859,13.0671524761,2000-01-01,0,5.053904,0,0,49.215765,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-02,0,5.195093,0,0,48.960255,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-03,0,4.735951,0,0,48.331,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-04,0,5.086144,0,0,47.926695,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-05,0,4.923833,0,0,47.5305,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-06,0,4.944955,0,0,47.37571,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-07,0,5.009435,0,0,46.97524,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-08,0,5.339618,0,0,46.55826,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-09,0,5.578639,0,0,46.129325,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-10,0,5.399275,0,0,45.709365,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-11,0,5.477626,0,0,45.28548,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-12,0,5.088743,0,0,44.881045,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-13,0,5.58318,0,0,44.451885,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-14,0,5.484292,0,0,44.02767,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-15,0,5.483182,0,0,43.60351,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-16,0,5.566514,0,0,43.175185,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-17,0,5.508737,0,0,42.74975,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-18,0,5.597625,0,0,42.319865,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-19,0,5.839843,0,0,41.877875,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-20,0,5.510959,0,0,41.452325,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-21,0,5.523393,0,0,41.026155,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-22,0,5.897682,0,0,40.581275,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-23,0,5.755519,0,0,40.1435,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-24,0.4277992,5.801056,0,0,39.703445,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-25,0,5.65445,0,0,39.270725,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-26,0,5.625573,0,0,38.839445,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-27,0,5.967652,0,0,38.391065,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-28,0,6.053172,0,0,37.938405,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-29,0,4.895878,0,0,37.54361,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-30,0,5.801056,0,0,37.10356,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-01-31,0,6.15313,0,0,36.6459,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-01,0,6.103354,0,0,36.190735,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-02,0,6.335458,0,0,35.72396,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-03,0,6.204695,0,0,35.263725,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-04,0,6.462952,0,0,34.79058,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-05,0,6.120789,0,0,34.33454,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-06,0,5.763371,0,0,33.89637,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-07,0,5.656581,0,0,33.463545,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-08,0,6.312574,0,0,32.997915,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-09,0,6.122969,0,0,32.541765,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-10,0,6.096816,0,0,32.086925,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-11,0,6.611198,0,0,31.63184,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-12,0,6.309351,0,0,31.16637,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-13,0,6.198203,0,0,30.70646,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-14,0,5.949751,0,0,30.258975,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-15,0,5.912702,0,0,29.81334,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-16,0,6.13609,0,0,29.356535,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-17,0,5.712197,0,0,28.92093,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-18,0,5.714376,0,0,28.48521,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-19,0,5.816808,0,0,28.04437,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-20,0,6.368196,0,0,27.57596,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-21,0,6.737383,0,0,27.08909,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-22,0,6.925833,0,0,26.75964,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-23,0,6.934548,0,0,26.262915,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-24,0,6.707971,0,0,25.777515,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-25,0,7.109927,0,0,25.27202,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-26,0,6.373553,0,0,24.803345,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-27,0,6.768973,0,0,24.314895,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-02-28,0,6.505359,0,0,23.839625,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-01,0,6.519036,0,0,23.363675,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-02,0,6.824292,0,0,22.87246,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-03,0,6.465629,0,0,22.39918,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-04,0,7.006316,0,0,21.898865,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-05,0,7.112945,0,0,21.393215,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-06,0,7.067709,0,0,20.88983,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-07,0,6.88353,0,0,20.395655,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-08,0,6.524867,0,0,19.91941,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-09,0,6.379464,0,0,19.450435,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-10,0,6.739461,0,0,18.963465,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-11,0,6.926204,0,0,18.467155,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-12,0,6.611572,0,0,17.986575,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-13,0,6.623424,0,0,17.505405,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-14,0,6.362669,0,0,17.183125,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-15,0,6.503821,0,0,16.707935,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-16,0,6.919738,0,0,16.21195,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-17,0,7.179417,0,0,15.70298,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-18,0,6.576014,0,0,15.224175,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-19,0,7.132007,0,0,14.717575,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-20,0,6.554365,0,0,14.23986,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-21,0,7.172852,0,0,13.731215,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-22,0,6.68159,0,0,13.247135,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-23,0,6.37563,0,0,12.778355,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-24,0,6.959541,0,0,12.28038,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-25,0,6.962773,0,0,11.78224,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-26,0,7.705053,0,0,11.246985,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-27,0,7.14161,0,0,10.739905,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-28,0,6.934763,0,0,10.24317,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-29,0,6.489826,0,0,9.76868,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-30,0,6.929377,0,0,10.111135,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-03-31,1,7.267491,0,0,9.59776,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-01,0,7.052368,0,0,9.45585,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-02,0,7.667723,0,0,8.922465,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-03,0,7.807027,0,0,8.382115,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-04,7.055598,7.770685,0.01680624,0.840312,7.84358,Alert,45.0393981934
-0.989342859,13.0671524761,2000-04-05,0,7.26435,0.006541891,0.32709455,7.33036,Alert,45.0393981934
-0.989342859,13.0671524761,2000-04-06,0,6.498789,0,0,6.855425,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-07,0,7.114145,0,0,6.349715,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-08,0,6.856132,0,0,5.85691,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-09,0,7.664089,0,0,5.323705,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-10,0,7.457005,0,0,4.9950725,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-11,0,7.227624,0,0,4.4836915,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-12,0,7.104261,0,0,3.9784785,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-13,0,7.867419,0,0,3.4351075,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-14,0,7.254232,0,0,3.117822,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-15,0,7.18043,0,0,3.483853,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-16,0,7.121167,0,0,2.9962055,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-17,0,6.488629,0,0,2.521774,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-18,0,7.255415,0,0,2.0090035,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-19,0,6.674883,0,0,1.5252595,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-20,0,6.919562,0,0,1.029281,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-21,0,6.950486,0,0,0.531757,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-22,0,7.465158,0,0,0.836574,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-23,0,7.424081,0,0,0.65487,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-24,0,7.07251,0,0,0.1512446,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-25,0,7.083383,0,0,0.45756755,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-26,0,7.302058,0,0,0.4436156,Near-Dry,45.0393981934
-0.989342859,13.0671524761,2000-04-27,0,6.874374,0,0,3.2426125,Near-Dry,45.0393981934
