Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_FR,ADM0_PCODE,date,validOn,validTo,id,type_clima
5.08060572541,0.37603953635,Bal?,BF4601,Bale,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
3.08247554442,0.33348285523,Bam,BF4901,,,,Centre-Nord,BF49,Burkina Faso,BF,2020/03/18,2020/03/23,,1,sahelien
5.37418527303,0.4835194824,Banwa,BF4602,,,,Boucle du Mouhoun,BF46,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
3.879034643,0.30864053369,Baz?ga,BF5101,Bazega,,,Centre-Sud,BF51,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
3.3515163041,0.22739934162,Bougouriba,BF5701,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,3,soudanais
5.54415254398,0.52646857154,Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
5.54415254398,0.52646857154,Boulgou,BF4801,,,,Centre-Est,BF48,Burkina Faso,BF,2020/03/18,2020/03/23,,3,soudanais
4.20528686611,0.35472143584,Boulkiemd?,BF5001,Boulkiemde,,,Centre-Ouest,BF50,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
8.45663022126,1.26143312419,Como?,BF4701,Comoe,,,Cascades,BF47,Burkina Faso,BF,2020/03/18,2020/03/23,,3,soudanais
3.69106435873,0.35740865029,Ganzourgou,BF5501,,,,Plateau-Central,BF55,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
6.64565291962,0.77043525196,Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,1,sahelien
6.64565291962,0.77043525196,Gnagna,BF5201,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
7.92828632128,0.91148628061,Gourma,BF5202,,,,Est,BF52,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
7.48026827085,0.94321173302,Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
7.48026827085,0.94321173302,Houet,BF5301,,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,3,soudanais
3.52302810348,0.27250629124,Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
3.52302810348,0.27250629124,Ioba,BF5702,,,,Sud-Ouest,BF57,Burkina Faso,BF,2020/03/18,2020/03/23,,3,soudanais
3.28716824267,0.24830211969,Kadiogo,BF1300,,,,Centre,BF13,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
4.99390351331,0.69568620628,K?n?dougou,BF5302,Kenedougou,,,Hauts-Bassins,BF53,Burkina Faso,BF,2020/03/18,2020/03/23,,2,soudano_sahelien
