admin1,admin2,gam_WfH_zscore_n,gam_WfH_zscore,gam_WfH_zscore_ci_min,gam_WfH_zscore_ci_max
boucle_du_mouhoun,bale,388,7,4.5,10.5
boucle_du_mouhoun,banwa,423,5.7,3.7,8.7
boucle_du_mouhoun,kossi,425,NA,NA,NA
boucle_du_mouhoun,mouhoun,355,6.2,3.7,10.2
boucle_du_mouhoun,nayala,430,8.6,5.9,12.3
boucle_du_mouhoun,sourou,384,NA,NA,NA
cascades,comoe,474,7,5,9.6
cascades,leraba,489,4.5,2.5,8
centre,kadiogo,294,8.8,6.1,12.6
centre_est,boulgou,414,9.2,6.5,12.9
centre_est,koulpelogo,467,NA,NA,NA
centre_est,kouritenga,491,9,6.8,11.7
centre_nord,bam,520,NA,NA,NA
centre_nord,namentenga,569,8.3,6,11.3
centre_nord,sanmatenga,533,8.3,5.7,11.8
centre_ouest,boulkiemde,488,7.6,5.7,10.1
centre_ouest,sanguie,472,10,6.5,15
centre_ouest,sissili,427,7.3,4.7,11
centre_ouest,ziro,527,9.9,7.5,12.9
centre_sud,bazega,450,6,4,8.9
centre_sud,nahouri,418,4.8,2.9,7.8
centre_sud,zoundweogo,475,5.5,3.7,8
est,gnagna,510,5.7,4.2,7.7
est,gourma,430,9.1,6.9,11.8
est,komonjdjari,378,NA,NA,NA
est,kompienga,348,NA,NA,NA
est,tapoa,573,8.7,6.1,12.3
hauts_bassins,houet,380,7.1,4.8,10.4
hauts_bassins,kenedougou,433,8.8,6.6,11.7
hauts_bassins,tuy,402,7,4.6,10.5
nord,loroum,449,NA,NA,NA
nord,passore,454,5.7,3.9,8.3
nord,yatenga,413,9.2,6.8,12.4
nord,zondoma,480,8.8,6.8,11.1
plateau_central,ganzourgou,540,8,6,10.4
plateau_central,kourweogo,408,8.1,6.8,9.6
plateau_central,oubritenga,504,8.5,7.6,9.6
sahel,oudalan,424,NA,NA,NA
sahel,seno,494,11.3,10,12.8
sahel,soum,248,NA,NA,NA
sahel,yagha,311,NA,NA,NA
sud_ouest,bougouriba,374,5.3,3.5,8
sud_ouest,ioba,464,7.3,3.7,14.1
sud_ouest,noumbiel,444,7,3.1,15.1
sud_ouest,poni,411,7.5,4.9,11.5
