admin1,admin2,gam_WfH_zscore_n,gam_WfH_zscore,gam_WfH_zscore_ci_min,gam_WfH_zscore_ci_max,perc_diarrhee,perc_diarrhee_ci_min,perc_diarrhee_ci_max,perc_fievre,perc_fievre_min,perc_fievre_max
boucle_du_mouhoun,bale,388,7,4.5,10.5,17.8,13.2,23.5,33.3,26.7,40.7
boucle_du_mouhoun,banwa,423,5.7,3.7,8.7,15.5,11.7,20.2,22.9,16,31.5
boucle_du_mouhoun,kossi,425,NA,NA,NA,25.4,21.9,29.1,49,43.7,54.4
boucle_du_mouhoun,mouhoun,355,6.2,3.7,10.2,24.1,18.8,30.3,36.1,31.8,40.6
boucle_du_mouhoun,nayala,430,8.6,5.9,12.3,24.5,19.5,30.4,36.7,31.9,41.8
boucle_du_mouhoun,sourou,384,NA,NA,NA,10.3,7.3,14.3,15.5,11.3,21.1
cascades,comoe,474,7,5,9.6,23.2,18.8,28.1,30.4,24.7,36.9
cascades,leraba,489,4.5,2.5,8,NA,NA,NA,NA,NA,NA
centre,kadiogo,294,8.8,6.1,12.6,12.3,8.2,17.9,17.8,11.8,26
centre_est,boulgou,414,9.2,6.5,12.9,15,10.5,21,34.2,26.9,42.3
centre_est,koulpelogo,467,NA,NA,NA,NA,NA,NA,NA,NA,NA
centre_est,kouritenga,491,9,6.8,11.7,21.2,15.9,27.5,43.7,38.3,49.1
centre_nord,bam,520,NA,NA,NA,17.7,12.8,23.9,25.1,19.5,31.7
centre_nord,namentenga,569,8.3,6,11.3,13.1,8.9,18.9,24.9,17.4,34.4
centre_nord,sanmatenga,533,8.3,5.7,11.8,19.6,15.7,24.2,36.8,30.8,43.1
centre_ouest,boulkiemde,488,7.6,5.7,10.1,14.5,9.6,21.4,23.4,16.9,31.5
centre_ouest,sanguie,472,10,6.5,15,11.2,7.8,15.8,18.2,13.5,24.2
centre_ouest,sissili,427,7.3,4.7,11,13.9,9.9,19.1,32.3,23.1,43.1
centre_ouest,ziro,527,9.9,7.5,12.9,19.5,15.5,24.2,33,26.7,39.9
centre_sud,bazega,450,6,4,8.9,16.4,12.8,20.8,32.8,27.2,39
centre_sud,nahouri,418,4.8,2.9,7.8,17.9,13.6,23.1,38.9,30.5,48.1
centre_sud,zoundweogo,475,5.5,3.7,8,NA,NA,NA,NA,NA,NA
est,gnagna,510,5.7,4.2,7.7,20.1,16.1,24.7,38.4,33.1,44
est,gourma,430,9.1,6.9,11.8,22,17.5,27.3,39.9,32.7,47.5
est,komonjdjari,378,NA,NA,NA,NA,NA,NA,NA,NA,NA
est,kompienga,348,NA,NA,NA,24.4,18.2,32,41.5,33.5,50
est,tapoa,573,8.7,6.1,12.3,13.4,9.3,18.9,21.2,16.1,27.3
hauts_bassins,houet,380,7.1,4.8,10.4,20.9,15.5,27.5,34.6,25.2,45.3
hauts_bassins,kenedougou,433,8.8,6.6,11.7,12.6,8.8,17.8,14.4,9.3,21.7
hauts_bassins,tuy,402,7,4.6,10.5,12.3,8.1,18.3,26.4,20.9,32.8
nord,loroum,449,NA,NA,NA,NA,NA,NA,NA,NA,NA
nord,passore,454,5.7,3.9,8.3,26.9,21.3,33.4,38.7,31.7,46.3
nord,yatenga,413,9.2,6.8,12.4,13.7,7.7,23,20.6,12.4,32.2
nord,zondoma,480,8.8,6.8,11.1,NA,NA,NA,NA,NA,NA
plateau_central,ganzourgou,540,8,6,10.4,16.5,10.3,25.3,26.8,18.8,36.5
plateau_central,kourweogo,408,8.1,6.8,9.6,22.4,16.7,29.4,39.8,32.7,47.3
plateau_central,oubritenga,504,8.5,7.6,9.6,19.3,15.5,23.9,54.4,46.9,61.8
sahel,oudalan,424,NA,NA,NA,17.7,11.5,26.2,16.1,11,22.9
sahel,seno,494,11.3,10,12.8,40.3,33.1,47.9,43.4,35.3,51.8
sahel,soum,248,NA,NA,NA,10.4,4.1,23.7,18.8,7.7,39.1
sahel,yagha,311,NA,NA,NA,29.3,20.7,39.6,44,34.4,54.1
sud_ouest,bougouriba,374,5.3,3.5,8,16.6,13.2,20.7,37.2,30.6,44.3
sud_ouest,ioba,464,7.3,3.7,14.1,16.2,12.8,20.4,35.1,31,39.5
sud_ouest,noumbiel,444,7,3.1,15.1,17.2,13,22.4,32.2,24.7,40.7
sud_ouest,poni,411,7.5,4.9,11.5,11,7.6,15.8,26.8,22.8,31.1
