admin2,indicator,choice,value,context
bale,key_score,2-/-1,0.048375538133428375,bfa_2020
bale,key_score,2-/-2,0.2598389444044569,bfa_2020
bale,key_score,2-/-3,0.012526530782948441,bfa_2020
bale,key_score,2-/-4,0.059258735471971385,bfa_2020
bale,key_score,3-/-1,0.06860431951947081,bfa_2020
bale,key_score,3-/-2,0.1557087633805433,bfa_2020
bale,key_score,3-/-3,0.13661165729762265,bfa_2020
bale,key_score,3-/-4,0.12714294206476734,bfa_2020
bale,key_score,4-/-1,0.005587196050334881,bfa_2020
bale,key_score,4-/-2,0.03372964786855337,bfa_2020
bale,key_score,4-/-3,0.03202531392289999,bfa_2020
bale,key_score,4-/-4,0.0453668995729475,bfa_2020
bale,key_score,5-/-2,0.008284176797441478,bfa_2020
bale,key_score,5-/-4,0.00693933473261356,bfa_2020
bam,key_score,1-/-1,0.01209442866168919,bfa_2020
bam,key_score,1-/-2,0.008062952441126127,bfa_2020
bam,key_score,1-/-3,0.0040314762205630635,bfa_2020
bam,key_score,2-/-1,0.05393248385541203,bfa_2020
bam,key_score,2-/-2,0.05170738288969034,bfa_2020
bam,key_score,2-/-3,0.029326429811528627,bfa_2020
bam,key_score,2-/-4,0.015042905841891581,bfa_2020
bam,key_score,3-/-1,0.03909093001253849,bfa_2020
bam,key_score,3-/-2,0.15989303644312236,bfa_2020
bam,key_score,3-/-3,0.0720522396962641,bfa_2020
bam,key_score,3-/-4,0.15038149883094912,bfa_2020
bam,key_score,4-/-1,0.042221038471299106,bfa_2020
bam,key_score,4-/-2,0.1560214246619725,bfa_2020
bam,key_score,4-/-3,0.07321934626770642,bfa_2020
bam,key_score,4-/-4,0.12682894405646772,bfa_2020
bam,key_score,5-/-4,0.006093481837779177,bfa_2020
banwa,key_score,1-/-1,0.007103733279065479,bfa_2020
banwa,key_score,1-/-2,0.021311199837196437,bfa_2020
banwa,key_score,2-/-1,0.01782896963742519,bfa_2020
banwa,key_score,2-/-2,0.13167423729296523,bfa_2020
banwa,key_score,2-/-4,0.048124290733095716,bfa_2020
banwa,key_score,3-/-1,0.05696913911204682,bfa_2020
banwa,key_score,3-/-2,0.23309941580122936,bfa_2020
banwa,key_score,3-/-3,0.15848732818886452,bfa_2020
banwa,key_score,3-/-4,0.16907329166770124,bfa_2020
banwa,key_score,4-/-1,0.014207466558130958,bfa_2020
banwa,key_score,4-/-2,0.06397986182255871,bfa_2020
banwa,key_score,4-/-3,0.021311199837196437,bfa_2020
banwa,key_score,4-/-4,0.028414933116261917,bfa_2020
banwa,key_score,5-/-2,0.021311199837196437,bfa_2020
banwa,key_score,5-/-4,0.007103733279065479,bfa_2020
bazega,key_score,2-/-1,0.009169271631614137,bfa_2020
bazega,key_score,2-/-2,0.0780718710455212,bfa_2020
bazega,key_score,2-/-4,0.17915563870444048,bfa_2020
bazega,key_score,3-/-1,0.07298269062702138,bfa_2020
bazega,key_score,3-/-2,0.1813940316546207,bfa_2020
bazega,key_score,3-/-3,0.12363261084450061,bfa_2020
bazega,key_score,3-/-4,0.11964283058698975,bfa_2020
bazega,key_score,4-/-1,0.018931805400283764,bfa_2020
bazega,key_score,4-/-2,0.07866513318257669,bfa_2020
bazega,key_score,4-/-4,0.13835411632243133,bfa_2020
bougouriba,key_score,2-/-2,0.05586141874960829,bfa_2020
bougouriba,key_score,2-/-3,0.05586141874960829,bfa_2020
bougouriba,key_score,2-/-4,0.05586141874960829,bfa_2020
bougouriba,key_score,3-/-1,0.05586141874960829,bfa_2020
bougouriba,key_score,3-/-2,0.11080524791705838,bfa_2020
bougouriba,key_score,3-/-3,0.16666666666666669,bfa_2020
bougouriba,key_score,3-/-4,0.22161049583411677,bfa_2020
bougouriba,key_score,4-/-2,0.08333333333333334,bfa_2020
bougouriba,key_score,4-/-3,0.05586141874960829,bfa_2020
bougouriba,key_score,4-/-4,0.11080524791705838,bfa_2020
bougouriba,key_score,5-/-4,0.027471914583725048,bfa_2020
boulgou,key_score,1-/-1,0.044489033740051635,bfa_2020
boulgou,key_score,2-/-1,0.05626345509918659,bfa_2020
boulgou,key_score,2-/-2,0.13752751344442377,bfa_2020
boulgou,key_score,2-/-3,0.07395035994004412,bfa_2020
boulgou,key_score,2-/-4,0.09278246938415444,bfa_2020
boulgou,key_score,3-/-1,0.04181000036932772,bfa_2020
boulgou,key_score,3-/-2,0.208851202886547,bfa_2020
boulgou,key_score,3-/-3,0.011700502623915351,bfa_2020
boulgou,key_score,3-/-4,0.21473203259273063,bfa_2020
boulgou,key_score,4-/-1,0.01038107117055565,bfa_2020
boulgou,key_score,4-/-2,0.044489033740051635,bfa_2020
boulgou,key_score,4-/-4,0.0630233250090114,bfa_2020
boulkiemde,key_score,1-/-2,0.01921938944917242,bfa_2020
boulkiemde,key_score,2-/-1,0.07367334795367338,bfa_2020
boulkiemde,key_score,2-/-2,0.24535106137941443,bfa_2020
boulkiemde,key_score,2-/-3,0.025579503674985998,bfa_2020
boulkiemde,key_score,2-/-4,0.03742008082499748,bfa_2020
boulkiemde,key_score,3-/-1,0.14619677722606458,bfa_2020
boulkiemde,key_score,3-/-2,0.07160343087317068,bfa_2020
boulkiemde,key_score,3-/-3,0.025318728176589728,bfa_2020
boulkiemde,key_score,3-/-4,0.13407778926161576,bfa_2020
boulkiemde,key_score,4-/-1,0.01699093948507941,bfa_2020
boulkiemde,key_score,4-/-2,0.03390729236649631,bfa_2020
boulkiemde,key_score,4-/-3,0.01699093948507941,bfa_2020
boulkiemde,key_score,4-/-4,0.12114207664496449,bfa_2020
boulkiemde,key_score,5-/-2,0.008327788691510317,bfa_2020
boulkiemde,key_score,5-/-4,0.024200854507185565,bfa_2020
comoe,key_score,1-/-2,0.017531623623355273,bfa_2020
comoe,key_score,2-/-1,0.060328163950309495,bfa_2020
comoe,key_score,2-/-2,0.2946685468062168,bfa_2020
comoe,key_score,2-/-3,0.070310102776244,bfa_2020
comoe,key_score,2-/-4,0.0310555344138455,bfa_2020
comoe,key_score,3-/-1,0.015694594011999744,bfa_2020
comoe,key_score,3-/-2,0.19586426134301563,bfa_2020
comoe,key_score,3-/-3,0.04803434840854753,bfa_2020
comoe,key_score,3-/-4,0.10199422441946883,bfa_2020
comoe,key_score,4-/-1,0.01593903328888821,bfa_2020
comoe,key_score,4-/-2,0.07189549531074979,bfa_2020
comoe,key_score,4-/-3,0.03319281216751239,bfa_2020
comoe,key_score,4-/-4,0.03250758553632716,bfa_2020
comoe,key_score,5-/-2,0.009694401690399899,bfa_2020
comoe,key_score,5-/-4,0.0012892722531197402,bfa_2020
ganzourgou,key_score,2-/-1,0.120163820187562,bfa_2020
ganzourgou,key_score,2-/-2,0.06419700414941715,bfa_2020
ganzourgou,key_score,2-/-3,0.041249179105732225,bfa_2020
ganzourgou,key_score,2-/-4,0.1697875867937107,bfa_2020
ganzourgou,key_score,3-/-1,0.10742402363254495,bfa_2020
ganzourgou,key_score,3-/-2,0.10771051637547463,bfa_2020
ganzourgou,key_score,3-/-3,0.0328744956647237,bfa_2020
ganzourgou,key_score,3-/-4,0.14544463082783154,bfa_2020
ganzourgou,key_score,4-/-1,0.01825424699112213,bfa_2020
ganzourgou,key_score,4-/-2,0.06533175082856998,bfa_2020
ganzourgou,key_score,4-/-3,0.03586876201534502,bfa_2020
ganzourgou,key_score,4-/-4,0.08449023747750863,bfa_2020
ganzourgou,key_score,5-/-4,0.007203745950457351,bfa_2020
gnagna,key_score,1-/-1,0.006549140582268414,bfa_2020
gnagna,key_score,1-/-2,0.00402582916656803,bfa_2020
gnagna,key_score,2-/-1,0.03078298767849193,bfa_2020
gnagna,key_score,2-/-2,0.06584957861870532,bfa_2020
gnagna,key_score,2-/-3,0.019371369419565385,bfa_2020
gnagna,key_score,2-/-4,0.07413237540970255,bfa_2020
gnagna,key_score,3-/-1,0.01607062180262292,bfa_2020
gnagna,key_score,3-/-2,0.10313576432247981,bfa_2020
gnagna,key_score,3-/-3,0.07909328262340465,bfa_2020
gnagna,key_score,3-/-4,0.20067779992240292,bfa_2020
gnagna,key_score,4-/-2,0.041695419689249544,bfa_2020
gnagna,key_score,4-/-3,0.07045044620584837,bfa_2020
gnagna,key_score,4-/-4,0.11468872682884955,bfa_2020
gnagna,key_score,5-/-1,0.015161395098254718,bfa_2020
gnagna,key_score,5-/-2,0.009521481220354504,bfa_2020
gnagna,key_score,5-/-3,0.02412228013575898,bfa_2020
gnagna,key_score,5-/-4,0.12467150127547247,bfa_2020
gourma,key_score,1-/-2,0.006253954263172802,bfa_2020
gourma,key_score,2-/-1,0.01754214165467003,bfa_2020
gourma,key_score,2-/-2,0.0852306502473732,bfa_2020
gourma,key_score,2-/-3,7.316216159610683e-4,bfa_2020
gourma,key_score,2-/-4,0.0520717977956875,bfa_2020
gourma,key_score,3-/-1,0.06086064569135578,bfa_2020
gourma,key_score,3-/-2,0.15676367607125835,bfa_2020
gourma,key_score,3-/-3,0.14145733013080897,bfa_2020
gourma,key_score,3-/-4,0.18249249188161212,bfa_2020
gourma,key_score,4-/-1,0.013605340950287207,bfa_2020
gourma,key_score,4-/-2,0.03729759721538839,bfa_2020
gourma,key_score,4-/-3,0.0682938673960754,bfa_2020
gourma,key_score,4-/-4,0.13091448655991675,bfa_2020
gourma,key_score,5-/-1,0.012507908526345604,bfa_2020
gourma,key_score,5-/-3,0.022332966455807346,bfa_2020
gourma,key_score,5-/-4,0.01164352354427944,bfa_2020
houet,key_score,1-/-2,0.07133204687810293,bfa_2020
houet,key_score,2-/-1,0.021004265350356877,bfa_2020
houet,key_score,2-/-2,0.2984610837964174,bfa_2020
houet,key_score,2-/-3,0.043056185502857676,bfa_2020
houet,key_score,2-/-4,0.0097904043966709,bfa_2020
houet,key_score,3-/-1,0.04200853070071375,bfa_2020
houet,key_score,3-/-2,0.2624718514811748,bfa_2020
houet,key_score,3-/-3,0.014266409375620587,bfa_2020
houet,key_score,3-/-4,0.04588476263820058,bfa_2020
houet,key_score,4-/-1,0.014266409375620587,bfa_2020
