admin2,indicator,choice,value,context,phase
bale,critical_handwashing_times,nsp,0,bfa_2020,NA
bam,critical_handwashing_times,nsp,0,bfa_2020,NA
banwa,critical_handwashing_times,nsp,0,bfa_2020,NA
bazega,critical_handwashing_times,nsp,0,bfa_2020,NA
bougouriba,critical_handwashing_times,nsp,0,bfa_2020,NA
boulgou,critical_handwashing_times,nsp,0,bfa_2020,NA
boulkiemde,critical_handwashing_times,nsp,0.02469711373498949,bfa_2020,NA
comoe,critical_handwashing_times,nsp,0,bfa_2020,NA
ganzourgou,critical_handwashing_times,nsp,0,bfa_2020,NA
gnagna,critical_handwashing_times,nsp,0,bfa_2020,NA
gourma,critical_handwashing_times,nsp,0.009229249043984056,bfa_2020,NA
houet,critical_handwashing_times,nsp,0,bfa_2020,NA
ioba,critical_handwashing_times,nsp,0,bfa_2020,NA
kadiogo,critical_handwashing_times,nsp,0,bfa_2020,NA
kenedougou,critical_handwashing_times,nsp,0,bfa_2020,NA
komonjdjari,critical_handwashing_times,nsp,0,bfa_2020,NA
kompienga,critical_handwashing_times,nsp,0,bfa_2020,NA
kossi,critical_handwashing_times,nsp,0,bfa_2020,NA
koulpelogo,critical_handwashing_times,nsp,0,bfa_2020,NA
kouritenga,critical_handwashing_times,nsp,0,bfa_2020,NA
kourweogo,critical_handwashing_times,nsp,0,bfa_2020,NA
leraba,critical_handwashing_times,nsp,0,bfa_2020,NA
loroum,critical_handwashing_times,nsp,0,bfa_2020,NA
mouhoun,critical_handwashing_times,nsp,0,bfa_2020,NA
nahouri,critical_handwashing_times,nsp,0,bfa_2020,NA
namentenga,critical_handwashing_times,nsp,0,bfa_2020,NA
nayala,critical_handwashing_times,nsp,0,bfa_2020,NA
oubritenga,critical_handwashing_times,nsp,0,bfa_2020,NA
oudalan,critical_handwashing_times,nsp,0,bfa_2020,NA
passore,critical_handwashing_times,nsp,0,bfa_2020,NA
poni,critical_handwashing_times,nsp,0,bfa_2020,NA
sanguie,critical_handwashing_times,nsp,0,bfa_2020,NA
sanmatenga,critical_handwashing_times,nsp,0,bfa_2020,NA
seno,critical_handwashing_times,nsp,0,bfa_2020,NA
sissili,critical_handwashing_times,nsp,0,bfa_2020,NA
soum,critical_handwashing_times,nsp,0,bfa_2020,NA
sourou,critical_handwashing_times,nsp,0,bfa_2020,NA
tapoa,critical_handwashing_times,nsp,0,bfa_2020,NA
tuy,critical_handwashing_times,nsp,0,bfa_2020,NA
yagha,critical_handwashing_times,nsp,0,bfa_2020,NA
yatenga,critical_handwashing_times,nsp,0,bfa_2020,NA
ziro,critical_handwashing_times,nsp,0,bfa_2020,NA
zondoma,critical_handwashing_times,nsp,0,bfa_2020,NA
zoundweogo,critical_handwashing_times,nsp,0,bfa_2020,NA
bale,critical_handwashing_times,autre,0,bfa_2020,NA
bam,critical_handwashing_times,autre,0,bfa_2020,NA
banwa,critical_handwashing_times,autre,0.06949022071962968,bfa_2020,NA
bazega,critical_handwashing_times,autre,0.02957003282261872,bfa_2020,NA
bougouriba,critical_handwashing_times,autre,0.05586141874960829,bfa_2020,NA
boulgou,critical_handwashing_times,autre,0.011042697812517262,bfa_2020,NA
boulkiemde,critical_handwashing_times,autre,0,bfa_2020,NA
comoe,critical_handwashing_times,autre,0.022639150981042067,bfa_2020,NA
ganzourgou,critical_handwashing_times,autre,0.02219206967755368,bfa_2020,NA
gnagna,critical_handwashing_times,autre,0.014875496513444764,bfa_2020,NA
gourma,critical_handwashing_times,autre,0.03127836685450638,bfa_2020,NA
houet,critical_handwashing_times,autre,0,bfa_2020,NA
ioba,critical_handwashing_times,autre,0,bfa_2020,NA
kadiogo,critical_handwashing_times,autre,0.004364390974884785,bfa_2020,NA
kenedougou,critical_handwashing_times,autre,0,bfa_2020,NA
komonjdjari,critical_handwashing_times,autre,0,bfa_2020,NA
kompienga,critical_handwashing_times,autre,0,bfa_2020,NA
kossi,critical_handwashing_times,autre,0.012787718344600298,bfa_2020,NA
koulpelogo,critical_handwashing_times,autre,0,bfa_2020,NA
kouritenga,critical_handwashing_times,autre,0,bfa_2020,NA
kourweogo,critical_handwashing_times,autre,0.02667027565535034,bfa_2020,NA
leraba,critical_handwashing_times,autre,0,bfa_2020,NA
loroum,critical_handwashing_times,autre,0.007272991552478362,bfa_2020,NA
mouhoun,critical_handwashing_times,autre,0.027945675006762663,bfa_2020,NA
nahouri,critical_handwashing_times,autre,0,bfa_2020,NA
namentenga,critical_handwashing_times,autre,0,bfa_2020,NA
nayala,critical_handwashing_times,autre,0.010501572946755931,bfa_2020,NA
oubritenga,critical_handwashing_times,autre,0.0174099752141654,bfa_2020,NA
oudalan,critical_handwashing_times,autre,0.003554132051759133,bfa_2020,NA
passore,critical_handwashing_times,autre,0.013363106472984667,bfa_2020,NA
poni,critical_handwashing_times,autre,0,bfa_2020,NA
sanguie,critical_handwashing_times,autre,0,bfa_2020,NA
