admin2,indicator,choice,value,context
bale,critical_handwashing_times,nsp,0,bfa_2020
bam,critical_handwashing_times,nsp,0,bfa_2020
banwa,critical_handwashing_times,nsp,0,bfa_2020
bazega,critical_handwashing_times,nsp,0,bfa_2020
bougouriba,critical_handwashing_times,nsp,0,bfa_2020
boulgou,critical_handwashing_times,nsp,0,bfa_2020
boulkiemde,critical_handwashing_times,nsp,0.02469711373498949,bfa_2020
comoe,critical_handwashing_times,nsp,0,bfa_2020
ganzourgou,critical_handwashing_times,nsp,0,bfa_2020
gnagna,critical_handwashing_times,nsp,0,bfa_2020
gourma,critical_handwashing_times,nsp,0.009229249043984056,bfa_2020
houet,critical_handwashing_times,nsp,0,bfa_2020
ioba,critical_handwashing_times,nsp,0,bfa_2020
kadiogo,critical_handwashing_times,nsp,0,bfa_2020
kenedougou,critical_handwashing_times,nsp,0,bfa_2020
komonjdjari,critical_handwashing_times,nsp,0,bfa_2020
kompienga,critical_handwashing_times,nsp,0,bfa_2020
kossi,critical_handwashing_times,nsp,0,bfa_2020
koulpelogo,critical_handwashing_times,nsp,0,bfa_2020
kouritenga,critical_handwashing_times,nsp,0,bfa_2020
kourweogo,critical_handwashing_times,nsp,0,bfa_2020
leraba,critical_handwashing_times,nsp,0,bfa_2020
loroum,critical_handwashing_times,nsp,0,bfa_2020
mouhoun,critical_handwashing_times,nsp,0,bfa_2020
nahouri,critical_handwashing_times,nsp,0,bfa_2020
namentenga,critical_handwashing_times,nsp,0,bfa_2020
nayala,critical_handwashing_times,nsp,0,bfa_2020
oubritenga,critical_handwashing_times,nsp,0,bfa_2020
oudalan,critical_handwashing_times,nsp,0,bfa_2020
passore,critical_handwashing_times,nsp,0,bfa_2020
poni,critical_handwashing_times,nsp,0,bfa_2020
sanguie,critical_handwashing_times,nsp,0,bfa_2020
sanmatenga,critical_handwashing_times,nsp,0,bfa_2020
seno,critical_handwashing_times,nsp,0,bfa_2020
sissili,critical_handwashing_times,nsp,0,bfa_2020
soum,critical_handwashing_times,nsp,0,bfa_2020
sourou,critical_handwashing_times,nsp,0,bfa_2020
tapoa,critical_handwashing_times,nsp,0,bfa_2020
tuy,critical_handwashing_times,nsp,0,bfa_2020
yagha,critical_handwashing_times,nsp,0,bfa_2020
yatenga,critical_handwashing_times,nsp,0,bfa_2020
ziro,critical_handwashing_times,nsp,0,bfa_2020
zondoma,critical_handwashing_times,nsp,0,bfa_2020
zoundweogo,critical_handwashing_times,nsp,0,bfa_2020
bale,critical_handwashing_times,autre,0,bfa_2020
bam,critical_handwashing_times,autre,0,bfa_2020
banwa,critical_handwashing_times,autre,0.06949022071962968,bfa_2020
bazega,critical_handwashing_times,autre,0.02957003282261872,bfa_2020
bougouriba,critical_handwashing_times,autre,0.05586141874960829,bfa_2020
