"","admin2","indicator","choice","bfa_2020"
"1","bale","key_score","2-/-1",0.0483755381334284
"2","bale","key_score","2-/-2",0.259838944404457
"3","bale","key_score","2-/-3",0.0125265307829484
"4","bale","key_score","2-/-4",0.0592587354719714
"5","bale","key_score","3-/-1",0.0686043195194708
"6","bale","key_score","3-/-2",0.155708763380543
"7","bale","key_score","3-/-3",0.136611657297623
"8","bale","key_score","3-/-4",0.127142942064767
"9","bale","key_score","4-/-1",0.00558719605033488
"10","bale","key_score","4-/-2",0.0337296478685534
"11","bale","key_score","4-/-3",0.0320253139229
"12","bale","key_score","4-/-4",0.0453668995729475
"13","bale","key_score","5-/-2",0.00828417679744148
"14","bale","key_score","5-/-4",0.00693933473261356
"15","bale","score_final","2",0.382405998107691
"16","bale","score_final","3",0.397835334801639
"17","bale","score_final","4",0.204535155560615
"18","bale","score_final","5",0.015223511530055
"19","bale","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0191063736347365
"20","bale","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.122567053703234
"21","bale","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0111743921006698
"22","bale","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0687875306879779
"23","bale","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.229059058940948
"24","bale","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0345459464513945
"25","bale","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.101201579214823
"26","bale","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.174850153423916
"27","bale","key_sanit","open_defec-/-NA-/-no_soap",0.0578934303558959
"28","bale","key_sanit","open_defec-/-NA-/-soap",0.180814481486404
"29","bale","sanit_score","1",0.122567053703234
"30","bale","sanit_score","2",0.457561532450995
"31","bale","sanit_score","3",0.181163502003471
"32","bale","sanit_score","4",0.2387079118423
"33","bale","key_water","just_sufficient-/-improved_less_30",0.161199733827734
"34","bale","key_water","just_sufficient-/-improved_more_30",0.0670912821160367
"35","bale","key_water","just_sufficient-/-unimproved",0.0354208178296053
"36","bale","key_water","more_sufficient-/-improved_less_30",0.0124760084777173
"37","bale","key_water","more_sufficient-/-unimproved",0.00825701187715297
"38","bale","key_water","not_sufficient-/-improved_less_30",0.0260995556136726
"39","bale","key_water","not_sufficient-/-improved_more_30",0.0624528100836794
"40","bale","key_water","not_sufficient-/-unimproved",0.0184527249408002
"41","bale","key_water","not_sufficient_at_all-/-improved_more_30",0.0151735916059229
"42","bale","key_water","sufficient-/-improved_less_30",0.278622366829001
"43","bale","key_water","sufficient-/-improved_more_30",0.18159659153142
"44","bale","key_water","sufficient-/-improved_premises",0.0909344369774527
"45","bale","key_water","sufficient-/-unimproved",0.0422230682898044
"46","bale","water_score","2",0.382032812284171
"47","bale","water_score","3",0.486467243255821
"48","bale","water_score","4",0.116326352854085
"49","bale","water_score","5",0.0151735916059229
