"","admin2","indicator","choice","bfa_2020"
"1","banwa","key_score","1-/-1",0.00710373327906548
"2","banwa","key_score","1-/-2",0.0213111998371964
"3","banwa","key_score","2-/-1",0.0178289696374252
"4","banwa","key_score","2-/-2",0.131674237292965
"5","banwa","key_score","2-/-4",0.0481242907330957
"6","banwa","key_score","3-/-1",0.0569691391120468
"7","banwa","key_score","3-/-2",0.233099415801229
"8","banwa","key_score","3-/-3",0.158487328188865
"9","banwa","key_score","3-/-4",0.169073291667701
"10","banwa","key_score","4-/-1",0.014207466558131
"11","banwa","key_score","4-/-2",0.0639798618225587
"12","banwa","key_score","4-/-3",0.0213111998371964
"13","banwa","key_score","4-/-4",0.0284149331162619
"14","banwa","key_score","5-/-2",0.0213111998371964
"15","banwa","key_score","5-/-4",0.00710373327906548
"16","banwa","score_final","1",0.00710373327906548
"17","banwa","score_final","2",0.241991012437765
"18","banwa","score_final","3",0.503690896545748
"19","banwa","score_final","4",0.21879942462116
"20","banwa","score_final","5",0.0284149331162619
"21","banwa","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0444097770852479
"22","banwa","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0961093085866684
"23","banwa","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.00536261817917986
"24","banwa","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.00710373327906548
"25","banwa","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0747050981809184
"26","banwa","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.202804094705559
"27","banwa","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0178289696374252
"28","banwa","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0195700847373108
"29","banwa","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00710373327906548
"30","banwa","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0587102542119324
"31","banwa","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0214504727167194
"32","banwa","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.204591958063029
"33","banwa","key_sanit","open_defec-/-NA-/-no_soap",0.144140588751211
"34","banwa","key_sanit","open_defec-/-NA-/-soap",0.0961093085866684
"35","banwa","sanit_score","1",0.0961093085866684
"36","banwa","sanit_score","2",0.471375914591146
"37","banwa","sanit_score","3",0.179798528026061
"38","banwa","sanit_score","4",0.252716248796124
"39","banwa","key_water","just_sufficient-/-improved_less_30",0.0118955435868523
"40","banwa","key_water","just_sufficient-/-improved_premises",0.00511707523277698
"41","banwa","key_water","just_sufficient-/-unimproved",0.0694902207196297
"42","banwa","key_water","more_sufficient-/-improved_less_30",0.0221296940524062
"43","banwa","key_water","more_sufficient-/-improved_more_30",0.0067784683540753
"44","banwa","key_water","more_sufficient-/-improved_premises",0.0338923417703765
"45","banwa","key_water","more_sufficient-/-unimproved",0.0493764633375894
"46","banwa","key_water","not_sufficient-/-improved_less_30",0.0067784683540753
"47","banwa","key_water","not_sufficient-/-improved_premises",0.00511707523277698
"48","banwa","key_water","not_sufficient-/-surface_water",0.0067784683540753
"49","banwa","key_water","not_sufficient-/-unimproved",0.0390094170031535
"50","banwa","key_water","not_sufficient_at_all-/-improved_more_30",0.0067784683540753
"51","banwa","key_water","not_sufficient_at_all-/-improved_premises",0.0067784683540753
"52","banwa","key_water","not_sufficient_at_all-/-unimproved",0.0135569367081506
"53","banwa","key_water","sufficient-/-improved_less_30",0.140996378109625
"54","banwa","key_water","sufficient-/-improved_more_30",0.159492886427946
"55","banwa","key_water","sufficient-/-improved_premises",0.0457878853572288
"56","banwa","key_water","sufficient-/-surface_water",0.0067784683540753
"57","banwa","key_water","sufficient-/-unimproved",0.363467272337036
"58","banwa","water_score","1",0.0338923417703765
"59","banwa","water_score","2",0.214031032752037
"60","banwa","water_score","3",0.602906177630351
"61","banwa","water_score","4",0.122056574430934
"62","banwa","water_score","5",0.0271138734163012
