"","admin2","indicator","choice","bfa_2020"
"1","bazega","key_score","2-/-1",0.00916927163161414
"2","bazega","key_score","2-/-2",0.0780718710455212
"3","bazega","key_score","2-/-4",0.17915563870444
"4","bazega","key_score","3-/-1",0.0729826906270214
"5","bazega","key_score","3-/-2",0.181394031654621
"6","bazega","key_score","3-/-3",0.123632610844501
"7","bazega","key_score","3-/-4",0.11964283058699
"8","bazega","key_score","4-/-1",0.0189318054002838
"9","bazega","key_score","4-/-2",0.0786651331825767
"10","bazega","key_score","4-/-4",0.138354116322431
"11","bazega","score_final","2",0.17915563870444
"12","bazega","score_final","3",0.562847414386139
"13","bazega","score_final","4",0.257996946909421
"14","bazega","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.101083767658919
"15","bazega","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0332773815635197
"16","bazega","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.19896313775839
"17","bazega","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0286943391689534
"18","bazega","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0903552292809809
"19","bazega","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.110473558955376
"20","bazega","key_sanit","open_defec-/-NA-/-no_soap",0.120608835196259
"21","bazega","key_sanit","open_defec-/-NA-/-soap",0.316543750417603
"22","bazega","sanit_score","1",0.101083767658919
"23","bazega","sanit_score","2",0.338131035882719
"24","bazega","sanit_score","3",0.123632610844501
"25","bazega","sanit_score","4",0.437152585613862
"26","bazega","key_water","just_sufficient-/-improved_less_30",0.052802449100859
"27","bazega","key_water","just_sufficient-/-improved_more_30",0.182269725308286
"28","bazega","key_water","just_sufficient-/-unimproved",0.0286943391689534
"29","bazega","key_water","not_sufficient-/-improved_less_30",0.0821519622586355
"30","bazega","key_water","not_sufficient-/-improved_more_30",0.169393104935771
"31","bazega","key_water","not_sufficient-/-unimproved",0.0378636108005675
"32","bazega","key_water","sufficient-/-improved_less_30",0.236826748558957
"33","bazega","key_water","sufficient-/-improved_more_30",0.180428027045352
"34","bazega","key_water","sufficient-/-improved_premises",0.0295700328226187
"35","bazega","water_score","2",0.266396781381576
"36","bazega","water_score","3",0.497652163713132
"37","bazega","water_score","4",0.235951054905292
