admin2,indicator,choice,bfa_2020,choice_key
bougouriba,access_to_soap,non,0.27747191458372505,access_to_soapnon
bougouriba,access_to_soap,oui,0.722528085416275,access_to_soapoui
bougouriba,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
bougouriba,critical_handwashing_times,autre,0.05586141874960829,critical_handwashing_timesautre
bougouriba,critical_handwashing_times,ablution,0.22161049583411677,critical_handwashing_timesablution
bougouriba,critical_handwashing_times,retour_champ,0.25,critical_handwashing_timesretour_champ
bougouriba,critical_handwashing_times,avant_sein,0.027471914583725048,critical_handwashing_timesavant_sein
bougouriba,critical_handwashing_times,apres_netto,0,critical_handwashing_timesapres_netto
bougouriba,critical_handwashing_times,avant_prepare,0.13919475208294163,critical_handwashing_timesavant_prepare
bougouriba,critical_handwashing_times,avant_manger,1,critical_handwashing_timesavant_manger
bougouriba,critical_handwashing_times,apres_toilette,0.5833333333333334,critical_handwashing_timesapres_toilette
bougouriba,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
bougouriba,diarrhea_rate_hh_2w,NA,0,diarrhea_rate_hh_2wNA
bougouriba,distance_to_water_source,entre_16_30mn,0.22252808541627495,distance_to_water_sourceentre_16_30mn
bougouriba,distance_to_water_source,entre_31_45mn,0.05586141874960829,distance_to_water_sourceentre_31_45mn
bougouriba,distance_to_water_source,entre_5_15mn,0.16758425624882486,distance_to_water_sourceentre_5_15mn
bougouriba,distance_to_water_source,plus_46mn,0.554026239585292,distance_to_water_sourceplus_46mn
bougouriba,fcs_score,acceptable,0.5833333333333334,fcs_scoreacceptable
bougouriba,fcs_score,limite,0.36080524791705837,fcs_scorelimite
bougouriba,fcs_score,pauvre,0.05586141874960829,fcs_scorepauvre
bougouriba,gbv_30days,NA,0,gbv_30daysNA
bougouriba,hhs_score,NA,0.8076965979139246,hhs_scoreNA
bougouriba,hhs_thresholds,faim_moderee,0.2509175895821582,hhs_thresholdsfaim_moderee
bougouriba,hhs_thresholds,peu_pasFaim,0.7490824104178418,hhs_thresholdspeu_pasFaim
bougouriba,lcsi_score,crisis,0.16666666666666669,lcsi_scorecrisis
bougouriba,lcsi_score,emergency,0.05586141874960829,lcsi_scoreemergency
bougouriba,lcsi_score,none,0.5274719145837251,lcsi_scorenone
bougouriba,lcsi_score,stress,0.25,lcsi_scorestress
bougouriba,livelihoods_change_pratique_agri,non,0.4157490770845085,livelihoods_change_pratique_agrinon
bougouriba,livelihoods_change_pratique_agri,oui,0.5842509229154915,livelihoods_change_pratique_agrioui
bougouriba,livelihoods_change_pratique_agri_prob,acces_terre finance main_oeuvre,0.13436330187752515,livelihoods_change_pratique_agri_probacces_terre finance main_oeuvre
bougouriba,livelihoods_change_pratique_agri_prob,autre,0.06607811321284278,livelihoods_change_pratique_agri_probautre
bougouriba,livelihoods_change_pratique_agri_prob,cultive,0.13436330187752515,livelihoods_change_pratique_agri_probcultive
bougouriba,livelihoods_change_pratique_agri_prob,finance,0.06607811321284278,livelihoods_change_pratique_agri_probfinance
bougouriba,livelihoods_change_pratique_agri_prob,finance main_oeuvre,0.13436330187752515,livelihoods_change_pratique_agri_probfinance main_oeuvre
bougouriba,livelihoods_change_pratique_agri_prob,insuff_pluie,0.2665195283032107,livelihoods_change_pratique_agri_probinsuff_pluie
