"","admin2","indicator","choice","bfa_2020"
"1","bougouriba","key_score","2-/-2",0.0558614187496083
"2","bougouriba","key_score","2-/-3",0.0558614187496083
"3","bougouriba","key_score","2-/-4",0.0558614187496083
"4","bougouriba","key_score","3-/-1",0.0558614187496083
"5","bougouriba","key_score","3-/-2",0.110805247917058
"6","bougouriba","key_score","3-/-3",0.166666666666667
"7","bougouriba","key_score","3-/-4",0.221610495834117
"8","bougouriba","key_score","4-/-2",0.0833333333333333
"9","bougouriba","key_score","4-/-3",0.0558614187496083
"10","bougouriba","key_score","4-/-4",0.110805247917058
"11","bougouriba","key_score","5-/-4",0.027471914583725
"12","bougouriba","score_final","2",0.111722837499217
"13","bougouriba","score_final","3",0.472528085416275
"14","bougouriba","score_final","4",0.388277162500783
"15","bougouriba","score_final","5",0.027471914583725
"16","bougouriba","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0558614187496083
"17","bougouriba","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0558614187496083
"18","bougouriba","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0558614187496083
"19","bougouriba","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0833333333333333
"20","bougouriba","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.166666666666667
"21","bougouriba","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.166666666666667
"22","bougouriba","key_sanit","latrine_nonhygienic-/-shared_more50-/-soap",0.0558614187496083
"23","bougouriba","key_sanit","open_defec-/-NA-/-no_soap",0.0549438291674501
"24","bougouriba","key_sanit","open_defec-/-NA-/-soap",0.30494382916745
"25","bougouriba","sanit_score","1",0.0558614187496083
"26","bougouriba","sanit_score","2",0.25
"27","bougouriba","sanit_score","3",0.278389504165883
"28","bougouriba","sanit_score","4",0.415749077084508
"29","bougouriba","key_water","just_sufficient-/-improved_less_30",0.0549438291674501
"30","bougouriba","key_water","just_sufficient-/-improved_more_30",0.25
"31","bougouriba","key_water","just_sufficient-/-unimproved",0.0558614187496083
"32","bougouriba","key_water","not_sufficient-/-improved_less_30",0.0558614187496083
"33","bougouriba","key_water","not_sufficient-/-improved_more_30",0.166666666666667
"34","bougouriba","key_water","not_sufficient-/-surface_water",0.027471914583725
"35","bougouriba","key_water","not_sufficient_at_all-/-improved_more_30",0.027471914583725
"36","bougouriba","key_water","sufficient-/-improved_less_30",0.167584256248825
"37","bougouriba","key_water","sufficient-/-improved_more_30",0.138277162500783
"38","bougouriba","key_water","sufficient-/-unimproved",0.0558614187496083
"39","bougouriba","water_score","2",0.167584256248825
"40","bougouriba","water_score","3",0.55494382916745
"41","bougouriba","water_score","4",0.25
"42","bougouriba","water_score","5",0.027471914583725
