admin2,indicator,choice,bfa_2020,choice_key
boulgou,access_to_soap,non,0.3000770811064897,access_to_soapnon
boulgou,access_to_soap,oui,0.6999229188935102,access_to_soapoui
boulgou,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
boulgou,critical_handwashing_times,autre,0.011042697812517262,critical_handwashing_timesautre
boulgou,critical_handwashing_times,ablution,0.20501839949252998,critical_handwashing_timesablution
boulgou,critical_handwashing_times,retour_champ,0.21471857749618892,critical_handwashing_timesretour_champ
boulgou,critical_handwashing_times,avant_sein,0.10248655913912993,critical_handwashing_timesavant_sein
boulgou,critical_handwashing_times,apres_netto,0.09568957623227435,critical_handwashing_timesapres_netto
boulgou,critical_handwashing_times,avant_prepare,0.43072360253811226,critical_handwashing_timesavant_prepare
boulgou,critical_handwashing_times,avant_manger,0.9681951598463714,critical_handwashing_timesavant_manger
boulgou,critical_handwashing_times,apres_toilette,0.4137936940460275,critical_handwashing_timesapres_toilette
boulgou,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
boulgou,diarrhea_rate_hh_2w,NA,0.5068041338699844,diarrhea_rate_hh_2wNA
boulgou,distance_to_water_source,eau_concession,0.10002076529262054,distance_to_water_sourceeau_concession
boulgou,distance_to_water_source,entre_16_30mn,0.36764776102687685,distance_to_water_sourceentre_16_30mn
boulgou,distance_to_water_source,entre_31_45mn,0.09642813786404499,distance_to_water_sourceentre_31_45mn
boulgou,distance_to_water_source,entre_5_15mn,0.04729438990797655,distance_to_water_sourceentre_5_15mn
boulgou,distance_to_water_source,plus_46mn,0.388608945908481,distance_to_water_sourceplus_46mn
boulgou,fcs_score,acceptable,0.5928900972317686,fcs_scoreacceptable
boulgou,fcs_score,limite,0.3295603235566426,fcs_scorelimite
boulgou,fcs_score,pauvre,0.07754957921158877,fcs_scorepauvre
boulgou,gbv_30days,NA,3.289024056990441e-4,gbv_30daysNA
boulgou,hhs_score,NA,0.4842513187568139,hhs_scoreNA
boulgou,hhs_thresholds,faim_moderee,0.07650654387290426,hhs_thresholdsfaim_moderee
boulgou,hhs_thresholds,faim_severe,0.04481793614575068,hhs_thresholdsfaim_severe
boulgou,hhs_thresholds,peu_pasFaim,0.878675519981345,hhs_thresholdspeu_pasFaim
boulgou,lcsi_score,crisis,0.30099257484141817,lcsi_scorecrisis
boulgou,lcsi_score,emergency,0.010709973576254694,lcsi_scoreemergency
boulgou,lcsi_score,none,0.3812263983221343,lcsi_scorenone
boulgou,lcsi_score,stress,0.3070710532601928,lcsi_scorestress
boulgou,livelihoods_change_pratique_agri,non,0.4460222839983894,livelihoods_change_pratique_agrinon
boulgou,livelihoods_change_pratique_agri,non_applicable,3.921810763330239e-4,livelihoods_change_pratique_agrinon_applicable
boulgou,livelihoods_change_pratique_agri,oui,0.5535855349252776,livelihoods_change_pratique_agrioui
boulgou,livelihoods_change_pratique_agri_prob,acces_terre,0.1466894287390227,livelihoods_change_pratique_agri_probacces_terre
boulgou,livelihoods_change_pratique_agri_prob,acces_terre finance,8.792858348181548e-4,livelihoods_change_pratique_agri_probacces_terre finance
boulgou,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie,0.029521485998519933,livelihoods_change_pratique_agri_probacces_terre insuff_pluie
boulgou,livelihoods_change_pratique_agri_prob,acces_terre main_oeuvre,0.027752697068628443,livelihoods_change_pratique_agri_probacces_terre main_oeuvre
boulgou,livelihoods_change_pratique_agri_prob,acces_terre main_oeuvre sol_pauvre,8.792858348181548e-4,livelihoods_change_pratique_agri_probacces_terre main_oeuvre sol_pauvre
boulgou,livelihoods_change_pratique_agri_prob,acces_terre semence insuff_pluie,0.029521485998519933,livelihoods_change_pratique_agri_probacces_terre semence insuff_pluie
boulgou,livelihoods_change_pratique_agri_prob,autre,0.029521485998519933,livelihoods_change_pratique_agri_probautre
boulgou,livelihoods_change_pratique_agri_prob,cultive,0.1466894287390227,livelihoods_change_pratique_agri_probcultive
boulgou,livelihoods_change_pratique_agri_prob,finance acces_terre autre,0.029521485998519933,livelihoods_change_pratique_agri_probfinance acces_terre autre
boulgou,livelihoods_change_pratique_agri_prob,finance insuff_pluie,0.036113525348944776,livelihoods_change_pratique_agri_probfinance insuff_pluie
boulgou,livelihoods_change_pratique_agri_prob,finance semence,0.015738835798819132,livelihoods_change_pratique_agri_probfinance semence
boulgou,livelihoods_change_pratique_agri_prob,inondation sol_pauvre semence,0.11893673167039424,livelihoods_change_pratique_agri_probinondation sol_pauvre semence
boulgou,livelihoods_change_pratique_agri_prob,insecurite acces_terre,8.792858348181548e-4,livelihoods_change_pratique_agri_probinsecurite acces_terre
