admin2,indicator,choice,bfa_2020,choice_key
boulkiemde,access_to_soap,non,0.1752332977398943,access_to_soapnon
boulkiemde,access_to_soap,nsp,0.009798862074712759,access_to_soapnsp
boulkiemde,access_to_soap,oui,0.8149678401853928,access_to_soapoui
boulkiemde,critical_handwashing_times,nsp,0.02469711373498949,critical_handwashing_timesnsp
boulkiemde,critical_handwashing_times,autre,0,critical_handwashing_timesautre
boulkiemde,critical_handwashing_times,ablution,0.20034419009937574,critical_handwashing_timesablution
boulkiemde,critical_handwashing_times,retour_champ,0.2592966554729132,critical_handwashing_timesretour_champ
boulkiemde,critical_handwashing_times,avant_sein,0.046434800189854186,critical_handwashing_timesavant_sein
boulkiemde,critical_handwashing_times,apres_netto,0.018556397855656524,critical_handwashing_timesapres_netto
boulkiemde,critical_handwashing_times,avant_prepare,0.20632854875664275,critical_handwashing_timesavant_prepare
boulkiemde,critical_handwashing_times,avant_manger,0.9638707613779387,critical_handwashing_timesavant_manger
boulkiemde,critical_handwashing_times,apres_toilette,0.49292974366731046,critical_handwashing_timesapres_toilette
boulkiemde,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
boulkiemde,diarrhea_rate_hh_2w,NA,0.19664714932376481,diarrhea_rate_hh_2wNA
boulkiemde,distance_to_water_source,eau_concession,0.31803817488572905,distance_to_water_sourceeau_concession
boulkiemde,distance_to_water_source,entre_16_30mn,0.1882482546473769,distance_to_water_sourceentre_16_30mn
boulkiemde,distance_to_water_source,entre_31_45mn,0.0583976990761458,distance_to_water_sourceentre_31_45mn
boulkiemde,distance_to_water_source,entre_5_15mn,0.14494632896811144,distance_to_water_sourceentre_5_15mn
boulkiemde,distance_to_water_source,plus_46mn,0.29036954242263685,distance_to_water_sourceplus_46mn
boulkiemde,fcs_score,acceptable,0.5973182226499034,fcs_scoreacceptable
boulkiemde,fcs_score,limite,0.35498840050532643,fcs_scorelimite
boulkiemde,fcs_score,pauvre,0.04769337684477017,fcs_scorepauvre
boulkiemde,gbv_30days,NA,0,gbv_30daysNA
boulkiemde,hhs_score,NA,0.9489259471666016,hhs_scoreNA
boulkiemde,hhs_thresholds,faim_moderee,0.30537192339656904,hhs_thresholdsfaim_moderee
boulkiemde,hhs_thresholds,faim_severe,0.03273762722924915,hhs_thresholdsfaim_severe
boulkiemde,hhs_thresholds,peu_pasFaim,0.6618904493741817,hhs_thresholdspeu_pasFaim
boulkiemde,lcsi_score,crisis,0.3350699663559864,lcsi_scorecrisis
boulkiemde,lcsi_score,none,0.2591465525308881,lcsi_scorenone
boulkiemde,lcsi_score,stress,0.40578348111312545,lcsi_scorestress
boulkiemde,livelihoods_change_pratique_agri,non,0.3177076958414517,livelihoods_change_pratique_agrinon
boulkiemde,livelihoods_change_pratique_agri,non_applicable,0.08240844879131345,livelihoods_change_pratique_agrinon_applicable
boulkiemde,livelihoods_change_pratique_agri,oui,0.5998838553672349,livelihoods_change_pratique_agrioui
boulkiemde,livelihoods_change_pratique_agri_prob,acces_terre,0.3316076223863345,livelihoods_change_pratique_agri_probacces_terre
boulkiemde,livelihoods_change_pratique_agri_prob,acces_terre semence main_oeuvre,0.07843377186685979,livelihoods_change_pratique_agri_probacces_terre semence main_oeuvre
boulkiemde,livelihoods_change_pratique_agri_prob,autre,0.1291463999170664,livelihoods_change_pratique_agri_probautre
boulkiemde,livelihoods_change_pratique_agri_prob,cultive,0.09358067923616886,livelihoods_change_pratique_agri_probcultive
boulkiemde,livelihoods_change_pratique_agri_prob,finance insuff_pluie,0.046244494320482755,livelihoods_change_pratique_agri_probfinance insuff_pluie
