"","admin2","indicator","choice","bfa_2020"
"1","boulkiemde","key_score","1-/-2",0.0192193894491724
"2","boulkiemde","key_score","2-/-1",0.0736733479536734
"3","boulkiemde","key_score","2-/-2",0.245351061379414
"4","boulkiemde","key_score","2-/-3",0.025579503674986
"5","boulkiemde","key_score","2-/-4",0.0374200808249975
"6","boulkiemde","key_score","3-/-1",0.146196777226065
"7","boulkiemde","key_score","3-/-2",0.0716034308731707
"8","boulkiemde","key_score","3-/-3",0.0253187281765897
"9","boulkiemde","key_score","3-/-4",0.134077789261616
"10","boulkiemde","key_score","4-/-1",0.0169909394850794
"11","boulkiemde","key_score","4-/-2",0.0339072923664963
"12","boulkiemde","key_score","4-/-3",0.0169909394850794
"13","boulkiemde","key_score","4-/-4",0.121142076644964
"14","boulkiemde","key_score","5-/-2",0.00832778869151032
"15","boulkiemde","key_score","5-/-4",0.0242008545071856
"16","boulkiemde","score_final","2",0.501431515493404
"17","boulkiemde","score_final","3",0.19382903591624
"18","boulkiemde","score_final","4",0.27221080539166
"19","boulkiemde","score_final","5",0.0325286431986959
"20","boulkiemde","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.234481323011013
"21","boulkiemde","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.016820231621011
"22","boulkiemde","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0253225065595456
"23","boulkiemde","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.246781831286039
"24","boulkiemde","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.00824411944996017
"25","boulkiemde","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.00824411944996017
"26","boulkiemde","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.016820231621011
"27","boulkiemde","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.119581139512018
"28","boulkiemde","key_sanit","open_defec-/-NA-/-no_soap",0.137527905890807
"29","boulkiemde","key_sanit","open_defec-/-NA-/-nsp",0.0100469938238758
"30","boulkiemde","key_sanit","open_defec-/-NA-/-soap",0.176129597774759
"31","boulkiemde","sanit_score","1",0.236861064664817
"32","boulkiemde","sanit_score","2",0.378408962759764
"33","boulkiemde","sanit_score","3",0.0678891713366551
"34","boulkiemde","sanit_score","4",0.316840801238763
"35","boulkiemde","key_water","just_sufficient-/-improved_less_30",0.0863846927915267
"36","boulkiemde","key_water","just_sufficient-/-improved_more_30",0.0608072315297514
"37","boulkiemde","key_water","just_sufficient-/-improved_premises",0.0498830243454092
"38","boulkiemde","key_water","more_sufficient-/-improved_less_30",0.0115452552508926
"39","boulkiemde","key_water","more_sufficient-/-improved_more_30",0.0115452552508926
"40","boulkiemde","key_water","more_sufficient-/-improved_premises",0.0187400288132739
"41","boulkiemde","key_water","more_sufficient-/-unimproved",0.013912920453573
"42","boulkiemde","key_water","not_sufficient-/-improved_less_30",0.0715431907577751
"43","boulkiemde","key_water","not_sufficient-/-improved_more_30",0.0988488620102141
"44","boulkiemde","key_water","not_sufficient-/-improved_premises",0.0249415121727046
"45","boulkiemde","key_water","not_sufficient-/-unimproved",0.0854676607988504
"46","boulkiemde","key_water","not_sufficient_at_all-/-improved_less_30",0.0081200810484893
"47","boulkiemde","key_water","not_sufficient_at_all-/-improved_more_30",0.0235972485999047
"48","boulkiemde","key_water","sufficient-/-improved_less_30",0.11153536076268
"49","boulkiemde","key_water","sufficient-/-improved_more_30",0.0905339848112317
"50","boulkiemde","key_water","sufficient-/-improved_premises",0.224473609554341
"51","boulkiemde","key_water","sufficient-/-unimproved",0.0081200810484893
"52","boulkiemde","water_score","1",0.0187400288132739
"53","boulkiemde","water_score","2",0.397437249913323
"54","boulkiemde","water_score","3",0.367788868815944
"55","boulkiemde","water_score","4",0.184316522809065
"56","boulkiemde","water_score","5",0.031717329648394
