"","admin2","indicator","choice","bfa_2020"
"1","comoe","key_score","1-/-2",0.0175316236233553
"2","comoe","key_score","2-/-1",0.0603281639503095
"3","comoe","key_score","2-/-2",0.294668546806217
"4","comoe","key_score","2-/-3",0.070310102776244
"5","comoe","key_score","2-/-4",0.0310555344138455
"6","comoe","key_score","3-/-1",0.0156945940119997
"7","comoe","key_score","3-/-2",0.195864261343016
"8","comoe","key_score","3-/-3",0.0480343484085475
"9","comoe","key_score","3-/-4",0.101994224419469
"10","comoe","key_score","4-/-1",0.0159390332888882
"11","comoe","key_score","4-/-2",0.0718954953107498
"12","comoe","key_score","4-/-3",0.0331928121675124
"13","comoe","key_score","4-/-4",0.0325075855363272
"14","comoe","key_score","5-/-2",0.0096944016903999
"15","comoe","key_score","5-/-4",0.00128927225311974
"16","comoe","score_final","2",0.40416196168077
"17","comoe","score_final","3",0.417159742252402
"18","comoe","score_final","4",0.167694622123308
"19","comoe","score_final","5",0.0109836739435196
"20","comoe","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0236576034887685
"21","comoe","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0911626763857511
"22","comoe","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0368988224589699
"23","comoe","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0281697610802808
"24","comoe","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.373507673231846
"25","comoe","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0189624073084319
"26","comoe","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0817086279048364
"27","comoe","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00516025194743799
"28","comoe","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0456896611842454
"29","comoe","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0204998070458365
"30","comoe","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.114346180332317
"31","comoe","key_sanit","open_defec-/-NA-/-no_soap",0.0253303144011514
"32","comoe","key_sanit","open_defec-/-NA-/-soap",0.134906213230127
"33","comoe","sanit_score","1",0.0911626763857511
"34","comoe","sanit_score","2",0.593220084957768
"35","comoe","sanit_score","3",0.150220459077764
"36","comoe","sanit_score","4",0.165396779578717
"37","comoe","key_water","just_sufficient-/-improved_less_30",0.127745152273042
"38","comoe","key_water","just_sufficient-/-improved_more_30",0.114104630098702
"39","comoe","key_water","just_sufficient-/-improved_premises",0.0107680303924663
"40","comoe","key_water","just_sufficient-/-unimproved",0.0217919576168512
"41","comoe","key_water","more_sufficient-/-improved_less_30",0.00471031110479279
"42","comoe","key_water","more_sufficient-/-improved_premises",0.0172900590634094
"43","comoe","key_water","not_sufficient-/-improved_less_30",0.0182014639084672
"44","comoe","key_water","not_sufficient-/-improved_more_30",0.105733553806518
"45","comoe","key_water","not_sufficient-/-surface_water",0.00478041228275442
"46","comoe","key_water","not_sufficient-/-unimproved",0.0191134770929495
"47","comoe","key_water","not_sufficient_at_all-/-improved_more_30",0.00998466044601373
"48","comoe","key_water","not_sufficient_at_all-/-unimproved",0.000847671761009776
"49","comoe","key_water","sufficient-/-improved_less_30",0.331790278988829
"50","comoe","key_water","sufficient-/-improved_more_30",0.0874854657928438
"51","comoe","key_water","sufficient-/-improved_premises",0.103229055857864
"52","comoe","key_water","sufficient-/-unimproved",0.0224238195134872
"53","comoe","water_score","1",0.0172900590634094
"54","comoe","water_score","2",0.450497676343951
"55","comoe","water_score","3",0.369960531586542
"56","comoe","water_score","4",0.151419400799073
"57","comoe","water_score","5",0.0108323322070235
