"","admin2","indicator","choice","bfa_2020"
"1","gnagna","key_score","1-/-1",0.00654914058226841
"2","gnagna","key_score","1-/-2",0.00402582916656803
"3","gnagna","key_score","2-/-1",0.0307829876784919
"4","gnagna","key_score","2-/-2",0.0658495786187053
"5","gnagna","key_score","2-/-3",0.0193713694195654
"6","gnagna","key_score","2-/-4",0.0741323754097026
"7","gnagna","key_score","3-/-1",0.0160706218026229
"8","gnagna","key_score","3-/-2",0.10313576432248
"9","gnagna","key_score","3-/-3",0.0790932826234046
"10","gnagna","key_score","3-/-4",0.200677799922403
"11","gnagna","key_score","4-/-2",0.0416954196892495
"12","gnagna","key_score","4-/-3",0.0704504462058484
"13","gnagna","key_score","4-/-4",0.11468872682885
"14","gnagna","key_score","5-/-1",0.0151613950982547
"15","gnagna","key_score","5-/-2",0.0095214812203545
"16","gnagna","key_score","5-/-3",0.024122280135759
"17","gnagna","key_score","5-/-4",0.124671501275472
"18","gnagna","score_final","1",0.00654914058226841
"19","gnagna","score_final","2",0.116729017266388
"20","gnagna","score_final","3",0.317428211464402
"21","gnagna","score_final","4",0.385816972957101
"22","gnagna","score_final","5",0.173476657729841
"23","gnagna","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.01809845323545
"24","gnagna","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0679174702441741
"25","gnagna","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0168714516783758
"26","gnagna","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0530683581492759
"27","gnagna","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.106732332808393
"28","gnagna","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0128835928348954
"29","gnagna","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0103840804791503
"30","gnagna","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00797571768696081
"31","gnagna","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.108393309389212
"32","gnagna","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0868983595832014
"33","gnagna","key_sanit","open_defec-/-NA-/-no_soap",0.312616035218426
"34","gnagna","key_sanit","open_defec-/-NA-/-nsp",0.00544381883498218
"35","gnagna","key_sanit","open_defec-/-NA-/-soap",0.192717019857503
"36","gnagna","sanit_score","1",0.0682892244102449
"37","gnagna","sanit_score","2",0.223328988661065
"38","gnagna","sanit_score","3",0.192263358946468
"39","gnagna","sanit_score","4",0.516118427982222
"40","gnagna","key_water","just_sufficient-/-improved_less_30",0.0119789604375242
"41","gnagna","key_water","just_sufficient-/-improved_more_30",0.10312959612856
"42","gnagna","key_water","more_sufficient-/-improved_less_30",0.0118874459270185
"43","gnagna","key_water","more_sufficient-/-improved_more_30",0.0141670907501038
"44","gnagna","key_water","more_sufficient-/-improved_premises",0.0105171710362312
"45","gnagna","key_water","not_sufficient-/-improved_less_30",0.0402216274272262
"46","gnagna","key_water","not_sufficient-/-improved_more_30",0.169513329707944
"47","gnagna","key_water","not_sufficient-/-unimproved",0.0560814724780462
"48","gnagna","key_water","not_sufficient_at_all-/-improved_less_30",0.0305037825428475
"49","gnagna","key_water","not_sufficient_at_all-/-improved_more_30",0.096106511312997
"50","gnagna","key_water","not_sufficient_at_all-/-unimproved",0.0459182072624885
"51","gnagna","key_water","sufficient-/-improved_less_30",0.145690656394929
"52","gnagna","key_water","sufficient-/-improved_more_30",0.214594235366854
"53","gnagna","key_water","sufficient-/-improved_premises",0.0315189969425794
"54","gnagna","key_water","sufficient-/-unimproved",0.0181709162846499
"55","gnagna","water_score","1",0.0105171710362312
"56","gnagna","water_score","2",0.189097099264527
"57","gnagna","water_score","3",0.402262426394918
"58","gnagna","water_score","4",0.22559480218599
"59","gnagna","water_score","5",0.172528501118333
