admin2,indicator,choice,bfa_2020,choice_key
gourma,access_to_soap,non,0.4597960099491156,access_to_soapnon
gourma,access_to_soap,oui,0.5402039900508843,access_to_soapoui
gourma,critical_handwashing_times,nsp,0.009229249043984056,critical_handwashing_timesnsp
gourma,critical_handwashing_times,autre,0.03127836685450638,critical_handwashing_timesautre
gourma,critical_handwashing_times,ablution,0.3294300692934331,critical_handwashing_timesablution
gourma,critical_handwashing_times,retour_champ,0.42675129371633597,critical_handwashing_timesretour_champ
gourma,critical_handwashing_times,avant_sein,0.11610086140218362,critical_handwashing_timesavant_sein
gourma,critical_handwashing_times,apres_netto,0.16342038799969053,critical_handwashing_timesapres_netto
gourma,critical_handwashing_times,avant_prepare,0.45808279392536294,critical_handwashing_timesavant_prepare
gourma,critical_handwashing_times,avant_manger,0.9472723320968998,critical_handwashing_timesavant_manger
gourma,critical_handwashing_times,apres_toilette,0.6864197874159605,critical_handwashing_timesapres_toilette
gourma,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
gourma,diarrhea_rate_hh_2w,NA,0.3775277004389824,diarrhea_rate_hh_2wNA
gourma,distance_to_water_source,eau_concession,0.030731005559830153,distance_to_water_sourceeau_concession
gourma,distance_to_water_source,entre_16_30mn,0.26356443719249656,distance_to_water_sourceentre_16_30mn
gourma,distance_to_water_source,entre_31_45mn,0.20835678500505933,distance_to_water_sourceentre_31_45mn
gourma,distance_to_water_source,entre_5_15mn,0.020626721770561785,distance_to_water_sourceentre_5_15mn
gourma,distance_to_water_source,plus_46mn,0.47672105047205215,distance_to_water_sourceplus_46mn
gourma,fcs_score,acceptable,0.48727741091717336,fcs_scoreacceptable
gourma,fcs_score,limite,0.36594614527512637,fcs_scorelimite
gourma,fcs_score,pauvre,0.14677644380770025,fcs_scorepauvre
gourma,gbv_30days,NA,0.08632245977310107,gbv_30daysNA
gourma,hhs_score,NA,0.6109134445000186,hhs_scoreNA
gourma,hhs_thresholds,faim_moderee,0.19735102796224746,hhs_thresholdsfaim_moderee
gourma,hhs_thresholds,faim_severe,0.006476199302520503,hhs_thresholdsfaim_severe
gourma,hhs_thresholds,peu_pasFaim,0.796172772735232,hhs_thresholdspeu_pasFaim
gourma,lcsi_score,crisis,0.18810858605922026,lcsi_scorecrisis
gourma,lcsi_score,emergency,0.013749840742808423,lcsi_scoreemergency
gourma,lcsi_score,none,0.3939167278833011,lcsi_scorenone
gourma,lcsi_score,stress,0.4042248453146701,lcsi_scorestress
gourma,livelihoods_change_pratique_agri,non,0.4370577423670974,livelihoods_change_pratique_agrinon
gourma,livelihoods_change_pratique_agri,non_applicable,0.045619087957548377,livelihoods_change_pratique_agrinon_applicable
gourma,livelihoods_change_pratique_agri,oui,0.5173231696753542,livelihoods_change_pratique_agrioui
gourma,livelihoods_change_pratique_agri_prob,acces_terre,0.1606312484598523,livelihoods_change_pratique_agri_probacces_terre
gourma,livelihoods_change_pratique_agri_prob,acces_terre finance,0.03141244178976909,livelihoods_change_pratique_agri_probacces_terre finance
gourma,livelihoods_change_pratique_agri_prob,acces_terre finance insecurite,8.175393942173804e-4,livelihoods_change_pratique_agri_probacces_terre finance insecurite
gourma,livelihoods_change_pratique_agri_prob,acces_terre finance semence,0.002452618182652141,livelihoods_change_pratique_agri_probacces_terre finance semence
gourma,livelihoods_change_pratique_agri_prob,acces_terre insecurite,0.0770802979618017,livelihoods_change_pratique_agri_probacces_terre insecurite
gourma,livelihoods_change_pratique_agri_prob,acces_terre insecurite finance,0.0036476410479828383,livelihoods_change_pratique_agri_probacces_terre insecurite finance
gourma,livelihoods_change_pratique_agri_prob,acces_terre insecurite main_oeuvre,0.038131379283792156,livelihoods_change_pratique_agri_probacces_terre insecurite main_oeuvre
gourma,livelihoods_change_pratique_agri_prob,acces_terre insecurite semence,0.0018238205239914191,livelihoods_change_pratique_agri_probacces_terre insecurite semence
gourma,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie,0.0016350787884347607,livelihoods_change_pratique_agri_probacces_terre insuff_pluie
gourma,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie finance,0.04358880199120745,livelihoods_change_pratique_agri_probacces_terre insuff_pluie finance
gourma,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie insecurite,0.0016350787884347607,livelihoods_change_pratique_agri_probacces_terre insuff_pluie insecurite
gourma,livelihoods_change_pratique_agri_prob,acces_terre main_oeuvre,0.013976771238671455,livelihoods_change_pratique_agri_probacces_terre main_oeuvre
gourma,livelihoods_change_pratique_agri_prob,acces_terre semence,0.02602175489974193,livelihoods_change_pratique_agri_probacces_terre semence
gourma,livelihoods_change_pratique_agri_prob,acces_terre semence finance,0.005471461571974257,livelihoods_change_pratique_agri_probacces_terre semence finance
gourma,livelihoods_change_pratique_agri_prob,acces_terre semence insecurite,0.0010062811297740387,livelihoods_change_pratique_agri_probacces_terre semence insecurite
gourma,livelihoods_change_pratique_agri_prob,acces_terre sol_pauvre insuff_pluie,0.01481772011964716,livelihoods_change_pratique_agri_probacces_terre sol_pauvre insuff_pluie
gourma,livelihoods_change_pratique_agri_prob,cultive main_oeuvre finance,8.175393942173804e-4,livelihoods_change_pratique_agri_probcultive main_oeuvre finance
gourma,livelihoods_change_pratique_agri_prob,finance,0.013976771238671455,livelihoods_change_pratique_agri_probfinance
gourma,livelihoods_change_pratique_agri_prob,inondation,0.07135752220228003,livelihoods_change_pratique_agri_probinondation
gourma,livelihoods_change_pratique_agri_prob,inondation semence,0.013976771238671455,livelihoods_change_pratique_agri_probinondation semence
gourma,livelihoods_change_pratique_agri_prob,insecurite,0.17692013949677732,livelihoods_change_pratique_agri_probinsecurite
gourma,livelihoods_change_pratique_agri_prob,insecurite acces_terre,8.175393942173804e-4,livelihoods_change_pratique_agri_probinsecurite acces_terre
gourma,livelihoods_change_pratique_agri_prob,insecurite acces_terre finance,0.014983052368445493,livelihoods_change_pratique_agri_probinsecurite acces_terre finance
gourma,livelihoods_change_pratique_agri_prob,insecurite acces_terre insuff_pluie,0.015800591762662873,livelihoods_change_pratique_agri_probinsecurite acces_terre insuff_pluie
gourma,livelihoods_change_pratique_agri_prob,insecurite acces_terre main_oeuvre,0.02795354247734291,livelihoods_change_pratique_agri_probinsecurite acces_terre main_oeuvre
gourma,livelihoods_change_pratique_agri_prob,insecurite acces_terre semence,0.019448232810645713,livelihoods_change_pratique_agri_probinsecurite acces_terre semence
gourma,livelihoods_change_pratique_agri_prob,insecurite finance,0.013976771238671455,livelihoods_change_pratique_agri_probinsecurite finance
gourma,livelihoods_change_pratique_agri_prob,insecurite insuff_pluie,0.013976771238671455,livelihoods_change_pratique_agri_probinsecurite insuff_pluie
gourma,livelihoods_change_pratique_agri_prob,insecurite main_oeuvre sol_pauvre,0.035678761101140016,livelihoods_change_pratique_agri_probinsecurite main_oeuvre sol_pauvre
gourma,livelihoods_change_pratique_agri_prob,insecurite semence finance,0.013976771238671455,livelihoods_change_pratique_agri_probinsecurite semence finance
gourma,livelihoods_change_pratique_agri_prob,insuff_pluie,0.010409904872635715,livelihoods_change_pratique_agri_probinsuff_pluie
gourma,livelihoods_change_pratique_agri_prob,insuff_pluie acces_terre,0.010409904872635715,livelihoods_change_pratique_agri_probinsuff_pluie acces_terre
gourma,livelihoods_change_pratique_agri_prob,insuff_pluie finance semence,0.010409904872635715,livelihoods_change_pratique_agri_probinsuff_pluie finance semence
gourma,livelihoods_change_pratique_agri_prob,insuff_pluie main_oeuvre,0.02111677279528009,livelihoods_change_pratique_agri_probinsuff_pluie main_oeuvre
gourma,livelihoods_change_pratique_agri_prob,insuff_pluie semence,0.010409904872635715,livelihoods_change_pratique_agri_probinsuff_pluie semence
gourma,livelihoods_change_pratique_agri_prob,main_oeuvre,0.035678761101140016,livelihoods_change_pratique_agri_probmain_oeuvre
gourma,livelihoods_change_pratique_agri_prob,main_oeuvre acces_terre,0.013976771238671455,livelihoods_change_pratique_agri_probmain_oeuvre acces_terre
gourma,livelihoods_change_pratique_agri_prob,main_oeuvre finance,0.013976771238671455,livelihoods_change_pratique_agri_probmain_oeuvre finance
gourma,livelihoods_change_pratique_agri_prob,main_oeuvre semence acces_terre,0.013976771238671455,livelihoods_change_pratique_agri_probmain_oeuvre semence acces_terre
gourma,livelihoods_change_pratique_agri_prob,semence acces_terre insecurite,0.0010062811297740387,livelihoods_change_pratique_agri_probsemence acces_terre insecurite
gourma,livelihoods_change_pratique_agri_prob,semence insecurite main_oeuvre,8.175393942173804e-4,livelihoods_change_pratique_agri_probsemence insecurite main_oeuvre
gourma,location_sanitation_facility,dal_eau,0.021327113634193408,location_sanitation_facilitydal_eau
gourma,location_sanitation_facility,dal_precis,0.026252064382364805,location_sanitation_facilitydal_precis
gourma,location_sanitation_facility,dal_zonep,0.3139581557915381,location_sanitation_facilitydal_zonep
gourma,location_sanitation_facility,dal_zonep_am,0.006108656083155125,location_sanitation_facilitydal_zonep_am
gourma,location_sanitation_facility,lat_prive,0.3317834596345469,location_sanitation_facilitylat_prive
gourma,location_sanitation_facility,lat_privep,0.26834992672743024,location_sanitation_facilitylat_privep
gourma,location_sanitation_facility,lat_publiq,0.027670894224880945,location_sanitation_facilitylat_publiq
gourma,location_sanitation_facility,nsp,0.004549729521890412,location_sanitation_facilitynsp
gourma,open_defecation,NA,0.3693263247742883,open_defecationNA
gourma,pop_disp_3m,1_2_mois,0.13619155569380387,pop_disp_3m1_2_mois
gourma,pop_disp_3m,3_5_mois,0.2602333953626298,pop_disp_3m3_5_mois
gourma,pop_disp_3m,6_1_an,0.5728826739537407,pop_disp_3m6_1_an
