"","admin2","indicator","choice","bfa_2020"
"1","gourma","key_score","1-/-2",0.0062539542631728
"2","gourma","key_score","2-/-1",0.01754214165467
"3","gourma","key_score","2-/-2",0.0852306502473732
"4","gourma","key_score","2-/-3",0.000731621615961068
"5","gourma","key_score","2-/-4",0.0520717977956875
"6","gourma","key_score","3-/-1",0.0608606456913558
"7","gourma","key_score","3-/-2",0.156763676071258
"8","gourma","key_score","3-/-3",0.141457330130809
"9","gourma","key_score","3-/-4",0.182492491881612
"10","gourma","key_score","4-/-1",0.0136053409502872
"11","gourma","key_score","4-/-2",0.0372975972153884
"12","gourma","key_score","4-/-3",0.0682938673960754
"13","gourma","key_score","4-/-4",0.130914486559917
"14","gourma","key_score","5-/-1",0.0125079085263456
"15","gourma","key_score","5-/-3",0.0223329664558073
"16","gourma","key_score","5-/-4",0.0116435235442794
"17","gourma","score_final","2",0.182352309801576
"18","gourma","score_final","3",0.385908568293232
"19","gourma","score_final","4",0.379328542482205
"20","gourma","score_final","5",0.0524105794229874
"21","gourma","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0353618200480692
"22","gourma","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.103866460727789
"23","gourma","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.000363537262567478
"24","gourma","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0867711519935044
"25","gourma","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.116631727707726
"26","gourma","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.043052063408251
"27","gourma","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0506179905186109
"28","gourma","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.000363537262567478
"29","gourma","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0174331157461291
"30","gourma","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0903275698633507
"31","gourma","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.081159647505711
"32","gourma","key_sanit","open_defec-/-NA-/-no_soap",0.194144514708507
"33","gourma","key_sanit","open_defec-/-NA-/-soap",0.179906863247216
"34","gourma","sanit_score","1",0.103866460727789
"35","gourma","sanit_score","2",0.283771185780118
"36","gourma","sanit_score","3",0.237583901011235
"37","gourma","sanit_score","4",0.374778452480858
"38","gourma","key_water","just_sufficient-/-improved_less_30",0.0344979262129671
"39","gourma","key_water","just_sufficient-/-improved_more_30",0.0955996916618689
"40","gourma","key_water","more_sufficient-/-improved_less_30",0.004577693074537
"41","gourma","key_water","more_sufficient-/-improved_more_30",0.018808405549807
"42","gourma","key_water","more_sufficient-/-improved_premises",0.00614620111196603
"43","gourma","key_water","more_sufficient-/-unimproved",0.00614620111196603
"44","gourma","key_water","not_sufficient-/-improved_less_30",0.0710927330704716
"45","gourma","key_water","not_sufficient-/-improved_more_30",0.223523745918398
"46","gourma","key_water","not_sufficient-/-surface_water",0.0156895206631601
"47","gourma","key_water","not_sufficient-/-unimproved",0.00694821522103061
"48","gourma","key_water","not_sufficient_at_all-/-improved_less_30",0.018808405549807
"49","gourma","key_water","not_sufficient_at_all-/-improved_more_30",0.0237353124761645
"50","gourma","key_water","not_sufficient_at_all-/-unimproved",0.0092859738647208
"51","gourma","key_water","sufficient-/-improved_less_30",0.12987939849453
"52","gourma","key_water","sufficient-/-improved_more_30",0.300772943986682
"53","gourma","key_water","sufficient-/-improved_premises",0.0184386033358981
"54","gourma","key_water","sufficient-/-unimproved",0.0160490286960248
"55","gourma","water_score","1",0.00614620111196603
"56","gourma","water_score","2",0.152895694904965
"57","gourma","water_score","3",0.542966930289788
"58","gourma","water_score","4",0.246161481802589
"59","gourma","water_score","5",0.0518296918906924
