"","admin2","indicator","choice","bfa_2020"
"1","houet","key_score","1-/-2",0.0713320468781029
"2","houet","key_score","2-/-1",0.0210042653503569
"3","houet","key_score","2-/-2",0.298461083796417
"4","houet","key_score","2-/-3",0.0430561855028577
"5","houet","key_score","2-/-4",0.0097904043966709
"6","houet","key_score","3-/-1",0.0420085307007138
"7","houet","key_score","3-/-2",0.262471851481175
"8","houet","key_score","3-/-3",0.0142664093756206
"9","houet","key_score","3-/-4",0.0458847626382006
"10","houet","key_score","4-/-1",0.0142664093756206
"11","houet","key_score","4-/-2",0.0497742161794337
"12","houet","key_score","4-/-3",0.0758996101506648
"13","houet","key_score","4-/-4",0.0515272667981694
"14","houet","key_score","5-/-4",0.000256957375995917
"15","houet","score_final","2",0.447072336101212
"16","houet","score_final","3",0.379359066935758
"17","houet","score_final","4",0.173311639587035
"18","houet","score_final","5",0.000256957375995917
"19","houet","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.000256957375995917
"20","houet","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0772792054266912
"21","houet","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0427992281268618
"22","houet","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0293036908792289
"23","houet","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.48329129953826
"24","houet","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0458517765487964
"25","houet","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.000256957375995917
"26","houet","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0608623286470565
"27","houet","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.152639164872077
"28","houet","key_sanit","open_defec-/-NA-/-no_soap",0.0180898299255429
"29","houet","key_sanit","open_defec-/-NA-/-soap",0.0893695612834939
"30","houet","sanit_score","1",0.0772792054266912
"31","houet","sanit_score","2",0.682039198335129
"32","houet","sanit_score","3",0.133222205029143
"33","houet","sanit_score","4",0.107459391209037
"34","houet","key_water","just_sufficient-/-improved_less_30",0.0528465898995286
"35","houet","key_water","just_sufficient-/-improved_more_30",0.117163998128739
"36","houet","key_water","just_sufficient-/-unimproved",0.0550670005667476
"37","houet","key_water","more_sufficient-/-improved_premises",0.0713320468781029
"38","houet","key_water","not_sufficient-/-improved_less_30",0.0134757119494726
"39","houet","key_water","not_sufficient-/-improved_more_30",0.0998450403311839
"40","houet","key_water","not_sufficient-/-surface_water",0.000256957375995917
"41","houet","key_water","not_sufficient-/-unimproved",0.0220320948543405
"42","houet","key_water","not_sufficient_at_all-/-improved_more_30",0.000256957375995917
"43","houet","key_water","sufficient-/-improved_less_30",0.158315798411994
"44","houet","key_water","sufficient-/-improved_more_30",0.0816363660267657
"45","houet","key_water","sufficient-/-improved_premises",0.213996140634309
"46","houet","key_water","sufficient-/-surface_water",0.0142664093756206
"47","houet","key_water","sufficient-/-unimproved",0.0995088881912038
"48","houet","water_score","1",0.0713320468781029
"49","houet","water_score","2",0.372311939046303
"50","houet","water_score","3",0.36463155419571
"51","houet","water_score","4",0.191467502503889
"52","houet","water_score","5",0.000256957375995917
