"","admin2","indicator","choice","bfa_2020"
"1","ioba","key_score","2-/-2",0.062201336835419
"2","ioba","key_score","2-/-4",0.1274493734398
"3","ioba","key_score","3-/-1",0.0145856897267161
"4","ioba","key_score","3-/-2",0.052561601775359
"5","ioba","key_score","3-/-3",0.0378374837855296
"6","ioba","key_score","3-/-4",0.311264050513059
"7","ioba","key_score","4-/-2",0.070776220691459
"8","ioba","key_score","4-/-3",0.0104269309666782
"9","ioba","key_score","4-/-4",0.302470381299302
"10","ioba","key_score","5-/-4",0.0104269309666782
"11","ioba","score_final","2",0.0767870265621351
"12","ioba","score_final","3",0.288624679692148
"13","ioba","score_final","4",0.624161362779039
"14","ioba","score_final","5",0.0104269309666782
"15","ioba","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0145856897267161
"16","ioba","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0104269309666782
"17","ioba","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0961685805397657
"18","ioba","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0104269309666782
"19","ioba","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0185943580710124
"20","ioba","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0274105528188515
"21","ioba","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0104269309666782
"22","ioba","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0789436477957932
"23","ioba","key_sanit","open_defec-/-NA-/-no_soap",0.218430688421111
"24","ioba","key_sanit","open_defec-/-NA-/-soap",0.514585689726716
"25","ioba","sanit_score","1",0.0145856897267161
"26","ioba","sanit_score","2",0.185539159302237
"27","ioba","sanit_score","3",0.0482644147522078
"28","ioba","sanit_score","4",0.751610736218839
"29","ioba","key_water","just_sufficient-/-improved_less_30",0.108206247725283
"30","ioba","key_water","just_sufficient-/-improved_more_30",0.0315693115788894
"31","ioba","key_water","just_sufficient-/-unimproved",0.172472985318303
"32","ioba","key_water","not_sufficient-/-improved_less_30",0.0250126206933943
"33","ioba","key_water","not_sufficient-/-improved_more_30",0.117671210116627
"34","ioba","key_water","not_sufficient-/-unimproved",0.0749349794514969
"35","ioba","key_water","not_sufficient_at_all-/-improved_less_30",0.0104269309666782
"36","ioba","key_water","sufficient-/-improved_less_30",0.189650710275219
"37","ioba","key_water","sufficient-/-improved_more_30",0.214271929661073
"38","ioba","key_water","sufficient-/-surface_water",0.0185943580710124
"39","ioba","key_water","sufficient-/-unimproved",0.0371887161420248
"40","ioba","water_score","2",0.189650710275219
"41","ioba","water_score","3",0.416248825800664
"42","ioba","water_score","4",0.383673532957439
"43","ioba","water_score","5",0.0104269309666782
