"","admin2","indicator","choice","bfa_2020"
"1","kadiogo","key_score","1-/-1",0.0240836770658459
"2","kadiogo","key_score","1-/-2",0.104362600618666
"3","kadiogo","key_score","1-/-3",0.00802789235528197
"4","kadiogo","key_score","2-/-1",0.205061699856934
"5","kadiogo","key_score","2-/-2",0.300586578805524
"6","kadiogo","key_score","2-/-3",0.0401394617764098
"7","kadiogo","key_score","3-/-1",0.0321115694211279
"8","kadiogo","key_score","3-/-2",0.117801203706211
"9","kadiogo","key_score","3-/-3",0.0470120946540075
"10","kadiogo","key_score","3-/-4",0.0433485932736103
"11","kadiogo","key_score","4-/-1",0.0224246414570928
"12","kadiogo","key_score","4-/-2",0.0240836770658459
"13","kadiogo","key_score","4-/-4",0.0229284175881616
"14","kadiogo","key_score","5-/-2",0.00802789235528197
"15","kadiogo","score_final","1",0.0240836770658459
"16","kadiogo","score_final","2",0.672574982514626
"17","kadiogo","score_final","3",0.229036437202474
"18","kadiogo","score_final","4",0.0662770108617718
"19","kadiogo","score_final","5",0.00802789235528197
"20","kadiogo","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.00802789235528197
"21","kadiogo","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.283681587801001
"22","kadiogo","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0791236640751353
"23","kadiogo","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.502330207444952
"24","kadiogo","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0364759603960127
"25","kadiogo","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0160557847105639
"26","kadiogo","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.00802789235528197
"27","kadiogo","key_sanit","open_defec-/-NA-/-no_soap",0.0272928085630463
"28","kadiogo","key_sanit","open_defec-/-NA-/-soap",0.0389842022987255
"29","kadiogo","sanit_score","1",0.283681587801001
"30","kadiogo","sanit_score","2",0.554861952551528
"31","kadiogo","sanit_score","3",0.0951794487856993
"32","kadiogo","sanit_score","4",0.0662770108617718
"33","kadiogo","key_water","just_sufficient-/-improved_less_30",0.0321115694211279
"34","kadiogo","key_water","just_sufficient-/-improved_more_30",0.118808755968348
"35","kadiogo","key_water","just_sufficient-/-improved_premises",0.0240836770658459
"36","kadiogo","key_water","more_sufficient-/-improved_less_30",0.0240836770658459
"37","kadiogo","key_water","more_sufficient-/-improved_more_30",0.00636885674652886
"38","kadiogo","key_water","more_sufficient-/-improved_premises",0.136474170039793
"39","kadiogo","key_water","not_sufficient-/-improved_more_30",0.0694367361111003
"40","kadiogo","key_water","not_sufficient_at_all-/-improved_more_30",0.00802789235528197
"41","kadiogo","key_water","sufficient-/-improved_less_30",0.145548382152454
"42","kadiogo","key_water","sufficient-/-improved_more_30",0.0829842789189514
"43","kadiogo","key_water","sufficient-/-improved_premises",0.352072004154722
"44","kadiogo","water_score","1",0.136474170039793
"45","kadiogo","water_score","2",0.545787740438868
"46","kadiogo","water_score","3",0.240273461054957
"47","kadiogo","water_score","4",0.0694367361111003
"48","kadiogo","water_score","5",0.00802789235528197
