"","admin2","indicator","choice","bfa_2020"
"1","kenedougou","key_score","2-/-1",0.0920854194528387
"2","kenedougou","key_score","2-/-2",0.286192780937911
"3","kenedougou","key_score","2-/-3",0.114300109102778
"4","kenedougou","key_score","2-/-4",0.00033859564304866
"5","kenedougou","key_score","3-/-1",0.0670569407496089
"6","kenedougou","key_score","3-/-2",0.157270452352161
"7","kenedougou","key_score","3-/-3",0.0762803379349261
"8","kenedougou","key_score","3-/-4",0.0479490698738127
"9","kenedougou","key_score","4-/-2",0.0673386715887387
"10","kenedougou","key_score","4-/-3",0.0780872309823633
"11","kenedougou","key_score","4-/-4",0.013100391381813
"12","kenedougou","score_final","2",0.445335141140358
"13","kenedougou","score_final","3",0.415528166621653
"14","kenedougou","score_final","4",0.139136692237989
"15","kenedougou","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0127617957387643
"16","kenedougou","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.159142360202448
"17","kenedougou","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.0124232000957157
"18","kenedougou","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.136497757830495
"19","kenedougou","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.346866971552979
"20","kenedougou","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.15049594630097
"21","kenedougou","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.132169920189573
"22","kenedougou","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.00067719128609732
"23","kenedougou","key_sanit","open_defec-/-NA-/-no_soap",0.0016929782152433
"24","kenedougou","key_sanit","open_defec-/-NA-/-soap",0.0472718785877154
"25","kenedougou","sanit_score","1",0.159142360202448
"26","kenedougou","sanit_score","2",0.51080190487881
"27","kenedougou","sanit_score","3",0.268667678020068
"28","kenedougou","sanit_score","4",0.0613880568986744
"29","kenedougou","key_water","just_sufficient-/-improved_less_30",0.115533352976776
"30","kenedougou","key_water","just_sufficient-/-improved_more_30",0.0389144193988016
"31","kenedougou","key_water","just_sufficient-/-unimproved",0.0966342333552554
"32","kenedougou","key_water","not_sufficient-/-improved_more_30",0.013100391381813
"33","kenedougou","key_water","not_sufficient-/-unimproved",0.0487916692158465
"34","kenedougou","key_water","sufficient-/-improved_less_30",0.334170005381096
"35","kenedougou","key_water","sufficient-/-improved_more_30",0.0598082526186647
"36","kenedougou","key_water","sufficient-/-improved_premises",0.15874689975548
"37","kenedougou","key_water","sufficient-/-unimproved",0.134300775916266
"38","kenedougou","water_score","2",0.492916905136576
"39","kenedougou","water_score","3",0.348556800910509
"40","kenedougou","water_score","4",0.158526293952915
