"","admin2","indicator","choice","bfa_2020"
"1","komonjdjari","key_score","1-/-1",0.0082559012754023
"2","komonjdjari","key_score","2-/-1",0.0506072265848243
"3","komonjdjari","key_score","2-/-2",0.0337181526697713
"4","komonjdjari","key_score","2-/-3",0.0082559012754023
"5","komonjdjari","key_score","2-/-4",0.0330236051016092
"6","komonjdjari","key_score","3-/-1",0.0344127002379334
"7","komonjdjari","key_score","3-/-2",0.148228157858707
"8","komonjdjari","key_score","3-/-3",0.106380583606368
"9","komonjdjari","key_score","3-/-4",0.195603987453429
"10","komonjdjari","key_score","4-/-1",0.0178344131546293
"11","komonjdjari","key_score","4-/-2",0.0938374066013231
"12","komonjdjari","key_score","4-/-3",0.0550036678344623
"13","komonjdjari","key_score","4-/-4",0.183095414595144
"14","komonjdjari","key_score","5-/-1",0.0165118025508046
"15","komonjdjari","key_score","5-/-2",0.000628063035662564
"16","komonjdjari","key_score","5-/-3",0.000628063035662564
"17","komonjdjari","key_score","5-/-4",0.0139749531288649
"18","komonjdjari","score_final","1",0.0082559012754023
"19","komonjdjari","score_final","2",0.136572492647158
"20","komonjdjari","score_final","3",0.389725654443409
"21","komonjdjari","score_final","4",0.433703069883036
"22","komonjdjari","score_final","5",0.0317428817509946
"23","komonjdjari","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0258107389846298
"24","komonjdjari","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.126577036288265
"25","komonjdjari","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.000622920267432197
"26","komonjdjari","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.035062081025885
"27","komonjdjari","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0596929196128868
"28","komonjdjari","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0785697858487288
"29","komonjdjari","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.127017158578833
"30","komonjdjari","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.000622920267432197
"31","komonjdjari","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0552421417342249
"32","komonjdjari","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0698159200356749
"33","komonjdjari","key_sanit","open_defec-/-NA-/-no_soap",0.246404336533246
"34","komonjdjari","key_sanit","open_defec-/-NA-/-soap",0.174562040822762
"35","komonjdjari","sanit_score","1",0.126577036288265
"36","komonjdjari","sanit_score","2",0.282336737212024
"37","komonjdjari","sanit_score","3",0.168874008608839
"38","komonjdjari","sanit_score","4",0.422212217890872
"39","komonjdjari","key_water","just_sufficient-/-improved_less_30",0.0165118025508046
"40","komonjdjari","key_water","just_sufficient-/-improved_more_30",0.129934842348746
"41","komonjdjari","key_water","just_sufficient-/-surface_water",0.000628063035662564
"42","komonjdjari","key_water","more_sufficient-/-improved_premises",0.0082559012754023
"43","komonjdjari","key_water","more_sufficient-/-surface_water",0.0437404204457462
"44","komonjdjari","key_water","not_sufficient-/-improved_less_30",0.0330236051016092
"45","komonjdjari","key_water","not_sufficient-/-improved_more_30",0.276666883066469
"46","komonjdjari","key_water","not_sufficient-/-surface_water",0.0185289607227914
"47","komonjdjari","key_water","not_sufficient-/-unimproved",0.00125612607132513
"48","komonjdjari","key_water","not_sufficient_at_all-/-improved_less_30",0.00895044884356441
"49","komonjdjari","key_water","not_sufficient_at_all-/-improved_more_30",0.0215363068361051
"50","komonjdjari","key_water","not_sufficient_at_all-/-unimproved",0.00125612607132513
"51","komonjdjari","key_water","sufficient-/-improved_less_30",0.0925812805299979
"52","komonjdjari","key_water","sufficient-/-improved_more_30",0.305155179155278
"53","komonjdjari","key_water","sufficient-/-improved_premises",0.0330236051016092
"54","komonjdjari","key_water","sufficient-/-surface_water",0.00895044884356441
"55","komonjdjari","water_score","1",0.0082559012754023
"56","komonjdjari","water_score","2",0.125604885631607
"57","komonjdjari","water_score","3",0.484625429156437
"58","komonjdjari","water_score","4",0.349770902185559
"59","komonjdjari","water_score","5",0.0317428817509946
