"","admin2","indicator","choice","bfa_2020"
"1","kompienga","key_score","1-/-1",0.00994165515167694
"2","kompienga","key_score","2-/-1",0.0959734377381229
"3","kompienga","key_score","2-/-2",0.0766639797312101
"4","kompienga","key_score","2-/-3",0.0187356057104717
"5","kompienga","key_score","2-/-4",0.0932084548870735
"6","kompienga","key_score","3-/-1",0.0316917447160213
"7","kompienga","key_score","3-/-2",0.114135191152154
"8","kompienga","key_score","3-/-3",0.138180689902262
"9","kompienga","key_score","3-/-4",0.146563740653459
"10","kompienga","key_score","4-/-2",0.0570463468669949
"11","kompienga","key_score","4-/-3",0.0694286335761035
"12","kompienga","key_score","4-/-4",0.14843051991445
"13","kompienga","score_final","1",0.00994165515167694
"14","kompienga","score_final","2",0.204329162185354
"15","kompienga","score_final","3",0.421306288518956
"16","kompienga","score_final","4",0.364422894144013
"17","kompienga","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.137606837605821
"18","kompienga","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0217500895643444
"19","kompienga","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0558986422741127
"20","kompienga","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.134592353751949
"21","kompienga","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.134592353751949
"22","kompienga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00936780285523586
"23","kompienga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.00936780285523586
"24","kompienga","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0606346830173087
"25","kompienga","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0573545217242973
"26","kompienga","key_sanit","open_defec-/-NA-/-no_soap",0.2602718555617
"27","kompienga","key_sanit","open_defec-/-NA-/-soap",0.118563057038047
"28","kompienga","sanit_score","1",0.137606837605821
"29","kompienga","sanit_score","2",0.247845517750359
"30","kompienga","sanit_score","3",0.226344929188837
"31","kompienga","sanit_score","4",0.388202715454983
"32","kompienga","key_water","just_sufficient-/-improved_more_30",0.0972238672845086
"33","kompienga","key_water","just_sufficient-/-unimproved",0.00488126311486322
"34","kompienga","key_water","more_sufficient-/-improved_less_30",0.0193094580069128
"35","kompienga","key_water","more_sufficient-/-improved_more_30",0.00936780285523586
"36","kompienga","key_water","more_sufficient-/-improved_premises",0.00994165515167694
"37","kompienga","key_water","more_sufficient-/-surface_water",0.00848577570149237
"38","kompienga","key_water","more_sufficient-/-unimproved",0.00994165515167694
"39","kompienga","key_water","not_sufficient-/-improved_less_30",0.0391927683102667
"40","kompienga","key_water","not_sufficient-/-improved_more_30",0.216771676429803
"41","kompienga","key_water","not_sufficient-/-unimproved",0.0353989822561541
"42","kompienga","key_water","sufficient-/-improved_less_30",0.217859153487345
"43","kompienga","key_water","sufficient-/-improved_more_30",0.264903617670531
"44","kompienga","key_water","sufficient-/-improved_premises",0.0474128665726204
"45","kompienga","key_water","sufficient-/-surface_water",0.00936780285523586
"46","kompienga","key_water","sufficient-/-unimproved",0.00994165515167694
"47","kompienga","water_score","1",0.00994165515167694
"48","kompienga","water_score","2",0.284581478066878
"49","kompienga","water_score","3",0.430571366423897
"50","kompienga","water_score","4",0.274905500357548
