"","admin2","indicator","choice","bfa_2020"
"1","kossi","key_score","1-/-1",0.000330617810407094
"2","kossi","key_score","2-/-1",0.0598871290415231
"3","kossi","key_score","2-/-2",0.118399162294083
"4","kossi","key_score","2-/-3",0.0740136503862873
"5","kossi","key_score","2-/-4",0.0676177449558667
"6","kossi","key_score","3-/-1",0.0271084012515909
"7","kossi","key_score","3-/-2",0.22984250943652
"8","kossi","key_score","3-/-3",0.0660934519311079
"9","kossi","key_score","3-/-4",0.152322927245333
"10","kossi","key_score","4-/-2",0.0138092644420245
"11","kossi","key_score","4-/-3",0.0890331459360801
"12","kossi","key_score","4-/-4",0.094399499129818
"13","kossi","key_score","5-/-2",0.00409988669908492
"14","kossi","key_score","5-/-4",0.0030426094402729
"15","kossi","score_final","1",0.000330617810407094
"16","kossi","score_final","2",0.205394692587197
"17","kossi","score_final","3",0.451376621151806
"18","kossi","score_final","4",0.335755572311231
"19","kossi","score_final","5",0.00714249613935782
"20","kossi","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.00714249613935782
"21","kossi","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0873261481035211
"22","kossi","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.0030426094402729
"23","kossi","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.00311931504327244
"24","kossi","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0818064147519405
"25","kossi","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.195015741699492
"26","kossi","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0220164278496263
"27","kossi","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.00271199162986581
"28","kossi","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0246989963110677
"29","kossi","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0200412186678727
"30","kossi","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.102156871940763
"31","kossi","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.161280593402997
"32","kossi","key_sanit","open_defec-/-NA-/-no_soap",0.124086793887635
"33","kossi","key_sanit","open_defec-/-NA-/-soap",0.165554381132315
"34","kossi","sanit_score","1",0.0873261481035211
"35","kossi","sanit_score","2",0.366150822871713
"36","kossi","sanit_score","3",0.229140248253475
"37","kossi","sanit_score","4",0.317382780771291
"38","kossi","key_water","just_sufficient-/-improved_less_30",0.0287182646251923
"39","kossi","key_water","just_sufficient-/-improved_more_30",0.0114197299842455
"40","kossi","key_water","just_sufficient-/-improved_premises",0.00534618656023264
"41","kossi","key_water","just_sufficient-/-unimproved",0.138853345070635
"42","kossi","key_water","more_sufficient-/-improved_less_30",0.0150607025702423
"43","kossi","key_water","more_sufficient-/-improved_more_30",0.00678978032794469
"44","kossi","key_water","more_sufficient-/-improved_premises",0.00567206228844413
"45","kossi","key_water","more_sufficient-/-unimproved",0.00701762046062533
"46","kossi","key_water","not_sufficient-/-improved_less_30",0.000401481135568691
"47","kossi","key_water","not_sufficient-/-improved_more_30",0.0143866820425423
"48","kossi","key_water","not_sufficient-/-improved_premises",0.00267309328011632
"49","kossi","key_water","not_sufficient-/-unimproved",0.041172823227746
"50","kossi","key_water","not_sufficient_at_all-/-improved_more_30",0.00704005064879897
"51","kossi","key_water","sufficient-/-improved_less_30",0.215825504521249
"52","kossi","key_water","sufficient-/-improved_more_30",0.155470294085721
"53","kossi","key_water","sufficient-/-improved_premises",0.0880935907314348
"54","kossi","key_water","sufficient-/-unimproved",0.256058788439261
"55","kossi","water_score","1",0.00567206228844413
"56","kossi","water_score","2",0.324325984383159
"57","kossi","water_score","3",0.468549052338674
"58","kossi","water_score","4",0.194412850340924
"59","kossi","water_score","5",0.00704005064879897
