admin2,indicator,choice,value,context,phase,Indicateur,label_choice,data_source_name,data_source_url,score,ch_label,label_choiceLabel
kossi,critical_handwashing_times,nsp,0,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_nsp,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Je ne sais pas / préfère ne pas répondre,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerJe ne sais pas / préfère ne pas répondre
kossi,critical_handwashing_times,autre,0.012787718344600298,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_autre,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Autres (à préciser),% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAutres (à préciser)
kossi,critical_handwashing_times,ablution,0.704883785052296,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_ablution,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Ablution et/ou après manger,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAblution et/ou après manger
kossi,critical_handwashing_times,retour_champ,0.3585559155956924,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_retour_champ,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Au retour des champs,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAu retour des champs
kossi,critical_handwashing_times,avant_sein,0.006073543424012818,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_avant_sein,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Avant de donner le sein à l’enfant,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAvant de donner le sein à l’enfant
kossi,critical_handwashing_times,apres_netto,0.03597063245062376,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_apres_netto,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,after_changing,Après le nettoyage ou changement des couches de l’enfant,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAprès le nettoyage ou changement des couches de l’enfant
kossi,critical_handwashing_times,avant_prepare,0.18031145580628344,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_avant_prepare,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,before_cooking,Avant de préparer les aliments,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAvant de préparer les aliments
kossi,critical_handwashing_times,avant_manger,0.9973269067198837,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_avant_manger,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,after_eat,Avant de manger,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAvant de manger
kossi,critical_handwashing_times,apres_toilette,0.3963635981189262,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_apres_toilette,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,after_defec,Après la toilette ou la latrine,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAprès la toilette ou la latrine
kossi,critical_handwashing_times,aucun,0,bfa_2020,NA,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommer_aucun,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,none,Aucun,% de ménages par nombre de moments clés pour le lavage des mains que les personnes interrogées peuvent nommerAucun
kossi,gbv_30days,NA,0.03142059812750537,bfa_2020,NA,"% de ménages signalant l'incidence de la violence basée sur le genre (par exemple, violence sexuelle, mariage ou reproduction forcés, etc.) pour les femmes, les filles et les garçons dans leur communauté au cours des 30 derniers jours","% de ménages signalant l'incidence de la violence basée sur le genre (par exemple, violence sexuelle, mariage ou reproduction forcés, etc.) pour les femmes, les filles et les garçons dans leur communauté au cours des 30 derniers jours_NA",msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,NA,"% de ménages signalant l'incidence de la violence basée sur le genre (par exemple, violence sexuelle, mariage ou reproduction forcés, etc.) pour les femmes, les filles et les garçons dans leur communauté au cours des 30 derniers joursNA"
kossi,access_to_soap,non,0.36004196529106425,bfa_2020,NA,% des ménages ayant accès au savon,% des ménages ayant accès au savon_non,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,no_soap,Non,% des ménages ayant accès au savonNon
kossi,access_to_soap,oui,0.6399580347089358,bfa_2020,NA,% des ménages ayant accès au savon,% des ménages ayant accès au savon_oui,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,soap,Oui,% des ménages ayant accès au savonOui
kossi,type_handwashing_fac,autre,0.0026730932801163204,bfa_2020,NA,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil_autre,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,"Autre, préciser","% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareilAutre, préciser"
kossi,type_handwashing_fac,bouilloire,0.7545103834286152,bfa_2020,NA,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil_bouilloire,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Bouilloire / arrosoir pour verser l'eau sur les mains,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareilBouilloire / arrosoir pour verser l'eau sur les mains
kossi,type_handwashing_fac,evier,0.0026730932801163204,bfa_2020,NA,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil_evier,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Evier avec eau courante,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareilEvier avec eau courante
kossi,type_handwashing_fac,pas_dispositif,0.22678113138112246,bfa_2020,NA,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil,% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareil_pas_dispositif,msna_2020,https://docs.google.com/spreadsheets/d/1nQS1xwC5Fligkydi04Oz2aX4xUeYuxEUQHFU4VEAj_M/edit?usp=sharing,NA,Pas de dispositif particulier (pas de dispositif ou juste un seau ou similaire sans robinet),% de ménages ayant accès à des installations de lavage des mains en état de marche - par type d'appareilPas de dispositif particulier (pas de dispositif ou juste un seau ou similaire sans robinet)
