admin2,indicator,choice,bfa_2020,choice_key
kouritenga,access_to_soap,non,0.272875822980532,access_to_soapnon
kouritenga,access_to_soap,oui,0.7271241770194681,access_to_soapoui
kouritenga,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
kouritenga,critical_handwashing_times,autre,0,critical_handwashing_timesautre
kouritenga,critical_handwashing_times,ablution,0.2717032755521101,critical_handwashing_timesablution
kouritenga,critical_handwashing_times,retour_champ,0.2503620918632095,critical_handwashing_timesretour_champ
kouritenga,critical_handwashing_times,avant_sein,0.03671005262050854,critical_handwashing_timesavant_sein
kouritenga,critical_handwashing_times,apres_netto,0.02947215257423841,critical_handwashing_timesapres_netto
kouritenga,critical_handwashing_times,avant_prepare,0.404049393765455,critical_handwashing_timesavant_prepare
kouritenga,critical_handwashing_times,avant_manger,0.998227809212413,critical_handwashing_timesavant_manger
kouritenga,critical_handwashing_times,apres_toilette,0.4224555958157057,critical_handwashing_timesapres_toilette
kouritenga,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
kouritenga,diarrhea_rate_hh_2w,NA,0.28927318476501435,diarrhea_rate_hh_2wNA
kouritenga,distance_to_water_source,eau_concession,0.04864017765332807,distance_to_water_sourceeau_concession
kouritenga,distance_to_water_source,entre_16_30mn,0.36486331450953663,distance_to_water_sourceentre_16_30mn
kouritenga,distance_to_water_source,entre_31_45mn,0.2096572941195129,distance_to_water_sourceentre_31_45mn
kouritenga,distance_to_water_source,entre_5_15mn,0.053723817729324407,distance_to_water_sourceentre_5_15mn
kouritenga,distance_to_water_source,plus_46mn,0.323115395988298,distance_to_water_sourceplus_46mn
kouritenga,fcs_score,acceptable,0.38209792281920063,fcs_scoreacceptable
kouritenga,fcs_score,limite,0.5652390632266283,fcs_scorelimite
kouritenga,fcs_score,pauvre,0.05266301395417113,fcs_scorepauvre
kouritenga,gbv_30days,NA,0,gbv_30daysNA
kouritenga,hhs_score,NA,0.5391211206585298,hhs_scoreNA
kouritenga,hhs_thresholds,faim_moderee,0.18970078948382157,hhs_thresholdsfaim_moderee
kouritenga,hhs_thresholds,peu_pasFaim,0.8102992105161785,hhs_thresholdspeu_pasFaim
kouritenga,lcsi_score,crisis,0.24705614749805052,lcsi_scorecrisis
kouritenga,lcsi_score,emergency,0.03851055128090879,lcsi_scoreemergency
kouritenga,lcsi_score,none,0.4091278926451837,lcsi_scorenone
kouritenga,lcsi_score,stress,0.3053054085758571,lcsi_scorestress
kouritenga,livelihoods_change_pratique_agri,non,0.29218689901477735,livelihoods_change_pratique_agrinon
kouritenga,livelihoods_change_pratique_agri,non_applicable,0.0737490127916785,livelihoods_change_pratique_agrinon_applicable
kouritenga,livelihoods_change_pratique_agri,oui,0.6340640881935441,livelihoods_change_pratique_agrioui
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre,0.24870966782748072,livelihoods_change_pratique_agri_probacces_terre
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre cultive,0.002337484571634528,livelihoods_change_pratique_agri_probacces_terre cultive
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre finance,0.004674969143269056,livelihoods_change_pratique_agri_probacces_terre finance
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre finance insuff_pluie,1.1383083473577578e-4,livelihoods_change_pratique_agri_probacces_terre finance insuff_pluie
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie finance,0.009349938286538111,livelihoods_change_pratique_agri_probacces_terre insuff_pluie finance
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre semence,0.004674969143269056,livelihoods_change_pratique_agri_probacces_terre semence
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre semence finance,0.0024513154063703036,livelihoods_change_pratique_agri_probacces_terre semence finance
kouritenga,livelihoods_change_pratique_agri_prob,acces_terre sol_pauvre,0.07147123925154236,livelihoods_change_pratique_agri_probacces_terre sol_pauvre
kouritenga,livelihoods_change_pratique_agri_prob,autre finance,0.05372357710023177,livelihoods_change_pratique_agri_probautre finance
kouritenga,livelihoods_change_pratique_agri_prob,autre sol_pauvre,0.07147123925154236,livelihoods_change_pratique_agri_probautre sol_pauvre
kouritenga,livelihoods_change_pratique_agri_prob,cultive,0.07147123925154236,livelihoods_change_pratique_agri_probcultive
kouritenga,livelihoods_change_pratique_agri_prob,insuff_pluie acces_terre finance,1.1383083473577578e-4,livelihoods_change_pratique_agri_probinsuff_pluie acces_terre finance
kouritenga,livelihoods_change_pratique_agri_prob,insuff_pluie finance,0.3786764404446967,livelihoods_change_pratique_agri_probinsuff_pluie finance
kouritenga,livelihoods_change_pratique_agri_prob,insuff_pluie finance acces_terre,0.002337484571634528,livelihoods_change_pratique_agri_probinsuff_pluie finance acces_terre
kouritenga,livelihoods_change_pratique_agri_prob,semence finance acces_terre,0.07608528950914206,livelihoods_change_pratique_agri_probsemence finance acces_terre
kouritenga,livelihoods_change_pratique_agri_prob,semence insuff_pluie finance,0.002337484571634528,livelihoods_change_pratique_agri_probsemence insuff_pluie finance
kouritenga,location_sanitation_facility,dal_eau,0.03554746401065934,location_sanitation_facilitydal_eau
kouritenga,location_sanitation_facility,dal_zonep,0.31286025638692877,location_sanitation_facilitydal_zonep
kouritenga,location_sanitation_facility,dal_zonep_am,0.17793119225388593,location_sanitation_facilitydal_zonep_am
kouritenga,location_sanitation_facility,lat_prive,0.36905774111447226,location_sanitation_facilitylat_prive
kouritenga,location_sanitation_facility,lat_privep,0.036365558518313135,location_sanitation_facilitylat_privep
kouritenga,location_sanitation_facility,lat_publiq,0.06823778771574063,location_sanitation_facilitylat_publiq
kouritenga,open_defecation,NA,0.526338912651474,open_defecationNA
kouritenga,pop_disp_3m,3_5_mois,0.15905516948874976,pop_disp_3m3_5_mois
kouritenga,pop_disp_3m,6_1_an,0.8216501908583825,pop_disp_3m6_1_an
kouritenga,pop_disp_3m,moins_1_ans,0.01929463965286768,pop_disp_3mmoins_1_ans
kouritenga,prob_access_water,attente_longue,0.40024651579984255,prob_access_waterattente_longue
kouritenga,prob_access_water,distance_eau,0.3590613904773957,prob_access_waterdistance_eau
kouritenga,prob_access_water,manque_finance,0.008884135278647665,prob_access_watermanque_finance
kouritenga,prob_access_water,manque_recipien,0.0059227568524317774,prob_access_watermanque_recipien
kouritenga,prob_access_water,pas_resc_eau,0.090547500754809,prob_access_waterpas_resc_eau
kouritenga,prob_access_water,qualite_eau,0.13533770083687333,prob_access_waterqualite_eau
kouritenga,pull_factor,acces_abris,0.11670744837036774,pull_factoracces_abris
kouritenga,pull_factor,meilleure_securite,0.5082379041466913,pull_factormeilleure_securite
kouritenga,pull_factor,moyen_subsistance,0.01929463965286768,pull_factormoyen_subsistance
kouritenga,pull_factor,regroupement_familial,0.3557600078300732,pull_factorregroupement_familial
kouritenga,push_factor,attaque,0.8592998597109562,push_factorattaque
kouritenga,push_factor,conflit_arme,0.002818831359485005,push_factorconflit_arme
kouritenga,push_factor,conflit_communautaire,9.396104531616684e-4,push_factorconflit_communautaire
kouritenga,push_factor,manque_subsistance,0.1369416984763971,push_factormanque_subsistance
kouritenga,rcsi_score,NA,4.276482420774297,rcsi_scoreNA
kouritenga,rcsi_thresholds,high,0.0822917220894945,rcsi_thresholdshigh
kouritenga,rcsi_thresholds,low,0.22844120079938104,rcsi_thresholdslow
kouritenga,rcsi_thresholds,medium,0.0813684237829836,rcsi_thresholdsmedium
kouritenga,rcsi_thresholds,no_coping,0.6078986533281409,rcsi_thresholdsno_coping
kouritenga,sanitation_facility_sharing,ind,0.4940593820278474,sanitation_facility_sharingind
kouritenga,sanitation_facility_sharing,lat_com_20,0.4801523216181334,sanitation_facility_sharinglat_com_20
kouritenga,sanitation_facility_sharing,lat_com_50,0.02578829635401918,sanitation_facility_sharinglat_com_50
kouritenga,sufficiency_of_water,insuffisant,0.17793677475732741,sufficiency_of_waterinsuffisant
kouritenga,sufficiency_of_water,juste_suffisant,0.34221935445745855,sufficiency_of_waterjuste_suffisant
kouritenga,sufficiency_of_water,pas_suffisant,0.01835502631025427,sufficiency_of_waterpas_suffisant
kouritenga,sufficiency_of_water,plus_suffisant,0.1376376478050411,sufficiency_of_waterplus_suffisant
kouritenga,sufficiency_of_water,suffisant,0.32385119666991874,sufficiency_of_watersuffisant
kouritenga,time_going_water_source,eau_concession,0.0477473859127658,time_going_water_sourceeau_concession
kouritenga,time_going_water_source,entre_16_30mn,0.20918877638421232,time_going_water_sourceentre_16_30mn
kouritenga,time_going_water_source,entre_31_45mn,0.06818627042704663,time_going_water_sourceentre_31_45mn
kouritenga,time_going_water_source,entre_5_15mn,0.4738606750507789,time_going_water_sourceentre_5_15mn
kouritenga,time_going_water_source,moins_5mn,0.18266186591494213,time_going_water_sourcemoins_5mn
kouritenga,time_going_water_source,nsp,0.01835502631025427,time_going_water_sourcensp
kouritenga,time_queing_water_source,eau_concession,0.0477473859127658,time_queing_water_sourceeau_concession
kouritenga,time_queing_water_source,entre_16_30mn,0.1718121050777156,time_queing_water_sourceentre_16_30mn
kouritenga,time_queing_water_source,entre_31_45mn,0.15689065299838267,time_queing_water_sourceentre_31_45mn
kouritenga,time_queing_water_source,entre_5_15mn,0.31340368476309133,time_queing_water_sourceentre_5_15mn
kouritenga,time_queing_water_source,moins_5mn,0.1893123486006421,time_queing_water_sourcemoins_5mn
kouritenga,time_queing_water_source,nsp,0.01835502631025427,time_queing_water_sourcensp
kouritenga,time_queing_water_source,plus_46mn,0.10247879633714828,time_queing_water_sourceplus_46mn
kouritenga,total_income,0_10000,0.16313045886674968,total_income0_10000
kouritenga,total_income,10000_25000,0.16870165871576162,total_income10000_25000
kouritenga,total_income,25000_50000,0.36623497329046867,total_income25000_50000
kouritenga,total_income,50000_3e+06,0.30193290912702003,total_income50000_3e+06
kouritenga,type_handwashing_fac,bouilloire,0.5997442699759032,type_handwashing_facbouilloire
kouritenga,type_handwashing_fac,pas_dispositif,0.3813345589426226,type_handwashing_facpas_dispositif
