"","admin2","indicator","choice","bfa_2020"
"1","kouritenga","key_score","2-/-1",0.0494300020294392
"2","kouritenga","key_score","2-/-2",0.0897368506403181
"3","kouritenga","key_score","2-/-3",0.034622500581284
"4","kouritenga","key_score","2-/-4",0.168194916092947
"5","kouritenga","key_score","3-/-1",0.111993596214431
"6","kouritenga","key_score","3-/-2",0.121460164256033
"7","kouritenga","key_score","3-/-3",0.00120355818953607
"8","kouritenga","key_score","3-/-4",0.220721768759706
"9","kouritenga","key_score","4-/-2",0.034638183983997
"10","kouritenga","key_score","4-/-4",0.148996602492571
"11","kouritenga","key_score","5-/-2",0.000601779094768037
"12","kouritenga","key_score","5-/-4",0.0184000776649694
"13","kouritenga","score_final","2",0.251160448884189
"14","kouritenga","score_final","3",0.360119323103797
"15","kouritenga","score_final","4",0.369718371252277
"16","kouritenga","score_final","5",0.0190018567597374
"17","kouritenga","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0803491215804133
"18","kouritenga","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.161035965932654
"19","kouritenga","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.0119991841719766
"20","kouritenga","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.000600334020913382
"21","kouritenga","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0213419172575052
"22","kouritenga","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0754352613513506
"23","kouritenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0143981111056534
"24","kouritenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0912614850776203
"25","kouritenga","key_sanit","open_defec-/-NA-/-no_soap",0.134769037746997
"26","kouritenga","key_sanit","open_defec-/-NA-/-soap",0.408809581754915
"27","kouritenga","sanit_score","1",0.161035965932654
"28","kouritenga","sanit_score","2",0.247045868009384
"29","kouritenga","sanit_score","3",0.036340362384072
"30","kouritenga","sanit_score","4",0.555577803673889
"31","kouritenga","key_water","just_sufficient-/-improved_less_30",0.100241332601433
"32","kouritenga","key_water","just_sufficient-/-improved_more_30",0.2296726116586
"33","kouritenga","key_water","just_sufficient-/-unimproved",0.000593217326112853
"34","kouritenga","key_water","more_sufficient-/-improved_less_30",0.113292404769139
"35","kouritenga","key_water","more_sufficient-/-improved_more_30",0.0271394625159528
"36","kouritenga","key_water","more_sufficient-/-surface_water",2.88885001555035e-05
"37","kouritenga","key_water","not_sufficient-/-improved_more_30",0.13515116407085
"38","kouritenga","key_water","not_sufficient-/-surface_water",0.000593217326112853
"39","kouritenga","key_water","not_sufficient-/-unimproved",0.0452488659032704
"40","kouritenga","key_water","not_sufficient_at_all-/-improved_more_30",0.0181382918874731
"41","kouritenga","key_water","not_sufficient_at_all-/-unimproved",0.000593217326112853
"42","kouritenga","key_water","sufficient-/-improved_less_30",0.175692785139767
"43","kouritenga","key_water","sufficient-/-improved_more_30",0.105481018059417
"44","kouritenga","key_water","sufficient-/-improved_premises",0.0481335229156027
"45","kouritenga","water_score","2",0.337118712824509
"46","kouritenga","water_score","3",0.462534424835403
"47","kouritenga","water_score","4",0.181615353126502
"48","kouritenga","water_score","5",0.0187315092135859
