admin2,indicator,choice,bfa_2020,choice_key
leraba,access_to_soap,oui,1,access_to_soapoui
leraba,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
leraba,critical_handwashing_times,autre,0,critical_handwashing_timesautre
leraba,critical_handwashing_times,ablution,0.625,critical_handwashing_timesablution
leraba,critical_handwashing_times,retour_champ,0.5,critical_handwashing_timesretour_champ
leraba,critical_handwashing_times,avant_sein,0,critical_handwashing_timesavant_sein
leraba,critical_handwashing_times,apres_netto,0,critical_handwashing_timesapres_netto
leraba,critical_handwashing_times,avant_prepare,0.25,critical_handwashing_timesavant_prepare
leraba,critical_handwashing_times,avant_manger,1,critical_handwashing_timesavant_manger
leraba,critical_handwashing_times,apres_toilette,0.625,critical_handwashing_timesapres_toilette
leraba,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
leraba,diarrhea_rate_hh_2w,NA,0,diarrhea_rate_hh_2wNA
leraba,distance_to_water_source,eau_concession,0.125,distance_to_water_sourceeau_concession
leraba,distance_to_water_source,entre_16_30mn,0.5,distance_to_water_sourceentre_16_30mn
leraba,distance_to_water_source,entre_31_45mn,0.125,distance_to_water_sourceentre_31_45mn
leraba,distance_to_water_source,entre_5_15mn,0.125,distance_to_water_sourceentre_5_15mn
leraba,distance_to_water_source,plus_46mn,0.125,distance_to_water_sourceplus_46mn
leraba,fcs_score,acceptable,0.75,fcs_scoreacceptable
leraba,fcs_score,limite,0.25,fcs_scorelimite
leraba,gbv_30days,NA,0.125,gbv_30daysNA
leraba,hhs_score,NA,0.125,hhs_scoreNA
leraba,hhs_thresholds,peu_pasFaim,1,hhs_thresholdspeu_pasFaim
leraba,lcsi_score,crisis,0.125,lcsi_scorecrisis
leraba,lcsi_score,none,0.25,lcsi_scorenone
leraba,lcsi_score,stress,0.625,lcsi_scorestress
leraba,livelihoods_change_pratique_agri,non,0.25,livelihoods_change_pratique_agrinon
leraba,livelihoods_change_pratique_agri,non_applicable,0.125,livelihoods_change_pratique_agrinon_applicable
leraba,livelihoods_change_pratique_agri,oui,0.625,livelihoods_change_pratique_agrioui
leraba,livelihoods_change_pratique_agri_prob,main_oeuvre semence finance,0.5,livelihoods_change_pratique_agri_probmain_oeuvre semence finance
leraba,livelihoods_change_pratique_agri_prob,semence insuff_pluie finance,0.5,livelihoods_change_pratique_agri_probsemence insuff_pluie finance
leraba,location_sanitation_facility,dal_zonep,0.125,location_sanitation_facilitydal_zonep
leraba,location_sanitation_facility,lat_prive,0.625,location_sanitation_facilitylat_prive
leraba,location_sanitation_facility,lat_privep,0.25,location_sanitation_facilitylat_privep
leraba,open_defecation,NA,0.125,open_defecationNA
leraba,rcsi_score,NA,3.375,rcsi_scoreNA
leraba,rcsi_thresholds,low,0.625,rcsi_thresholdslow
leraba,rcsi_thresholds,no_coping,0.375,rcsi_thresholdsno_coping
leraba,sanitation_facility_sharing,ind,0.2857142857142857,sanitation_facility_sharingind
leraba,sanitation_facility_sharing,lat_com_20,0.5714285714285714,sanitation_facility_sharinglat_com_20
leraba,sanitation_facility_sharing,lat_com_50,0.14285714285714285,sanitation_facility_sharinglat_com_50
leraba,sufficiency_of_water,juste_suffisant,0.125,sufficiency_of_waterjuste_suffisant
leraba,sufficiency_of_water,suffisant,0.875,sufficiency_of_watersuffisant
leraba,time_going_water_source,eau_concession,0.125,time_going_water_sourceeau_concession
leraba,time_going_water_source,entre_31_45mn,0.125,time_going_water_sourceentre_31_45mn
leraba,time_going_water_source,entre_5_15mn,0.375,time_going_water_sourceentre_5_15mn
leraba,time_going_water_source,moins_5mn,0.375,time_going_water_sourcemoins_5mn
leraba,time_queing_water_source,eau_concession,0.125,time_queing_water_sourceeau_concession
leraba,time_queing_water_source,entre_16_30mn,0.125,time_queing_water_sourceentre_16_30mn
leraba,time_queing_water_source,entre_5_15mn,0.375,time_queing_water_sourceentre_5_15mn
leraba,time_queing_water_source,moins_5mn,0.375,time_queing_water_sourcemoins_5mn
leraba,total_income,50000_3e+06,1,total_income50000_3e+06
leraba,type_handwashing_fac,bouilloire,0.75,type_handwashing_facbouilloire
leraba,type_handwashing_fac,pas_dispositif,0.25,type_handwashing_facpas_dispositif
leraba,type_livelihoods,agri,0.75,type_livelihoodsagri
leraba,type_livelihoods,fonctionnaire,0.25,type_livelihoodsfonctionnaire
leraba,type_of_sanitation_facility,dal,0.125,type_of_sanitation_facilitydal
leraba,type_of_sanitation_facility,lat_non,0.625,type_of_sanitation_facilitylat_non
leraba,type_of_sanitation_facility,lat_oui,0.25,type_of_sanitation_facilitylat_oui
leraba,water_source,borne_fontaine,0.125,water_sourceborne_fontaine
leraba,water_source,eau _robi_conce,0.125,water_sourceeau _robi_conce
leraba,water_source,pmh,0.625,water_sourcepmh
leraba,water_source,poste_auto,0.125,water_sourceposte_auto
