"","admin2","indicator","choice","bfa_2020"
"1","loroum","key_score","1-/-1",0.006745262926368
"2","loroum","key_score","1-/-2",0.006745262926368
"3","loroum","key_score","2-/-1",0.0679849603768248
"4","loroum","key_score","2-/-2",0.0442327168398612
"5","loroum","key_score","2-/-3",0.00145884236978842
"6","loroum","key_score","2-/-4",0.0169854995778168
"7","loroum","key_score","3-/-1",0.103834098062395
"8","loroum","key_score","3-/-2",0.224780254416009
"9","loroum","key_score","3-/-3",0.10169974308364
"10","loroum","key_score","3-/-4",0.174387361587179
"11","loroum","key_score","4-/-1",0.0466106636959655
"12","loroum","key_score","4-/-2",0.068239588218555
"13","loroum","key_score","4-/-3",0.0413220757841235
"14","loroum","key_score","4-/-4",0.0949736701351057
"15","loroum","score_final","1",0.006745262926368
"16","loroum","score_final","2",0.269407701901415
"17","loroum","score_final","3",0.413163927665809
"18","loroum","score_final","4",0.310683107506408
"19","loroum","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0353807804736207
"20","loroum","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.224519906755881
"21","loroum","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.0186726444239237
"22","loroum","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0143088494924367
"23","loroum","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0275027491834428
"24","loroum","key_sanit","latrine_hygienic-/-shared_less20-/-nsp",0.00290919662099134
"25","loroum","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0894408932340709
"26","loroum","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0461960956165106
"27","loroum","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.141177575050491
"28","loroum","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00612861155168615
"29","loroum","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0248732569780452
"30","loroum","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0311793873156456
"31","loroum","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.076997816340054
"32","loroum","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.00119968396517542
"33","loroum","key_sanit","latrine_nonhygienic-/-shared_more50-/-soap",0.00145459831049567
"34","loroum","key_sanit","open_defec-/-NA-/-no_soap",0.0668056605967004
"35","loroum","key_sanit","open_defec-/-NA-/-soap",0.191252294090829
"36","loroum","sanit_score","1",0.225174985061554
"37","loroum","sanit_score","2",0.343997822400793
"38","loroum","sanit_score","3",0.144480661237552
"39","loroum","sanit_score","4",0.286346531300102
"40","loroum","key_water","just_sufficient-/-improved_less_30",0.0134592909196406
"41","loroum","key_water","just_sufficient-/-improved_more_30",0.186611281518976
"42","loroum","key_water","just_sufficient-/-improved_premises",0.0201769188907647
"43","loroum","key_water","just_sufficient-/-surface_water",0.00119968396517542
"44","loroum","key_water","just_sufficient-/-unimproved",0.0814878568484902
"45","loroum","key_water","more_sufficient-/-improved_more_30",0.0194849130162041
"46","loroum","key_water","more_sufficient-/-improved_premises",0.0134512792605098
"47","loroum","key_water","more_sufficient-/-unimproved",0.00672563963025491
"48","loroum","key_water","not_sufficient-/-improved_less_30",0.0119518538689453
"49","loroum","key_water","not_sufficient-/-improved_more_30",0.0970062409903618
"50","loroum","key_water","not_sufficient-/-surface_water",0.00646826006075113
"51","loroum","key_water","not_sufficient-/-unimproved",0.0657079211911935
"52","loroum","key_water","sufficient-/-improved_less_30",0.0510736474881522
"53","loroum","key_water","sufficient-/-improved_more_30",0.209280483042426
"54","loroum","key_water","sufficient-/-improved_premises",0.0590313312807296
"55","loroum","key_water","sufficient-/-unimproved",0.156883398027425
"56","loroum","water_score","1",0.0134512792605098
"57","loroum","water_score","2",0.130281897659647
"58","loroum","water_score","3",0.604396860023872
"59","loroum","water_score","4",0.251869963055972
