"","admin2","indicator","choice","bfa_2020"
"1","mouhoun","key_score","1-/-2",0.032844270128622
"2","mouhoun","key_score","2-/-1",0.0293801604203686
"3","mouhoun","key_score","2-/-2",0.0906544788223503
"4","mouhoun","key_score","2-/-3",0.0246332025964665
"5","mouhoun","key_score","2-/-4",0.122245983293282
"6","mouhoun","key_score","3-/-1",0.0540392386722569
"7","mouhoun","key_score","3-/-2",0.205003242183348
"8","mouhoun","key_score","3-/-3",0.108666447801529
"9","mouhoun","key_score","3-/-4",0.246588156751184
"10","mouhoun","key_score","4-/-1",0.016422135064311
"11","mouhoun","key_score","4-/-2",0.0206923709473488
"12","mouhoun","key_score","4-/-3",0.0082110675321555
"13","mouhoun","key_score","4-/-4",0.0406192457867778
"14","mouhoun","score_final","2",0.223340283107909
"15","mouhoun","score_final","3",0.481241246821974
"16","mouhoun","score_final","4",0.295418470070117
"17","mouhoun","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0144517192397521
"18","mouhoun","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0998415341569365
"19","mouhoun","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0144517192397521
"20","mouhoun","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0281379423715845
"21","mouhoun","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.1423350557371
"22","mouhoun","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0246332025964665
"23","mouhoun","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0371145060116598
"24","mouhoun","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.023487124578856
"25","mouhoun","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0508007291434922
"26","mouhoun","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.155293081093157
"27","mouhoun","key_sanit","latrine_nonhygienic-/-shared_more50-/-soap",0.0082110675321555
"28","mouhoun","key_sanit","open_defec-/-NA-/-no_soap",0.10702876794561
"29","mouhoun","key_sanit","open_defec-/-NA-/-soap",0.294213550353478
"30","mouhoun","sanit_score","1",0.0998415341569365
"31","mouhoun","sanit_score","2",0.349194362081669
"32","mouhoun","sanit_score","3",0.141510717930151
"33","mouhoun","sanit_score","4",0.409453385831243
"34","mouhoun","key_water","just_sufficient-/-improved_less_30",0.02051337250082
"35","mouhoun","key_water","just_sufficient-/-improved_more_30",0.0396747180268989
"36","mouhoun","key_water","just_sufficient-/-unimproved",0.0222969075178281
"37","mouhoun","key_water","more_sufficient-/-improved_less_30",0.0180369435794686
"38","mouhoun","key_water","more_sufficient-/-improved_more_30",0.0148646050118854
"39","mouhoun","key_water","more_sufficient-/-improved_premises",0.0297292100237708
"40","mouhoun","key_water","more_sufficient-/-unimproved",0.0148646050118854
"41","mouhoun","key_water","not_sufficient-/-improved_less_30",0.0162534085624604
"42","mouhoun","key_water","not_sufficient-/-improved_more_30",0.052324279979509
"43","mouhoun","key_water","not_sufficient-/-improved_premises",0.0138272248552937
"44","mouhoun","key_water","not_sufficient-/-unimproved",0.0106046410735259
"45","mouhoun","key_water","sufficient-/-improved_less_30",0.222471243186709
"46","mouhoun","key_water","sufficient-/-improved_more_30",0.304394196419991
"47","mouhoun","key_water","sufficient-/-improved_premises",0.0311180135743458
"48","mouhoun","key_water","sufficient-/-unimproved",0.189026630675608
"49","mouhoun","water_score","1",0.0297292100237708
"50","mouhoun","water_score","2",0.271626200340523
"51","mouhoun","water_score","3",0.613418761064843
"52","mouhoun","water_score","4",0.085225828570863
