"","admin2","indicator","choice","bfa_2020"
"1","nahouri","key_score","2-/-1",0.126446536407943
"2","nahouri","key_score","2-/-2",0.0948349023059573
"3","nahouri","key_score","2-/-4",0.199689476031135
"4","nahouri","key_score","3-/-1",0.0948349023059573
"5","nahouri","key_score","3-/-2",0.131456372117553
"6","nahouri","key_score","3-/-4",0.131456372117553
"7","nahouri","key_score","4-/-1",0.0316116341019858
"8","nahouri","key_score","4-/-2",0.0316116341019858
"9","nahouri","key_score","4-/-4",0.126446536407943
"10","nahouri","key_score","5-/-4",0.0316116341019858
"11","nahouri","score_final","2",0.347727975121844
"12","nahouri","score_final","3",0.362757482250674
"13","nahouri","score_final","4",0.257902908525496
"14","nahouri","score_final","5",0.0316116341019858
"15","nahouri","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.252893072815886
"16","nahouri","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.189669804611915
"17","nahouri","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0682331039135818
"18","nahouri","key_sanit","open_defec-/-NA-/-no_soap",0.126446536407943
"19","nahouri","key_sanit","open_defec-/-NA-/-soap",0.362757482250674
"20","nahouri","sanit_score","1",0.252893072815886
"21","nahouri","sanit_score","2",0.257902908525496
"22","nahouri","sanit_score","4",0.489204018658617
"23","nahouri","key_water","just_sufficient-/-improved_less_30",0.0316116341019858
"24","nahouri","key_water","just_sufficient-/-improved_more_30",0.168077841929149
"25","nahouri","key_water","just_sufficient-/-improved_premises",0.0316116341019858
"26","nahouri","key_water","not_sufficient-/-improved_less_30",0.0316116341019858
"27","nahouri","key_water","not_sufficient-/-improved_more_30",0.158058170509929
"28","nahouri","key_water","not_sufficient-/-unimproved",0.0316116341019858
"29","nahouri","key_water","not_sufficient_at_all-/-improved_more_30",0.0316116341019858
"30","nahouri","key_water","sufficient-/-improved_less_30",0.231301110133121
"31","nahouri","key_water","sufficient-/-improved_more_30",0.126446536407943
"32","nahouri","key_water","sufficient-/-improved_premises",0.158058170509929
"33","nahouri","water_score","2",0.420970914745036
"34","nahouri","water_score","3",0.357747646541064
"35","nahouri","water_score","4",0.189669804611915
"36","nahouri","water_score","5",0.0316116341019858
