admin2,indicator,choice,bfa_2020,choice_key
namentenga,access_to_soap,non,0.2821372668700962,access_to_soapnon
namentenga,access_to_soap,nsp,0.008734895322392593,access_to_soapnsp
namentenga,access_to_soap,oui,0.7091278378075112,access_to_soapoui
namentenga,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
namentenga,critical_handwashing_times,autre,0,critical_handwashing_timesautre
namentenga,critical_handwashing_times,ablution,0.5246743314909061,critical_handwashing_timesablution
namentenga,critical_handwashing_times,retour_champ,0.3589935182056764,critical_handwashing_timesretour_champ
namentenga,critical_handwashing_times,avant_sein,0.06785342669037277,critical_handwashing_timesavant_sein
namentenga,critical_handwashing_times,apres_netto,0.03282184725641106,critical_handwashing_timesapres_netto
namentenga,critical_handwashing_times,avant_prepare,0.3462657540001616,critical_handwashing_timesavant_prepare
namentenga,critical_handwashing_times,avant_manger,0.9038326002795011,critical_handwashing_timesavant_manger
namentenga,critical_handwashing_times,apres_toilette,0.5875470211642663,critical_handwashing_timesapres_toilette
namentenga,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
namentenga,diarrhea_rate_hh_2w,NA,0.2928308851250261,diarrhea_rate_hh_2wNA
namentenga,distance_to_water_source,eau_concession,0.002656384058249609,distance_to_water_sourceeau_concession
namentenga,distance_to_water_source,entre_16_30mn,0.28319504525369105,distance_to_water_sourceentre_16_30mn
namentenga,distance_to_water_source,entre_31_45mn,0.24979808375745613,distance_to_water_sourceentre_31_45mn
namentenga,distance_to_water_source,entre_5_15mn,0.040833306899759426,distance_to_water_sourceentre_5_15mn
namentenga,distance_to_water_source,plus_46mn,0.4235171800308437,distance_to_water_sourceplus_46mn
namentenga,fcs_score,acceptable,0.6405751143323791,fcs_scoreacceptable
namentenga,fcs_score,limite,0.3113363449662371,fcs_scorelimite
namentenga,fcs_score,pauvre,0.04808854070138385,fcs_scorepauvre
namentenga,gbv_30days,NA,0.010858102635630782,gbv_30daysNA
namentenga,hhs_score,NA,0.22464673298875726,hhs_scoreNA
