"","admin2","indicator","choice","bfa_2020"
"1","namentenga","key_score","2-/-1",0.0563606584388402
"2","namentenga","key_score","2-/-2",0.0573557982326129
"3","namentenga","key_score","2-/-3",0.04177149874924
"4","namentenga","key_score","2-/-4",0.0584914490970003
"5","namentenga","key_score","3-/-1",0.0604155760412421
"6","namentenga","key_score","3-/-2",0.17284141700279
"7","namentenga","key_score","3-/-3",0.0666024737747035
"8","namentenga","key_score","3-/-4",0.207134678441213
"9","namentenga","key_score","4-/-1",0.0170671886611756
"10","namentenga","key_score","4-/-2",0.0677007181174552
"11","namentenga","key_score","4-/-3",0.0567714690632066
"12","namentenga","key_score","4-/-4",0.116988839623042
"13","namentenga","key_score","5-/-3",0.0154529491820348
"14","namentenga","key_score","5-/-4",0.00504528557544401
"15","namentenga","score_final","2",0.191199221373871
"16","namentenga","score_final","3",0.407407556741189
"17","namentenga","score_final","4",0.380894987127461
"18","namentenga","score_final","5",0.0204982347574788
"19","namentenga","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0153820557065986
"20","namentenga","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.132674314850528
"21","namentenga","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.00257387742809839
"22","namentenga","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0256780013093439
"23","namentenga","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0669840019156929
"24","namentenga","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.174281656014287
"25","namentenga","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.00311815406661455
"26","namentenga","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.00423848527669002
"27","namentenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0128892461306017
"28","namentenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0225246003976135
"29","namentenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0607161250411588
"30","namentenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.101393629090688
"31","namentenga","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.00153605284817414
"32","namentenga","key_sanit","open_defec-/-NA-/-no_soap",0.118937753733157
"33","namentenga","key_sanit","open_defec-/-NA-/-nsp",0.00873489532239259
"34","namentenga","key_sanit","open_defec-/-NA-/-soap",0.24833715086836
"35","namentenga","sanit_score","1",0.133843423141258
"36","namentenga","sanit_score","2",0.297897933352858
"37","namentenga","sanit_score","3",0.180598390769185
"38","namentenga","sanit_score","4",0.387660252736699
"39","namentenga","key_water","just_sufficient-/-improved_less_30",0.0995053214528377
"40","namentenga","key_water","just_sufficient-/-improved_more_30",0.22145180509626
"41","namentenga","key_water","just_sufficient-/-surface_water",0.00158210121844041
"42","namentenga","key_water","more_sufficient-/-improved_less_30",0.0759548147535663
"43","namentenga","key_water","more_sufficient-/-improved_more_30",0.0294297191454904
"44","namentenga","key_water","not_sufficient-/-improved_less_30",0.00475210139994599
"45","namentenga","key_water","not_sufficient-/-improved_more_30",0.254687897346468
"46","namentenga","key_water","not_sufficient_at_all-/-improved_more_30",0.0203191848225784
"47","namentenga","key_water","sufficient-/-improved_less_30",0.14223401332866
"48","namentenga","key_water","sufficient-/-improved_more_30",0.146885551282705
"49","namentenga","key_water","sufficient-/-improved_premises",0.00265638405824961
"50","namentenga","key_water","sufficient-/-unimproved",0.000541106094797779
"51","namentenga","water_score","2",0.220845212140476
"52","namentenga","water_score","3",0.502565604472037
"53","namentenga","water_score","4",0.256269998564909
"54","namentenga","water_score","5",0.0203191848225784
