"","admin2","indicator","choice","bfa_2020"
"1","nayala","key_score","1-/-1",0.00511501386728369
"2","nayala","key_score","2-/-1",0.0545916047275091
"3","nayala","key_score","2-/-2",0.0694233760345341
"4","nayala","key_score","2-/-3",0.0432197849694934
"5","nayala","key_score","2-/-4",0.107936970504964
"6","nayala","key_score","3-/-1",0.0577840262394558
"7","nayala","key_score","3-/-2",0.161452972319805
"8","nayala","key_score","3-/-3",0.0715604833082516
"9","nayala","key_score","3-/-4",0.171758328878936
"10","nayala","key_score","4-/-1",0.0358782549897246
"11","nayala","key_score","4-/-2",0.0611251440375708
"12","nayala","key_score","4-/-3",0.0312086828149322
"13","nayala","key_score","4-/-4",0.110416951701627
"14","nayala","key_score","5-/-3",0.0084101640844783
"15","nayala","key_score","5-/-4",0.0101182415214349
"16","nayala","score_final","1",0.00511501386728369
"17","nayala","score_final","2",0.217677261991224
"18","nayala","score_final","3",0.445295355140085
"19","nayala","score_final","4",0.313383963395495
"20","nayala","score_final","5",0.0185284056059132
"21","nayala","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0049777663104452
"22","nayala","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.152588408001061
"23","nayala","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0689517074693786
"24","nayala","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.100747106764322
"25","nayala","key_sanit","latrine_hygienic-/-shared_more50-/-soap",0.00508898364536726
"26","nayala","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0133451312074427
"27","nayala","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0390924265283974
"28","nayala","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0251111061053676
"29","nayala","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0462054358229708
"30","nayala","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.14569820196954
"31","nayala","key_sanit","open_defec-/-NA-/-no_soap",0.171002772824255
"32","nayala","key_sanit","open_defec-/-NA-/-soap",0.227190953351452
"33","nayala","sanit_score","1",0.152588408001061
"34","nayala","sanit_score","2",0.290515501572705
"35","nayala","sanit_score","3",0.158702364250527
"36","nayala","sanit_score","4",0.398193726175707
"37","nayala","key_water","just_sufficient-/-improved_less_30",0.0927063318073041
"38","nayala","key_water","just_sufficient-/-improved_more_30",0.0487368860634151
"39","nayala","key_water","just_sufficient-/-unimproved",0.176027237452127
"40","nayala","key_water","more_sufficient-/-improved_less_30",0.00817270480851379
"41","nayala","key_water","more_sufficient-/-improved_more_30",0.0130346673453253
"42","nayala","key_water","more_sufficient-/-improved_premises",0.00497059248890472
"43","nayala","key_water","not_sufficient-/-improved_less_30",0.0212161739248268
"44","nayala","key_water","not_sufficient-/-improved_more_30",0.02132480387692
"45","nayala","key_water","not_sufficient-/-improved_premises",0.00569180944955529
"46","nayala","key_water","not_sufficient-/-unimproved",0.049630849624364
"47","nayala","key_water","not_sufficient_at_all-/-improved_less_30",0.00497059248890472
"48","nayala","key_water","not_sufficient_at_all-/-unimproved",0.0130346673453253
"49","nayala","key_water","sufficient-/-improved_less_30",0.202535769021558
"50","nayala","key_water","sufficient-/-improved_more_30",0.0724338135915514
"51","nayala","key_water","sufficient-/-improved_premises",0.0616644367726587
"52","nayala","key_water","sufficient-/-unimproved",0.203848663938746
"53","nayala","water_score","1",0.00497059248890472
"54","nayala","water_score","2",0.27237291060273
"55","nayala","water_score","3",0.457668346120724
"56","nayala","water_score","4",0.246982890953411
"57","nayala","water_score","5",0.01800525983423
