"","admin2","indicator","choice","bfa_2020"
"1","oubritenga","key_score","1-/-2",0.0172971702388322
"2","oubritenga","key_score","2-/-1",0.112436354232813
"3","oubritenga","key_score","2-/-2",0.303750015864122
"4","oubritenga","key_score","2-/-3",0.00615312306815632
"5","oubritenga","key_score","2-/-4",0.161143676717436
"6","oubritenga","key_score","3-/-1",0.0288798092339364
"7","oubritenga","key_score","3-/-2",0.0786111541386677
"8","oubritenga","key_score","3-/-3",0.0954089631821879
"9","oubritenga","key_score","3-/-4",0.188364236527249
"10","oubritenga","key_score","4-/-2",0.000114803704991595
"11","oubritenga","key_score","4-/-3",0.00076914038351954
"12","oubritenga","key_score","4-/-4",0.00572839379961156
"13","oubritenga","key_score","5-/-4",0.00134315890847751
"14","oubritenga","score_final","2",0.462363349569703
"15","oubritenga","score_final","3",0.341431720811439
"16","oubritenga","score_final","4",0.19486177071038
"17","oubritenga","score_final","5",0.00134315890847751
"18","oubritenga","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.141316163466749
"19","oubritenga","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.000883944088511135
"20","oubritenga","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.00461484230111724
"21","oubritenga","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0257577144575471
"22","oubritenga","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.347159350173509
"23","oubritenga","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0258472930240222
"24","oubritenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00076914038351954
"25","oubritenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.00076914038351954
"26","oubritenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0711895294916798
"27","oubritenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0267665007490825
"28","oubritenga","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.00076914038351954
"29","oubritenga","key_sanit","open_defec-/-NA-/-no_soap",0.113403662447617
"30","oubritenga","key_sanit","open_defec-/-NA-/-soap",0.240753578649606
"31","oubritenga","sanit_score","1",0.141316163466749
"32","oubritenga","sanit_score","2",0.399773143946613
"33","oubritenga","sanit_score","3",0.102331226633864
"34","oubritenga","sanit_score","4",0.356579465952774
"35","oubritenga","key_water","just_sufficient-/-improved_less_30",0.0485228753416251
"36","oubritenga","key_water","just_sufficient-/-improved_more_30",0.140863421247624
"37","oubritenga","key_water","just_sufficient-/-improved_premises",0.0258443259996444
"38","oubritenga","key_water","just_sufficient-/-surface_water",0.000114790526613841
"39","oubritenga","key_water","more_sufficient-/-improved_less_30",0.145654568796423
"40","oubritenga","key_water","more_sufficient-/-improved_more_30",0.125433225850144
"41","oubritenga","key_water","more_sufficient-/-improved_premises",0.0172951846875516
"42","oubritenga","key_water","not_sufficient-/-improved_less_30",0.000883842620103717
"43","oubritenga","key_water","not_sufficient-/-improved_more_30",0.00638199780114669
"44","oubritenga","key_water","not_sufficient-/-surface_water",0.000114790526613841
"45","oubritenga","key_water","not_sufficient-/-unimproved",0.000114790526613841
"46","oubritenga","key_water","not_sufficient_at_all-/-improved_more_30",0.000769052093489876
"47","oubritenga","key_water","not_sufficient_at_all-/-surface_water",0.000459162106455366
"48","oubritenga","key_water","not_sufficient_at_all-/-unimproved",0.000114790526613841
"49","oubritenga","key_water","sufficient-/-improved_less_30",0.377326927371015
"50","oubritenga","key_water","sufficient-/-improved_more_30",0.0755158846032187
"51","oubritenga","key_water","sufficient-/-improved_premises",0.0345903693751031
"52","oubritenga","water_score","1",0.0172951846875516
"53","oubritenga","water_score","2",0.583416191542186
"54","oubritenga","water_score","3",0.391219249662715
"55","oubritenga","water_score","4",0.00672636938098821
"56","oubritenga","water_score","5",0.00134300472655908
