admin2,indicator,choice,bfa_2020,choice_key
poni,access_to_soap,non,0.30197847259281424,access_to_soapnon
poni,access_to_soap,oui,0.6980215274071858,access_to_soapoui
poni,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
poni,critical_handwashing_times,autre,0,critical_handwashing_timesautre
poni,critical_handwashing_times,ablution,0.5110979628632655,critical_handwashing_timesablution
poni,critical_handwashing_times,retour_champ,0.2896307644209901,critical_handwashing_timesretour_champ
poni,critical_handwashing_times,avant_sein,0.02788525655449649,critical_handwashing_timesavant_sein
poni,critical_handwashing_times,apres_netto,0,critical_handwashing_timesapres_netto
poni,critical_handwashing_times,avant_prepare,0.17690500704603643,critical_handwashing_timesavant_prepare
poni,critical_handwashing_times,avant_manger,1,critical_handwashing_timesavant_manger
poni,critical_handwashing_times,apres_toilette,0.5716759274823345,critical_handwashing_timesapres_toilette
poni,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
poni,diarrhea_rate_hh_2w,NA,0.18820678611824115,diarrhea_rate_hh_2wNA
poni,distance_to_water_source,eau_concession,0.012087793105732771,distance_to_water_sourceeau_concession
poni,distance_to_water_source,entre_16_30mn,0.319713622979179,distance_to_water_sourceentre_16_30mn
poni,distance_to_water_source,entre_31_45mn,0.11093689955084905,distance_to_water_sourceentre_31_45mn
poni,distance_to_water_source,entre_5_15mn,0.27704273512807087,distance_to_water_sourceentre_5_15mn
poni,distance_to_water_source,plus_46mn,0.28021894923616836,distance_to_water_sourceplus_46mn
poni,fcs_score,acceptable,0.6534308657317239,fcs_scoreacceptable
poni,fcs_score,limite,0.3051213250631703,fcs_scorelimite
poni,fcs_score,pauvre,0.04144780920510584,fcs_scorepauvre
poni,gbv_30days,NA,0.02947873189105192,gbv_30daysNA
poni,hhs_score,NA,0.2837502153807765,hhs_scoreNA
poni,hhs_thresholds,faim_moderee,0.06562339541657138,hhs_thresholdsfaim_moderee
poni,hhs_thresholds,peu_pasFaim,0.9343766045834286,hhs_thresholdspeu_pasFaim
poni,lcsi_score,crisis,0.09684693413558249,lcsi_scorecrisis
poni,lcsi_score,emergency,0.012087793105732771,lcsi_scoreemergency
poni,lcsi_score,none,0.6869911094152842,lcsi_scorenone
poni,lcsi_score,stress,0.2040741633434006,lcsi_scorestress
poni,livelihoods_change_pratique_agri,non,0.3596749445864317,livelihoods_change_pratique_agrinon
poni,livelihoods_change_pratique_agri,non_applicable,0.08688002913106237,livelihoods_change_pratique_agrinon_applicable
