"","admin2","indicator","choice","bfa_2020"
"1","poni","key_score","2-/-1",0.0173909387853191
"2","poni","key_score","2-/-2",0.029516040685514
"3","poni","key_score","2-/-3",0.0173909387853191
"4","poni","key_score","2-/-4",0.0921085100151154
"5","poni","key_score","3-/-2",0.345891881977749
"6","poni","key_score","3-/-3",0.0294787318910519
"7","poni","key_score","3-/-4",0.262079587250548
"8","poni","key_score","4-/-2",0.0399730496602293
"9","poni","key_score","4-/-3",0.0537683407994592
"10","poni","key_score","4-/-4",0.112401980149695
"11","poni","score_final","2",0.0469069794708331
"12","poni","score_final","3",0.524843112329464
"13","poni","score_final","4",0.428249908199703
"14","poni","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0173909387853191
"15","poni","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0173909387853191
"16","poni","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0120877931057328
"17","poni","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.2728045944014
"18","poni","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0711592795847783
"19","poni","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0711592795847783
"20","poni","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.071417098337314
"21","poni","key_sanit","open_defec-/-NA-/-no_soap",0.218731399902303
"22","poni","key_sanit","open_defec-/-NA-/-soap",0.247858677513056
"23","poni","sanit_score","1",0.0173909387853191
"24","poni","sanit_score","2",0.415380972323492
"25","poni","sanit_score","3",0.10063801147583
"26","poni","sanit_score","4",0.466590077415359
"27","poni","key_water","just_sufficient-/-improved_less_30",0.281475247929918
"28","poni","key_water","just_sufficient-/-improved_more_30",0.109462140005972
"29","poni","key_water","just_sufficient-/-unimproved",0.0808934461006779
"30","poni","key_water","not_sufficient-/-improved_less_30",0.0779812358053868
"31","poni","key_water","not_sufficient-/-improved_more_30",0.0995995787523638
"32","poni","key_water","not_sufficient-/-surface_water",0.0120877931057328
"33","poni","key_water","not_sufficient-/-unimproved",0.0135625526506093
"34","poni","key_water","sufficient-/-improved_less_30",0.144318635165535
"35","poni","key_water","sufficient-/-improved_more_30",0.151140638592753
"36","poni","key_water","sufficient-/-improved_premises",0.0120877931057328
"37","poni","key_water","sufficient-/-unimproved",0.0173909387853191
"38","poni","water_score","2",0.156406428271268
"39","poni","water_score","3",0.637450201119349
"40","poni","water_score","4",0.206143370609384
