"","admin2","indicator","choice","bfa_2020"
"1","sanguie","key_score","2-/-2",0.0740721924554834
"2","sanguie","key_score","2-/-4",0.155479208466033
"3","sanguie","key_score","3-/-1",0.0246907308184945
"4","sanguie","key_score","3-/-2",0.0930776411786306
"5","sanguie","key_score","3-/-3",0.0102242995392418
"6","sanguie","key_score","3-/-4",0.192937612720394
"7","sanguie","key_score","4-/-2",0.0556192369242698
"8","sanguie","key_score","4-/-3",0.124550702360258
"9","sanguie","key_score","4-/-4",0.244657644718701
"10","sanguie","key_score","5-/-4",0.0246907308184945
"11","sanguie","score_final","2",0.0987629232739778
"12","sanguie","score_final","3",0.314400386108175
"13","sanguie","score_final","4",0.562145959799353
"14","sanguie","score_final","5",0.0246907308184945
"15","sanguie","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0246907308184945
"16","sanguie","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.023247580463158
"17","sanguie","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0102242995392418
"18","sanguie","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0649449411840269
"19","sanguie","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0987629232739778
"20","sanguie","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0102242995392418
"21","sanguie","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0349150303577363
"22","sanguie","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0246907308184945
"23","sanguie","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.113781847745164
"24","sanguie","key_sanit","open_defec-/-NA-/-no_soap",0.169488403995433
"25","sanguie","key_sanit","open_defec-/-NA-/-soap",0.425029212265032
"26","sanguie","sanit_score","1",0.0246907308184945
"27","sanguie","sanit_score","2",0.222769070558384
"28","sanguie","sanit_score","3",0.134775001899499
"29","sanguie","sanit_score","4",0.617765196723622
"30","sanguie","key_water","just_sufficient-/-improved_less_30",0.0246907308184945
"31","sanguie","key_water","just_sufficient-/-improved_more_30",0.0349150303577363
"32","sanguie","key_water","just_sufficient-/-unimproved",0.185055058815973
"33","sanguie","key_water","more_sufficient-/-improved_more_30",0.0102242995392418
"34","sanguie","key_water","not_sufficient-/-improved_less_30",0.124550702360258
"35","sanguie","key_water","not_sufficient-/-improved_more_30",0.0649449411840269
"36","sanguie","key_water","not_sufficient-/-unimproved",0.174827584003229
"37","sanguie","key_water","not_sufficient_at_all-/-unimproved",0.0246907308184945
"38","sanguie","key_water","sufficient-/-improved_less_30",0.155479208466033
"39","sanguie","key_water","sufficient-/-improved_premises",0.0740721924554834
"40","sanguie","key_water","sufficient-/-unimproved",0.12654952118103
"41","sanguie","water_score","2",0.229551400921516
"42","sanguie","water_score","3",0.320930284256761
"43","sanguie","water_score","4",0.424827584003229
"44","sanguie","water_score","5",0.0246907308184945
