"","admin2","indicator","choice","bfa_2020"
"1","sanmatenga","key_score","1-/-1",0.00245786479621241
"2","sanmatenga","key_score","1-/-2",0.0111000693944672
"3","sanmatenga","key_score","1-/-3",0.00245786479621241
"4","sanmatenga","key_score","2-/-1",0.012289323981062
"5","sanmatenga","key_score","2-/-2",0.0561930800807307
"6","sanmatenga","key_score","2-/-3",0.0178076707237275
"7","sanmatenga","key_score","2-/-4",0.0446026412574914
"8","sanmatenga","key_score","3-/-1",0.0696653294500042
"9","sanmatenga","key_score","3-/-2",0.150174062936448
"10","sanmatenga","key_score","3-/-3",0.0678249955527311
"11","sanmatenga","key_score","3-/-4",0.199522973369543
"12","sanmatenga","key_score","4-/-1",0.053152662478599
"13","sanmatenga","key_score","4-/-2",0.0570624418206402
"14","sanmatenga","key_score","4-/-3",0.0998466782376482
"15","sanmatenga","key_score","4-/-4",0.146840101423993
"16","sanmatenga","key_score","5-/-3",0.0029841167464079
"17","sanmatenga","key_score","5-/-4",0.00601812295408221
"18","sanmatenga","score_final","1",0.00245786479621241
"19","sanmatenga","score_final","2",0.204858330181076
"20","sanmatenga","score_final","3",0.337471812291038
"21","sanmatenga","score_final","4",0.446209753031183
"22","sanmatenga","score_final","5",0.00900223970049011
"23","sanmatenga","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0151147837033798
"24","sanmatenga","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.137565180705878
"25","sanmatenga","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.0476380220719092
"26","sanmatenga","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0591710299262823
"27","sanmatenga","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0481102818832661
"28","sanmatenga","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.157141641485839
"29","sanmatenga","key_sanit","latrine_hygienic-/-shared_more50-/-soap",0.00171139044627648
"30","sanmatenga","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0121407046021589
"31","sanmatenga","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0272778147586024
"32","sanmatenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0119364669856316
"33","sanmatenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0462469651297611
"34","sanmatenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0235409540689822
"35","sanmatenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.074995414284465
"36","sanmatenga","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.0118646711864789
"37","sanmatenga","key_sanit","latrine_nonhygienic-/-shared_more50-/-soap",0.0238292654486389
"38","sanmatenga","key_sanit","open_defec-/-NA-/-no_soap",0.125283018236721
"39","sanmatenga","key_sanit","open_defec-/-NA-/-soap",0.176432395075729
"40","sanmatenga","sanit_score","1",0.137565180705878
"41","sanmatenga","sanit_score","2",0.274529654232286
"42","sanmatenga","sanit_score","3",0.190921326056727
"43","sanmatenga","sanit_score","4",0.396983839005109
"44","sanmatenga","key_water","just_sufficient-/-improved_less_30",0.0265794556787944
"45","sanmatenga","key_water","just_sufficient-/-improved_more_30",0.148098625403996
"46","sanmatenga","key_water","just_sufficient-/-improved_premises",0.00245060541072633
"47","sanmatenga","key_water","just_sufficient-/-unimproved",0.00680826482682847
"48","sanmatenga","key_water","more_sufficient-/-improved_less_30",0.015036274704187
"49","sanmatenga","key_water","more_sufficient-/-improved_more_30",0.020948827856497
"50","sanmatenga","key_water","more_sufficient-/-improved_premises",0.0159684957914956
"51","sanmatenga","key_water","not_sufficient-/-improved_less_30",0.00642693217703041
"52","sanmatenga","key_water","not_sufficient-/-improved_more_30",0.336178809399897
"53","sanmatenga","key_water","not_sufficient-/-improved_premises",0.00245060541072633
"54","sanmatenga","key_water","not_sufficient-/-surface_water",0.00605242331350545
"55","sanmatenga","key_water","not_sufficient-/-unimproved",0.00680826482682847
"56","sanmatenga","key_water","not_sufficient_at_all-/-improved_more_30",0.00897565128589357
"57","sanmatenga","key_water","sufficient-/-improved_less_30",0.0870372784464127
"58","sanmatenga","key_water","sufficient-/-improved_more_30",0.284197523979116
"59","sanmatenga","key_water","sufficient-/-improved_premises",0.0259819614880655
"60","sanmatenga","water_score","1",0.0159684957914956
"61","sanmatenga","water_score","2",0.130506120049391
"62","sanmatenga","water_score","3",0.48870197050616
"63","sanmatenga","water_score","4",0.35584776236706
"64","sanmatenga","water_score","5",0.00897565128589357
