"","admin2","indicator","choice","bfa_2020"
"1","seno","key_score","1-/-1",0.0122534337548345
"2","seno","key_score","1-/-3",0.00747226997202055
"3","seno","key_score","2-/-1",0.0884828623542647
"4","seno","key_score","2-/-2",0.0843560353804733
"5","seno","key_score","2-/-3",0.0171411538761566
"6","seno","key_score","2-/-4",0.0224865293374531
"7","seno","key_score","3-/-1",0.0684324018375845
"8","seno","key_score","3-/-2",0.15549860732538
"9","seno","key_score","3-/-3",0.068623395768108
"10","seno","key_score","3-/-4",0.156030870346663
"11","seno","key_score","4-/-1",0.0336279709432907
"12","seno","key_score","4-/-2",0.109030278079033
"13","seno","key_score","4-/-3",0.0422620477262356
"14","seno","key_score","4-/-4",0.124750754890785
"15","seno","key_score","5-/-1",0.00408447791827815
"16","seno","key_score","5-/-2",0.00273345524471989
"17","seno","key_score","5-/-3",0.00273345524471989
"18","seno","score_final","1",0.0122534337548345
"19","seno","score_final","2",0.282371540487634
"20","seno","score_final","3",0.372779964386131
"21","seno","score_final","4",0.323043672963683
"22","seno","score_final","5",0.00955138840771794
"23","seno","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.00854934252027752
"24","seno","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.206039582682495
"25","seno","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.00149382656595736
"26","seno","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0348696920645421
"27","seno","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0123518881345215
"28","seno","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.150141225539661
"29","seno","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0137286971596224
"30","seno","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.129477630428198
"31","seno","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.00272233592375319
"32","seno","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0603149019041008
"33","seno","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0164048331985465
"34","seno","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0660877050443504
"35","seno","key_sanit","open_defec-/-NA-/-no_soap",0.074041948133218
"36","seno","key_sanit","open_defec-/-NA-/-soap",0.223776390700757
"37","seno","sanit_score","1",0.206039582682495
"38","seno","sanit_score","2",0.354255903532486
"39","seno","sanit_score","3",0.137670012461333
"40","seno","sanit_score","4",0.302034501323686
"41","seno","key_water","just_sufficient-/-improved_less_30",0.0543418089591284
"42","seno","key_water","just_sufficient-/-improved_more_30",0.285370707602792
"43","seno","key_water","just_sufficient-/-improved_premises",0.0285485246944698
"44","seno","key_water","just_sufficient-/-surface_water",0.00544505328480194
"45","seno","key_water","more_sufficient-/-improved_premises",0.0196961609022941
"46","seno","key_water","not_sufficient-/-improved_more_30",0.294520780524077
"47","seno","key_water","not_sufficient-/-improved_premises",0.0122350820119156
"48","seno","key_water","not_sufficient-/-surface_water",0.00924142917801082
"49","seno","key_water","not_sufficient_at_all-/-improved_more_30",0.00545872279790208
"50","seno","key_water","not_sufficient_at_all-/-improved_premises",0.00407836067063855
"51","seno","key_water","sufficient-/-improved_less_30",0.109518306718993
"52","seno","key_water","sufficient-/-improved_more_30",0.0900024415298395
"53","seno","key_water","sufficient-/-improved_premises",0.0740815422347586
"54","seno","key_water","sufficient-/-unimproved",0.00746107889037845
"55","seno","water_score","1",0.0196961609022941
"56","seno","water_score","2",0.212148373648221
"57","seno","water_score","3",0.449411118994054
"58","seno","water_score","4",0.30920726298689
"59","seno","water_score","5",0.00953708346854063
