"","admin2","indicator","choice","bfa_2020"
"1","sissili","key_score","2-/-2",0.157232375014326
"2","sissili","key_score","3-/-2",0.25
"3","sissili","key_score","3-/-3",0.0927676249856736
"4","sissili","key_score","3-/-4",0.25
"5","sissili","key_score","4-/-3",0.157232375014326
"6","sissili","key_score","4-/-4",0.0927676249856736
"7","sissili","score_final","2",0.157232375014326
"8","sissili","score_final","3",0.342767624985674
"9","sissili","score_final","4",0.5
"10","sissili","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0927676249856736
"11","sissili","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.314464750028653
"12","sissili","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.157232375014326
"13","sissili","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0927676249856736
"14","sissili","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.0927676249856736
"15","sissili","key_sanit","open_defec-/-NA-/-soap",0.25
"16","sissili","sanit_score","2",0.407232375014326
"17","sissili","sanit_score","3",0.25
"18","sissili","sanit_score","4",0.342767624985674
"19","sissili","key_water","just_sufficient-/-improved_less_30",0.0927676249856736
"20","sissili","key_water","not_sufficient-/-improved_less_30",0.25
"21","sissili","key_water","not_sufficient-/-improved_more_30",0.25
"22","sissili","key_water","sufficient-/-improved_less_30",0.157232375014326
"23","sissili","key_water","sufficient-/-improved_more_30",0.25
"24","sissili","water_score","2",0.157232375014326
"25","sissili","water_score","3",0.592767624985674
"26","sissili","water_score","4",0.25
