admin2,indicator,choice,bfa_2020,choice_key
soum,access_to_soap,non,0.19024054502931356,access_to_soapnon
soum,access_to_soap,oui,0.8097594549706864,access_to_soapoui
soum,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
soum,critical_handwashing_times,autre,0.0085202418721541,critical_handwashing_timesautre
soum,critical_handwashing_times,ablution,0.7558256424343325,critical_handwashing_timesablution
soum,critical_handwashing_times,retour_champ,0.1153721352016691,critical_handwashing_timesretour_champ
soum,critical_handwashing_times,avant_sein,0.020171694450108725,critical_handwashing_timesavant_sein
soum,critical_handwashing_times,apres_netto,0.055179217480216085,critical_handwashing_timesapres_netto
soum,critical_handwashing_times,avant_prepare,0.150331257007692,critical_handwashing_timesavant_prepare
soum,critical_handwashing_times,avant_manger,0.975355744574154,critical_handwashing_timesavant_manger
soum,critical_handwashing_times,apres_toilette,0.6718872773312716,critical_handwashing_timesapres_toilette
soum,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
soum,diarrhea_rate_hh_2w,NA,0.20695346222463196,diarrhea_rate_hh_2wNA
soum,distance_to_water_source,eau_concession,0.03778503137218746,distance_to_water_sourceeau_concession
soum,distance_to_water_source,entre_16_30mn,0.04452890228391706,distance_to_water_sourceentre_16_30mn
soum,distance_to_water_source,entre_31_45mn,0.10516556230811276,distance_to_water_sourceentre_31_45mn
soum,distance_to_water_source,plus_46mn,0.8125205040357826,distance_to_water_sourceplus_46mn
soum,fcs_score,acceptable,0.6126691464342777,fcs_scoreacceptable
soum,fcs_score,limite,0.3564985333054254,fcs_scorelimite
soum,fcs_score,pauvre,0.030832320260296756,fcs_scorepauvre
soum,gbv_30days,NA,0.17659101856956325,gbv_30daysNA
soum,hhs_score,NA,0.6745492169223305,hhs_scoreNA
soum,hhs_thresholds,faim_moderee,0.22534019161532087,hhs_thresholdsfaim_moderee
soum,hhs_thresholds,faim_severe,0.005207863862469056,hhs_thresholdsfaim_severe
soum,hhs_thresholds,peu_pasFaim,0.76945194452221,hhs_thresholdspeu_pasFaim
soum,lcsi_score,crisis,0.1943070392346157,lcsi_scorecrisis
soum,lcsi_score,emergency,0.024276019992743942,lcsi_scoreemergency
soum,lcsi_score,none,0.31897340923370326,lcsi_scorenone
soum,lcsi_score,stress,0.46244353153893697,lcsi_scorestress
soum,livelihoods_change_pratique_agri,non,0.8668039710406141,livelihoods_change_pratique_agrinon
soum,livelihoods_change_pratique_agri,non_applicable,0.011640387178283813,livelihoods_change_pratique_agrinon_applicable
soum,livelihoods_change_pratique_agri,oui,0.12155564178110198,livelihoods_change_pratique_agrioui
soum,livelihoods_change_pratique_agri_prob,acces_terre,0.22178410794444367,livelihoods_change_pratique_agri_probacces_terre
soum,livelihoods_change_pratique_agri_prob,acces_terre cultive,0.003599597383459056,livelihoods_change_pratique_agri_probacces_terre cultive
soum,livelihoods_change_pratique_agri_prob,acces_terre insecurite,0.1043353780694079,livelihoods_change_pratique_agri_probacces_terre insecurite
soum,livelihoods_change_pratique_agri_prob,acces_terre insecurite insuff_pluie,0.012796610065656612,livelihoods_change_pratique_agri_probacces_terre insecurite insuff_pluie
soum,livelihoods_change_pratique_agri_prob,acces_terre insecurite semence,0.006008121831994979,livelihoods_change_pratique_agri_probacces_terre insecurite semence
soum,livelihoods_change_pratique_agri_prob,acces_terre insecurite sol_pauvre,0.012796610065656612,livelihoods_change_pratique_agri_probacces_terre insecurite sol_pauvre
soum,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie,0.012581304879858455,livelihoods_change_pratique_agri_probacces_terre insuff_pluie
soum,livelihoods_change_pratique_agri_prob,acces_terre insuff_pluie insecurite,0.004024417118260132,livelihoods_change_pratique_agri_probacces_terre insuff_pluie insecurite
soum,livelihoods_change_pratique_agri_prob,acces_terre main_oeuvre sol_pauvre,0.004024417118260132,livelihoods_change_pratique_agri_probacces_terre main_oeuvre sol_pauvre
soum,livelihoods_change_pratique_agri_prob,acces_terre semence,0.007624014501719189,livelihoods_change_pratique_agri_probacces_terre semence
soum,livelihoods_change_pratique_agri_prob,acces_terre sol_pauvre insuff_pluie,0.009404671311398669,livelihoods_change_pratique_agri_probacces_terre sol_pauvre insuff_pluie
soum,livelihoods_change_pratique_agri_prob,cultive,0.003599597383459056,livelihoods_change_pratique_agri_probcultive
soum,livelihoods_change_pratique_agri_prob,finance main_oeuvre,0.0089817074963994,livelihoods_change_pratique_agri_probfinance main_oeuvre
soum,livelihoods_change_pratique_agri_prob,insecurite,0.3560201036789165,livelihoods_change_pratique_agri_probinsecurite
soum,livelihoods_change_pratique_agri_prob,insecurite acces_terre,0.09328710884799007,livelihoods_change_pratique_agri_probinsecurite acces_terre
soum,livelihoods_change_pratique_agri_prob,insecurite acces_terre semence,0.004024417118260132,livelihoods_change_pratique_agri_probinsecurite acces_terre semence
soum,livelihoods_change_pratique_agri_prob,insecurite finance,0.018601683993596227,livelihoods_change_pratique_agri_probinsecurite finance
soum,livelihoods_change_pratique_agri_prob,insecurite finance insuff_pluie,0.012796610065656612,livelihoods_change_pratique_agri_probinsecurite finance insuff_pluie
soum,livelihoods_change_pratique_agri_prob,insecurite finance semence,0.003599597383459056,livelihoods_change_pratique_agri_probinsecurite finance semence
soum,livelihoods_change_pratique_agri_prob,insecurite insuff_pluie,0.01921543843090807,livelihoods_change_pratique_agri_probinsecurite insuff_pluie
soum,livelihoods_change_pratique_agri_prob,insecurite insuff_pluie finance,0.006008121831994979,livelihoods_change_pratique_agri_probinsecurite insuff_pluie finance
soum,livelihoods_change_pratique_agri_prob,insecurite main_oeuvre,0.012581304879858455,livelihoods_change_pratique_agri_probinsecurite main_oeuvre
soum,livelihoods_change_pratique_agri_prob,insecurite main_oeuvre insuff_pluie,0.006008121831994979,livelihoods_change_pratique_agri_probinsecurite main_oeuvre insuff_pluie
soum,livelihoods_change_pratique_agri_prob,insecurite main_oeuvre sol_pauvre,0.007624014501719189,livelihoods_change_pratique_agri_probinsecurite main_oeuvre sol_pauvre
soum,livelihoods_change_pratique_agri_prob,insecurite semence finance,0.012796610065656612,livelihoods_change_pratique_agri_probinsecurite semence finance
soum,livelihoods_change_pratique_agri_prob,insecurite sol_pauvre,0.003599597383459056,livelihoods_change_pratique_agri_probinsecurite sol_pauvre
soum,livelihoods_change_pratique_agri_prob,insuff_pluie,0.003599597383459056,livelihoods_change_pratique_agri_probinsuff_pluie
soum,livelihoods_change_pratique_agri_prob,insuff_pluie finance insecurite,0.003599597383459056,livelihoods_change_pratique_agri_probinsuff_pluie finance insecurite
soum,livelihoods_change_pratique_agri_prob,main_oeuvre sol_pauvre insuff_pluie,0.005805073927939613,livelihoods_change_pratique_agri_probmain_oeuvre sol_pauvre insuff_pluie
soum,livelihoods_change_pratique_agri_prob,semence acces_terre,0.008048834236520265,livelihoods_change_pratique_agri_probsemence acces_terre
soum,livelihoods_change_pratique_agri_prob,semence cultive acces_terre,0.004024417118260132,livelihoods_change_pratique_agri_probsemence cultive acces_terre
soum,livelihoods_change_pratique_agri_prob,sol_pauvre,0.003599597383459056,livelihoods_change_pratique_agri_probsol_pauvre
soum,livelihoods_change_pratique_agri_prob,sol_pauvre semence insuff_pluie,0.003599597383459056,livelihoods_change_pratique_agri_probsol_pauvre semence insuff_pluie
soum,location_sanitation_facility,dal_eau,0.017210509142813038,location_sanitation_facilitydal_eau
soum,location_sanitation_facility,dal_precis,0.008690267270658938,location_sanitation_facilitydal_precis
soum,location_sanitation_facility,dal_zonep,0.1507794319335697,location_sanitation_facilitydal_zonep
soum,location_sanitation_facility,dal_zonep_am,0.04694578260954118,location_sanitation_facilitydal_zonep_am
soum,location_sanitation_facility,lat_prive,0.5678066940738795,location_sanitation_facilitylat_prive
soum,location_sanitation_facility,lat_privep,0.20856731496953748,location_sanitation_facilitylat_privep
soum,open_defecation,NA,0.22362599095658287,open_defecationNA
soum,pop_disp_3m,1_2_mois,0.00915027111049256,pop_disp_3m1_2_mois
soum,pop_disp_3m,1_an_plus,0.5031776070934991,pop_disp_3m1_an_plus
soum,pop_disp_3m,3_5_mois,0.01830054222098512,pop_disp_3m3_5_mois
soum,pop_disp_3m,6_1_an,0.46937157957502307,pop_disp_3m6_1_an
soum,prob_access_water,attente_longue,0.8400878944563399,prob_access_waterattente_longue
soum,prob_access_water,distance_eau,0.06188895638960549,prob_access_waterdistance_eau
soum,prob_access_water,manque_finance,0.030330883014873283,prob_access_watermanque_finance
soum,prob_access_water,manque_recipien,0.026589254534305135,prob_access_watermanque_recipien
