"","admin2","indicator","choice","bfa_2020"
"1","soum","key_score","2-/-1",0.00936043591838914
"2","soum","key_score","2-/-2",0.0173324430330289
"3","soum","key_score","2-/-3",0.00520786386246906
"4","soum","key_score","3-/-1",0.0444099335484527
"5","soum","key_score","3-/-2",0.240525622949785
"6","soum","key_score","3-/-3",0.082541162450448
"7","soum","key_score","3-/-4",0.0947560906312758
"8","soum","key_score","4-/-1",0.0581579024767592
"9","soum","key_score","4-/-2",0.202644955510099
"10","soum","key_score","4-/-3",0.0727352431562676
"11","soum","key_score","4-/-4",0.144015710973535
"12","soum","key_score","5-/-1",0.00660852604536142
"13","soum","key_score","5-/-2",0.00312014530612971
"14","soum","key_score","5-/-3",0.0085202418721541
"15","soum","key_score","5-/-4",0.0100637222658448
"16","soum","score_final","2",0.12926071497663
"17","soum","score_final","3",0.530919604772801
"18","soum","score_final","4",0.311507044761079
"19","soum","score_final","5",0.02831263548949
"20","soum","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0241737729242655
"21","soum","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.118536797988962
"22","soum","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.00715285239398304
"23","soum","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.060606521233947
"24","soum","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0238250125192163
"25","soum","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.235286243136055
"26","soum","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0137281057346232
"27","soum","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0883560097613123
"28","soum","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0180566805200899
"29","soum","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0325936318265952
"30","soum","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0382512400269572
"31","soum","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.11580714097741
"32","soum","key_sanit","open_defec-/-NA-/-no_soap",0.0650528809101784
"33","soum","key_sanit","open_defec-/-NA-/-soap",0.158573110046404
"34","soum","sanit_score","1",0.118536797988962
"35","soum","sanit_score","2",0.463623166799043
"36","soum","sanit_score","3",0.169004511341339
"37","soum","sanit_score","4",0.248835523870656
"38","soum","key_water","just_sufficient-/-improved_less_30",0.0174137190600662
"39","soum","key_water","just_sufficient-/-improved_more_30",0.259906365339254
"40","soum","key_water","just_sufficient-/-improved_premises",0.00936043591838914
"41","soum","key_water","just_sufficient-/-unimproved",0.00815200643905211
"42","soum","key_water","not_sufficient-/-improved_less_30",0.0100969067845931
"43","soum","key_water","not_sufficient-/-improved_more_30",0.45518950795071
"44","soum","key_water","not_sufficient-/-improved_premises",0.00312014530612971
"45","soum","key_water","not_sufficient-/-unimproved",0.0142122977268992
"46","soum","key_water","not_sufficient_at_all-/-improved_more_30",0.02831263548949
"47","soum","key_water","sufficient-/-improved_less_30",0.00832800916859877
"48","soum","key_water","sufficient-/-improved_more_30",0.124521084694482
"49","soum","key_water","sufficient-/-improved_premises",0.0142122977268992
"50","soum","key_water","sufficient-/-unimproved",0.0471745883954363
"51","soum","water_score","2",0.0319007428138871
"52","soum","water_score","3",0.462232809579962
"53","soum","water_score","4",0.477553812116661
"54","soum","water_score","5",0.02831263548949
