"","admin2","indicator","choice","bfa_2020"
"1","sourou","key_score","1-/-2",0.0119022647410748
"2","sourou","key_score","1-/-4",0.00838892076063978
"3","sourou","key_score","2-/-1",0.0167778415212796
"4","sourou","key_score","2-/-2",0.123788717063911
"5","sourou","key_score","2-/-3",0.0572143513298027
"6","sourou","key_score","2-/-4",0.0750849015056465
"7","sourou","key_score","3-/-1",0.0202107129494796
"8","sourou","key_score","3-/-2",0.166689616357768
"9","sourou","key_score","3-/-3",0.13915060344048
"10","sourou","key_score","3-/-4",0.155669567409944
"11","sourou","key_score","4-/-1",0.00396742158035826
"12","sourou","key_score","4-/-2",0.0794928426175384
"13","sourou","key_score","4-/-3",0.0622162914607352
"14","sourou","key_score","4-/-4",0.0794459472613428
"15","sourou","score_final","2",0.185035878616743
"16","sourou","score_final","3",0.517632315251236
"17","sourou","score_final","4",0.297331806132022
"18","sourou","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0317949665873953
"19","sourou","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.040711186799127
"20","sourou","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.0107800814579154
"21","sourou","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.00538996739401398
"22","sourou","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.102462530694455
"23","sourou","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.223601273646436
"24","sourou","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0153814130172365
"25","sourou","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0229825797567799
"26","sourou","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.00863358875955155
"27","sourou","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.12516823540627
"28","sourou","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.124194786038577
"29","sourou","key_sanit","open_defec-/-NA-/-no_soap",0.156849752985584
"30","sourou","key_sanit","open_defec-/-NA-/-soap",0.132049637456658
"31","sourou","sanit_score","1",0.040711186799127
"32","sourou","sanit_score","2",0.379591026272408
"33","sourou","sanit_score","3",0.257035735271527
"34","sourou","sanit_score","4",0.322662051656938
"35","sourou","key_water","just_sufficient-/-improved_less_30",0.0118457773496972
"36","sourou","key_water","just_sufficient-/-improved_more_30",0.0337523936717669
"37","sourou","key_water","just_sufficient-/-improved_premises",0.000250219286445527
"38","sourou","key_water","just_sufficient-/-unimproved",0.0927990355039147
"39","sourou","key_water","more_sufficient-/-improved_less_30",0.0159694258377565
"40","sourou","key_water","more_sufficient-/-improved_premises",0.0202911855017146
"41","sourou","key_water","more_sufficient-/-surface_water",0.000190441550212807
"42","sourou","key_water","more_sufficient-/-unimproved",0.00601282525115879
"43","sourou","key_water","not_sufficient-/-improved_less_30",0.0238379048911883
"44","sourou","key_water","not_sufficient-/-improved_more_30",0.0481881357577763
"45","sourou","key_water","not_sufficient-/-improved_premises",0.000250219286445527
"46","sourou","key_water","not_sufficient-/-unimproved",0.0839448901080707
"47","sourou","key_water","sufficient-/-improved_less_30",0.217939452229598
"48","sourou","key_water","sufficient-/-improved_more_30",0.123742117640264
"49","sourou","key_water","sufficient-/-improved_premises",0.0387067140668392
"50","sourou","key_water","sufficient-/-unimproved",0.28227926206715
"51","sourou","water_score","1",0.0202911855017146
"52","sourou","water_score","2",0.272865811420639
"53","sourou","water_score","3",0.481720500157671
"54","sourou","water_score","4",0.225122502919975
