"","admin2","indicator","choice","bfa_2020"
"1","tapoa","key_score","1-/-2",0.00244415916949493
"2","tapoa","key_score","2-/-1",0.0202426285807991
"3","tapoa","key_score","2-/-2",0.0261509340275844
"4","tapoa","key_score","2-/-3",0.0170357540813749
"5","tapoa","key_score","2-/-4",0.0725120782728025
"6","tapoa","key_score","3-/-1",0.0606094224145045
"7","tapoa","key_score","3-/-2",0.14482433828047
"8","tapoa","key_score","3-/-3",0.047670968127264
"9","tapoa","key_score","3-/-4",0.224413215876593
"10","tapoa","key_score","4-/-1",0.0142488148381839
"11","tapoa","key_score","4-/-2",0.0513702018490544
"12","tapoa","key_score","4-/-3",0.0358630670192604
"13","tapoa","key_score","4-/-4",0.263133655025191
"14","tapoa","key_score","5-/-2",0.00162972250851429
"15","tapoa","key_score","5-/-4",0.0178510399289086
"16","tapoa","score_final","2",0.123695959030567
"17","tapoa","score_final","3",0.333413340610965
"18","tapoa","score_final","4",0.523409937921045
"19","tapoa","score_final","5",0.0194807624374229
"20","tapoa","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0203829273229162
"21","tapoa","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.0949437679902252
"22","tapoa","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0385107926311783
"23","tapoa","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0908086611603357
"24","tapoa","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0428579586176102
"25","tapoa","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0623890733077561
"26","tapoa","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.008958964216839
"27","tapoa","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0100759417628776
"28","tapoa","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.052464670188882
"29","tapoa","key_sanit","open_defec-/-NA-/-no_soap",0.337009315195054
"30","tapoa","key_sanit","open_defec-/-NA-/-nsp",2.48772448567838e-05
"31","tapoa","key_sanit","open_defec-/-NA-/-soap",0.241573050361469
"32","tapoa","sanit_score","1",0.0949461299883491
"33","tapoa","sanit_score","2",0.22605095550486
"34","tapoa","sanit_score","3",0.10040615505701
"35","tapoa","sanit_score","4",0.578596759449781
"36","tapoa","key_water","just_sufficient-/-improved_less_30",0.005978236636747
"37","tapoa","key_water","just_sufficient-/-improved_more_30",0.0978591807438755
"38","tapoa","key_water","more_sufficient-/-improved_less_30",0.0255704752467999
"39","tapoa","key_water","more_sufficient-/-improved_more_30",0.00782889161443079
"40","tapoa","key_water","more_sufficient-/-improved_premises",0.00244409826645771
"41","tapoa","key_water","more_sufficient-/-surface_water",0.00897356447866088
"42","tapoa","key_water","more_sufficient-/-unimproved",0.042167386014939
"43","tapoa","key_water","not_sufficient-/-improved_less_30",0.0375557969480126
"44","tapoa","key_water","not_sufficient-/-improved_more_30",0.29434528922379
"45","tapoa","key_water","not_sufficient-/-unimproved",0.0613127173988306
"46","tapoa","key_water","not_sufficient_at_all-/-improved_more_30",0.0118569307304586
"47","tapoa","key_water","not_sufficient_at_all-/-unimproved",0.00762334628947818
"48","tapoa","key_water","sufficient-/-improved_less_30",0.0981470410247684
"49","tapoa","key_water","sufficient-/-improved_more_30",0.258981097059772
"50","tapoa","key_water","sufficient-/-improved_premises",0.0122204913322886
"51","tapoa","key_water","sufficient-/-unimproved",0.0271354569906899
"52","tapoa","water_score","1",0.00244409826645771
"53","tapoa","water_score","2",0.135938007603857
"54","tapoa","water_score","3",0.477506046008467
"55","tapoa","water_score","4",0.364631571101281
"56","tapoa","water_score","5",0.0194802770199368
