"","admin2","indicator","choice","bfa_2020"
"1","tuy","key_score","2-/-1",0.00103964365524288
"2","tuy","key_score","2-/-2",0.00311893096572864
"3","tuy","key_score","2-/-3",0.00103964365524288
"4","tuy","key_score","3-/-2",0.193122955395192
"5","tuy","key_score","3-/-3",0.119472129313451
"6","tuy","key_score","3-/-4",0.434026073411817
"7","tuy","key_score","4-/-2",0.059216242829104
"8","tuy","key_score","4-/-3",0.00103964365524288
"9","tuy","key_score","4-/-4",0.00207928731048576
"10","tuy","key_score","5-/-2",0.185845449808492
"11","tuy","score_final","2",0.00415857462097152
"12","tuy","score_final","3",0.37285097119299
"13","tuy","score_final","4",0.437145004377546
"14","tuy","score_final","5",0.185845449808492
"15","tuy","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.00103964365524288
"16","tuy","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0602558864843469
"17","tuy","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.250259910913811
"18","tuy","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.059216242829104
"19","tuy","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.00415857462097152
"20","tuy","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.00207928731048576
"21","tuy","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.186885093463735
"22","tuy","key_sanit","open_defec-/-NA-/-no_soap",0.0644144611053185
"23","tuy","key_sanit","open_defec-/-NA-/-soap",0.371690899616985
"24","tuy","sanit_score","1",0.00103964365524288
"25","tuy","sanit_score","2",0.441303578998517
"26","tuy","sanit_score","3",0.121551416623937
"27","tuy","sanit_score","4",0.436105360722303
"28","tuy","key_water","just_sufficient-/-improved_less_30",0.00415857462097152
"29","tuy","key_water","just_sufficient-/-improved_more_30",0.246101336292839
"30","tuy","key_water","just_sufficient-/-unimproved",0.00103964365524288
"31","tuy","key_water","not_sufficient-/-improved_less_30",0.00103964365524288
"32","tuy","key_water","not_sufficient-/-improved_more_30",0.0602558864843469
"33","tuy","key_water","not_sufficient-/-unimproved",0.00103964365524288
"34","tuy","key_water","not_sufficient_at_all-/-improved_more_30",0.185845449808492
"35","tuy","key_water","sufficient-/-improved_less_30",0.00311893096572864
"36","tuy","key_water","sufficient-/-improved_more_30",0.492202672585678
"37","tuy","key_water","sufficient-/-improved_premises",0.00207928731048576
"38","tuy","key_water","sufficient-/-unimproved",0.00311893096572864
"39","tuy","water_score","2",0.0051982182762144
"40","tuy","water_score","3",0.746621158120461
"41","tuy","water_score","4",0.0623351737948327
"42","tuy","water_score","5",0.185845449808492
