admin2,indicator,choice,bfa_2020,choice_key
yagha,access_to_soap,non,0.3279433735453114,access_to_soapnon
yagha,access_to_soap,nsp,0.002172329458986253,access_to_soapnsp
yagha,access_to_soap,oui,0.6698842969957024,access_to_soapoui
yagha,critical_handwashing_times,nsp,0,critical_handwashing_timesnsp
yagha,critical_handwashing_times,autre,0.006516988376958759,critical_handwashing_timesautre
yagha,critical_handwashing_times,ablution,0.7878667976436791,critical_handwashing_timesablution
yagha,critical_handwashing_times,retour_champ,0.3166361565558984,critical_handwashing_timesretour_champ
yagha,critical_handwashing_times,avant_sein,0.31662028640821277,critical_handwashing_timesavant_sein
yagha,critical_handwashing_times,apres_netto,0.27868377766299324,critical_handwashing_timesapres_netto
yagha,critical_handwashing_times,avant_prepare,0.4230340652900749,critical_handwashing_timesavant_prepare
yagha,critical_handwashing_times,avant_manger,1,critical_handwashing_timesavant_manger
yagha,critical_handwashing_times,apres_toilette,0.6669262991491646,critical_handwashing_timesapres_toilette
yagha,critical_handwashing_times,aucun,0,critical_handwashing_timesaucun
yagha,diarrhea_rate_hh_2w,NA,0.42739627395574464,diarrhea_rate_hh_2wNA
yagha,distance_to_water_source,eau_concession,0.04164516097771635,distance_to_water_sourceeau_concession
yagha,distance_to_water_source,entre_16_30mn,0.13236182617856046,distance_to_water_sourceentre_16_30mn
yagha,distance_to_water_source,entre_31_45mn,0.13068423283910627,distance_to_water_sourceentre_31_45mn
yagha,distance_to_water_source,entre_5_15mn,0.028949219535878045,distance_to_water_sourceentre_5_15mn
yagha,distance_to_water_source,plus_46mn,0.6663595604687389,distance_to_water_sourceplus_46mn
yagha,fcs_score,acceptable,0.5004944260254909,fcs_scoreacceptable
yagha,fcs_score,limite,0.3156532879896815,fcs_scorelimite
yagha,fcs_score,pauvre,0.18385228598482758,fcs_scorepauvre
yagha,gbv_30days,NA,0.3784748670592453,gbv_30daysNA
yagha,hhs_score,NA,1.051878389426712,hhs_scoreNA
yagha,hhs_thresholds,faim_moderee,0.31553335156221834,hhs_thresholdsfaim_moderee
yagha,hhs_thresholds,faim_severe,0.022125475925198954,hhs_thresholdsfaim_severe
yagha,hhs_thresholds,peu_pasFaim,0.6623411725125827,hhs_thresholdspeu_pasFaim
yagha,lcsi_score,crisis,0.26514926426747115,lcsi_scorecrisis
yagha,lcsi_score,emergency,0.04504295726871777,lcsi_scoreemergency
yagha,lcsi_score,none,0.35059711908400387,lcsi_scorenone
yagha,lcsi_score,stress,0.33921065937980727,lcsi_scorestress
yagha,livelihoods_change_pratique_agri,non,0.410005496705891,livelihoods_change_pratique_agrinon
yagha,livelihoods_change_pratique_agri,non_applicable,0.013779288020649694,livelihoods_change_pratique_agrinon_applicable
yagha,livelihoods_change_pratique_agri,oui,0.5762152152734594,livelihoods_change_pratique_agrioui
yagha,livelihoods_change_pratique_agri_prob,acces_terre,0.06668850786636621,livelihoods_change_pratique_agri_probacces_terre
yagha,livelihoods_change_pratique_agri_prob,acces_terre insecurite,0.00863094147865457,livelihoods_change_pratique_agri_probacces_terre insecurite
yagha,livelihoods_change_pratique_agri_prob,acces_terre insecurite sol_pauvre,5.1725761835483e-4,livelihoods_change_pratique_agri_probacces_terre insecurite sol_pauvre
yagha,livelihoods_change_pratique_agri_prob,acces_terre sol_pauvre insuff_pluie,0.028021678297740223,livelihoods_change_pratique_agri_probacces_terre sol_pauvre insuff_pluie
yagha,livelihoods_change_pratique_agri_prob,autre,0.005298293502012557,livelihoods_change_pratique_agri_probautre
yagha,livelihoods_change_pratique_agri_prob,autre acces_terre,3.0296799787654665e-4,livelihoods_change_pratique_agri_probautre acces_terre
yagha,livelihoods_change_pratique_agri_prob,cultive,0.07431164132541393,livelihoods_change_pratique_agri_probcultive
yagha,livelihoods_change_pratique_agri_prob,inondation acces_terre,3.0296799787654665e-4,livelihoods_change_pratique_agri_probinondation acces_terre
yagha,livelihoods_change_pratique_agri_prob,insecurite,0.3749674682721939,livelihoods_change_pratique_agri_probinsecurite
yagha,livelihoods_change_pratique_agri_prob,insecurite acces_terre,0.011505490997654754,livelihoods_change_pratique_agri_probinsecurite acces_terre
yagha,livelihoods_change_pratique_agri_prob,insecurite insuff_pluie inondation,0.020643880155798468,livelihoods_change_pratique_agri_probinsecurite insuff_pluie inondation
yagha,livelihoods_change_pratique_agri_prob,insecurite sol_pauvre insuff_pluie,0.005298293502012557,livelihoods_change_pratique_agri_probinsecurite sol_pauvre insuff_pluie
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie,0.11028314202010715,livelihoods_change_pratique_agri_probinsuff_pluie
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie finance insecurite,0.005298293502012557,livelihoods_change_pratique_agri_probinsuff_pluie finance insecurite
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie inondation semence,0.08772254237316657,livelihoods_change_pratique_agri_probinsuff_pluie inondation semence
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie insecurite,6.059359957530933e-4,livelihoods_change_pratique_agri_probinsuff_pluie insecurite
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie main_oeuvre,3.0296799787654665e-4,livelihoods_change_pratique_agri_probinsuff_pluie main_oeuvre
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie semence inondation,0.022858959839091406,livelihoods_change_pratique_agri_probinsuff_pluie semence inondation
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie semence main_oeuvre,0.043861271186583284,livelihoods_change_pratique_agri_probinsuff_pluie semence main_oeuvre
yagha,livelihoods_change_pratique_agri_prob,insuff_pluie sol_pauvre main_oeuvre,0.021002311347491878,livelihoods_change_pratique_agri_probinsuff_pluie sol_pauvre main_oeuvre
yagha,livelihoods_change_pratique_agri_prob,main_oeuvre,0.005298293502012557,livelihoods_change_pratique_agri_probmain_oeuvre
yagha,livelihoods_change_pratique_agri_prob,main_oeuvre insuff_pluie,0.015312310605402283,livelihoods_change_pratique_agri_probmain_oeuvre insuff_pluie
yagha,livelihoods_change_pratique_agri_prob,main_oeuvre insuff_pluie insecurite,0.020643880155798468,livelihoods_change_pratique_agri_probmain_oeuvre insuff_pluie insecurite
yagha,livelihoods_change_pratique_agri_prob,nsp,0.021002311347491878,livelihoods_change_pratique_agri_probnsp
yagha,livelihoods_change_pratique_agri_prob,semence,0.005298293502012557,livelihoods_change_pratique_agri_probsemence
yagha,livelihoods_change_pratique_agri_prob,semence main_oeuvre acces_terre,5.1725761835483e-4,livelihoods_change_pratique_agri_probsemence main_oeuvre acces_terre
yagha,livelihoods_change_pratique_agri_prob,sol_pauvre insuff_pluie insecurite,0.020643880155798468,livelihoods_change_pratique_agri_probsol_pauvre insuff_pluie insecurite
yagha,livelihoods_change_pratique_agri_prob,sol_pauvre main_oeuvre insuff_pluie,0.022858959839091406,livelihoods_change_pratique_agri_probsol_pauvre main_oeuvre insuff_pluie
yagha,location_sanitation_facility,dal_eau,0.04886678807161092,location_sanitation_facilitydal_eau
