"","admin2","indicator","choice","bfa_2020"
"1","yagha","key_score","1-/-1",0.00659011858916542
"2","yagha","key_score","2-/-1",0.0201471931461673
"3","yagha","key_score","2-/-2",0.0320196990767117
"4","yagha","key_score","2-/-3",0.0044031001244798
"5","yagha","key_score","2-/-4",0.0250174882283458
"6","yagha","key_score","3-/-1",0.111476360140644
"7","yagha","key_score","3-/-2",0.114836504749398
"8","yagha","key_score","3-/-3",0.0520872701448313
"9","yagha","key_score","3-/-4",0.116140376605541
"10","yagha","key_score","4-/-1",0.124600221511421
"11","yagha","key_score","4-/-2",0.0966653038406308
"12","yagha","key_score","4-/-3",0.0604322449777475
"13","yagha","key_score","4-/-4",0.209254292855806
"14","yagha","key_score","5-/-2",0.010904398108509
"15","yagha","key_score","5-/-4",0.0154254279006015
"16","yagha","score_final","1",0.00659011858916542
"17","yagha","score_final","2",0.288243473874945
"18","yagha","score_final","3",0.293009667087685
"19","yagha","score_final","4",0.385826914439094
"20","yagha","score_final","5",0.0263298260091105
"21","yagha","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0771941629792266
"22","yagha","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.259962045137237
"23","yagha","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.00898595117291676
"24","yagha","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0430599168246387
"25","yagha","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.0633740263561828
"26","yagha","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.0208665253308132
"27","yagha","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.040959681128489
"28","yagha","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.00640394103640685
"29","yagha","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0363375292519988
"30","yagha","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0786034145175544
"31","yagha","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.00398257293086655
"32","yagha","key_sanit","open_defec-/-NA-/-no_soap",0.146584159770837
"33","yagha","key_sanit","open_defec-/-NA-/-nsp",0.00217286928030484
"34","yagha","key_sanit","open_defec-/-NA-/-soap",0.211513204282527
"35","yagha","sanit_score","1",0.260528138726531
"36","yagha","sanit_score","2",0.260697747107588
"37","yagha","sanit_score","3",0.115905711576872
"38","yagha","sanit_score","4",0.36286840258901
"39","yagha","key_water","just_sufficient-/-improved_less_30",0.0321472870393708
"40","yagha","key_water","just_sufficient-/-improved_more_30",0.160193757364002
"41","yagha","key_water","just_sufficient-/-improved_premises",0.00231664766204991
"42","yagha","key_water","more_sufficient-/-improved_less_30",0.0043826838845266
"43","yagha","key_water","more_sufficient-/-improved_premises",0.0065740258267899
"44","yagha","key_water","not_sufficient-/-improved_less_30",0.0401164890173918
"45","yagha","key_water","not_sufficient-/-improved_more_30",0.459943891137368
"46","yagha","key_water","not_sufficient-/-improved_premises",0.0043826838845266
"47","yagha","key_water","not_sufficient-/-surface_water",0.0137809375211271
"48","yagha","key_water","not_sufficient_at_all-/-improved_less_30",0.0107295251175205
"49","yagha","key_water","not_sufficient_at_all-/-improved_more_30",0.0151081354790089
"50","yagha","key_water","not_sufficient_at_all-/-unimproved",0.000427869204914981
"51","yagha","key_water","sufficient-/-improved_less_30",0.0463171126006708
"52","yagha","key_water","sufficient-/-improved_more_30",0.159178798180287
"53","yagha","key_water","sufficient-/-improved_premises",0.0283718036043499
"54","yagha","key_water","sufficient-/-surface_water",0.0160283524760942
"55","yagha","water_score","1",0.0065740258267899
"56","yagha","water_score","2",0.0813882477515973
"57","yagha","water_score","3",0.396019015485579
"58","yagha","water_score","4",0.48975318113459
"59","yagha","water_score","5",0.0262655298014444
