"","admin2","indicator","choice","bfa_2020"
"1","yatenga","key_score","1-/-1",0.0207598800779523
"2","yatenga","key_score","2-/-1",0.0217084004287554
"3","yatenga","key_score","2-/-2",0.0646261243946079
"4","yatenga","key_score","2-/-3",0.0393919182158115
"5","yatenga","key_score","2-/-4",0.0348075101533219
"6","yatenga","key_score","3-/-1",0.106721052773116
"7","yatenga","key_score","3-/-2",0.228637718686885
"8","yatenga","key_score","3-/-3",0.10193998587996
"9","yatenga","key_score","3-/-4",0.139453719614224
"10","yatenga","key_score","4-/-1",0.0089546502753804
"11","yatenga","key_score","4-/-2",0.0719748185021798
"12","yatenga","key_score","4-/-3",0.0261292410144381
"13","yatenga","key_score","4-/-4",0.124563902987712
"14","yatenga","key_score","5-/-2",0.00979842898068354
"15","yatenga","key_score","5-/-4",0.000532648014973141
"16","yatenga","score_final","1",0.0207598800779523
"17","yatenga","score_final","2",0.20201022787186
"18","yatenga","score_final","3",0.476751951438158
"19","yatenga","score_final","4",0.290146863616374
"20","yatenga","score_final","5",0.0103310769956567
"21","yatenga","key_sanit","latrine_hygienic-/-not_shared-/-no_soap",0.0287762467970316
"22","yatenga","key_sanit","latrine_hygienic-/-not_shared-/-nsp",0.00722188795058476
"23","yatenga","key_sanit","latrine_hygienic-/-not_shared-/-soap",0.155245852357929
"24","yatenga","key_sanit","latrine_hygienic-/-shared_20to50-/-no_soap",0.00458881790241245
"25","yatenga","key_sanit","latrine_hygienic-/-shared_20to50-/-soap",0.0225575572003701
"26","yatenga","key_sanit","latrine_hygienic-/-shared_less20-/-no_soap",0.0586321688795164
"27","yatenga","key_sanit","latrine_hygienic-/-shared_less20-/-soap",0.230096630345159
"28","yatenga","key_sanit","latrine_hygienic-/-shared_more50-/-no_soap",0.014473930648453
"29","yatenga","key_sanit","latrine_hygienic-/-shared_more50-/-soap",0.0133298729146228
"30","yatenga","key_sanit","latrine_nonhygienic-/-not_shared-/-no_soap",0.00217965197433234
"31","yatenga","key_sanit","latrine_nonhygienic-/-not_shared-/-soap",0.0709414736622921
"32","yatenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-no_soap",0.0532039536550175
"33","yatenga","key_sanit","latrine_nonhygienic-/-shared_20to50-/-soap",0.0494922949294682
"34","yatenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-no_soap",0.0191408895195297
"35","yatenga","key_sanit","latrine_nonhygienic-/-shared_less20-/-soap",0.0428460136653663
"36","yatenga","key_sanit","latrine_nonhygienic-/-shared_more50-/-no_soap",0.00453907068314726
"37","yatenga","key_sanit","latrine_nonhygienic-/-shared_more50-/-soap",0.0117325077638177
"38","yatenga","key_sanit","open_defec-/-NA-/-no_soap",0.097884777596472
"39","yatenga","key_sanit","open_defec-/-NA-/-soap",0.113116401554478
"40","yatenga","sanit_score","1",0.156375176359853
"41","yatenga","sanit_score","2",0.375371253603242
"42","yatenga","sanit_score","3",0.166535133491753
"43","yatenga","sanit_score","4",0.301718436545152
"44","yatenga","key_water","just_sufficient-/-improved_less_30",0.000296117670156995
"45","yatenga","key_water","just_sufficient-/-improved_more_30",0.0588331449089301
"46","yatenga","key_water","just_sufficient-/-surface_water",0.000377538657780785
"47","yatenga","key_water","just_sufficient-/-unimproved",0.0748429833747979
"48","yatenga","key_water","more_sufficient-/-improved_less_30",0.0417087007518667
"49","yatenga","key_water","more_sufficient-/-improved_more_30",0.0802886165287468
"50","yatenga","key_water","more_sufficient-/-improved_premises",0.0203142055675268
"51","yatenga","key_water","more_sufficient-/-unimproved",0.035586257191909
"52","yatenga","key_water","not_sufficient-/-improved_less_30",0.0254063737626646
"53","yatenga","key_water","not_sufficient-/-improved_more_30",0.0828184785941989
"54","yatenga","key_water","not_sufficient-/-improved_premises",0.00156363927402322
"55","yatenga","key_water","not_sufficient-/-unimproved",0.0740147575544152
"56","yatenga","key_water","not_sufficient_at_all-/-improved_more_30",0.00282262334472514
"57","yatenga","key_water","not_sufficient_at_all-/-unimproved",0.00728666539083956
"58","yatenga","key_water","sufficient-/-improved_less_30",0.0684600162713315
"59","yatenga","key_water","sufficient-/-improved_more_30",0.235373805038966
"60","yatenga","key_water","sufficient-/-improved_premises",0.0469188823981263
"61","yatenga","key_water","sufficient-/-surface_water",0.00179513663569072
"62","yatenga","key_water","sufficient-/-unimproved",0.141292057083304
"63","yatenga","water_score","1",0.0203142055675268
"64","yatenga","water_score","2",0.157087599421324
"65","yatenga","water_score","3",0.5786400114587
"66","yatenga","water_score","4",0.233848894816884
"67","yatenga","water_score","5",0.0101092887355647
