admin2,score_1,score_2,score_3,score_4,score_5,score_final,soudano_sahelien,sahelien,soudanais,score_final_ch,host,pdi
bale,NA,0.38240599810769094,0.39783533480163913,0.20453515556061483,0.015223511530055038,4,soudano_sahelien,NA,NA,1,139,NA
bam,0.01209442866168919,0.19904626389062915,0.43233603645477914,0.35042978915512324,0.006093481837779177,4,NA,sahelien,NA,3,131,111
banwa,0.007103733279065479,0.24199101243776464,0.5036908965457483,0.2187994246211596,0.028414933116261917,4,soudano_sahelien,NA,NA,1,145,NA
bazega,NA,0.17915563870444048,0.5628474143861385,0.2579969469094211,NA,4,soudano_sahelien,NA,NA,2,56,NA
bougouriba,NA,0.11172283749921658,0.47252808541627495,0.3882771625007834,0.027471914583725048,4,NA,NA,soudanais,1,24,NA
boulgou,0.044489033740051635,0.24598204008349375,0.43177356857471255,0.277755357601742,NA,4,soudano_sahelien,NA,soudanais,2,57,8
boulkiemde,NA,0.5014315154934043,0.1938290359162402,0.27221080539165965,0.03252864319869588,4,soudano_sahelien,NA,NA,2,55,NA
comoe,NA,0.4041619616807695,0.41715974225240243,0.16769462212330838,0.010983673943519639,3,NA,NA,soudanais,1,119,47
ganzourgou,NA,0.31003909496064624,0.41695352876821123,0.26580363032068516,0.007203745950457351,4,soudano_sahelien,NA,NA,2,72,16
gnagna,0.006549140582268414,0.1167290172663882,0.3174282114644019,0.3858169729571008,0.17347665772984067,4,soudano_sahelien,sahelien,NA,2,144,NA
gourma,NA,0.18235230980157605,0.3859085682932319,0.3793285424822046,0.05241057942298744,4,soudano_sahelien,NA,NA,2,134,115
houet,NA,0.44707233610121155,0.37935906693575766,0.17331163958703483,2.56957375995917e-4,3,soudano_sahelien,NA,soudanais,1,83,21
ioba,NA,0.07678702656213512,0.28862467969214783,0.624161362779039,0.01042693096667817,4,soudano_sahelien,NA,soudanais,2,56,NA
kadiogo,0.024083677065845903,0.6725749825146263,0.2290364372024741,0.06627701086177185,0.008027892355281967,3,soudano_sahelien,NA,NA,2,128,NA
kenedougou,NA,0.4453351411403581,0.41552816662165293,0.13913669223798905,NA,3,soudano_sahelien,NA,soudanais,1,30,15
