admin2,indicator,choice,value,context
bale,hhs_score,Phase,2,bfa_2020
bam,hhs_score,Phase,1,bfa_2020
banwa,hhs_score,Phase,2,bfa_2020
bazega,hhs_score,Phase,3,bfa_2020
bougouriba,hhs_score,Phase,3,bfa_2020
boulgou,hhs_score,Phase,3,bfa_2020
boulkiemde,hhs_score,Phase,3,bfa_2020
comoe,hhs_score,Phase,2,bfa_2020
ganzourgou,hhs_score,Phase,2,bfa_2020
gnagna,hhs_score,Phase,3,bfa_2020
gourma,hhs_score,Phase,3,bfa_2020
houet,hhs_score,Phase,2,bfa_2020
ioba,hhs_score,Phase,3,bfa_2020
kadiogo,hhs_score,Phase,2,bfa_2020
kenedougou,hhs_score,Phase,3,bfa_2020
komonjdjari,hhs_score,Phase,3,bfa_2020
kompienga,hhs_score,Phase,3,bfa_2020
kossi,hhs_score,Phase,3,bfa_2020
koulpelogo,hhs_score,Phase,3,bfa_2020
kouritenga,hhs_score,Phase,3,bfa_2020
kourweogo,hhs_score,Phase,3,bfa_2020
leraba,hhs_score,Phase,2,bfa_2020
loroum,hhs_score,Phase,2,bfa_2020
mouhoun,hhs_score,Phase,3,bfa_2020
nahouri,hhs_score,Phase,3,bfa_2020
namentenga,hhs_score,Phase,2,bfa_2020
nayala,hhs_score,Phase,3,bfa_2020
oubritenga,hhs_score,Phase,3,bfa_2020
oudalan,hhs_score,Phase,3,bfa_2020
passore,hhs_score,Phase,3,bfa_2020
poni,hhs_score,Phase,2,bfa_2020
sanguie,hhs_score,Phase,3,bfa_2020
sanmatenga,hhs_score,Phase,2,bfa_2020
seno,hhs_score,Phase,3,bfa_2020
sissili,hhs_score,Phase,1,bfa_2020
soum,hhs_score,Phase,3,bfa_2020
sourou,hhs_score,Phase,3,bfa_2020
tapoa,hhs_score,Phase,3,bfa_2020
tuy,hhs_score,Phase,3,bfa_2020
yagha,hhs_score,Phase,3,bfa_2020
yatenga,hhs_score,Phase,2,bfa_2020
ziro,hhs_score,Phase,3,bfa_2020
zondoma,hhs_score,Phase,3,bfa_2020
zoundweogo,hhs_score,Phase,3,bfa_2020
bale,rcsi_score,Phase,2,bfa_2020
bam,rcsi_score,Phase,2,bfa_2020
banwa,rcsi_score,Phase,2,bfa_2020
bazega,rcsi_score,Phase,3,bfa_2020
bougouriba,rcsi_score,Phase,3,bfa_2020
boulgou,rcsi_score,Phase,3,bfa_2020
boulkiemde,rcsi_score,Phase,3,bfa_2020
comoe,rcsi_score,Phase,2,bfa_2020
ganzourgou,rcsi_score,Phase,2,bfa_2020
gnagna,rcsi_score,Phase,3,bfa_2020
gourma,rcsi_score,Phase,3,bfa_2020
houet,rcsi_score,Phase,2,bfa_2020
ioba,rcsi_score,Phase,2,bfa_2020
kadiogo,rcsi_score,Phase,2,bfa_2020
kenedougou,rcsi_score,Phase,2,bfa_2020
komonjdjari,rcsi_score,Phase,3,bfa_2020
kompienga,rcsi_score,Phase,3,bfa_2020
kossi,rcsi_score,Phase,2,bfa_2020
koulpelogo,rcsi_score,Phase,2,bfa_2020
kouritenga,rcsi_score,Phase,2,bfa_2020
kourweogo,rcsi_score,Phase,2,bfa_2020
leraba,rcsi_score,Phase,2,bfa_2020
loroum,rcsi_score,Phase,3,bfa_2020
mouhoun,rcsi_score,Phase,2,bfa_2020
nahouri,rcsi_score,Phase,2,bfa_2020
namentenga,rcsi_score,Phase,2,bfa_2020
nayala,rcsi_score,Phase,3,bfa_2020
oubritenga,rcsi_score,Phase,2,bfa_2020
oudalan,rcsi_score,Phase,3,bfa_2020
passore,rcsi_score,Phase,3,bfa_2020
poni,rcsi_score,Phase,2,bfa_2020
sanguie,rcsi_score,Phase,3,bfa_2020
sanmatenga,rcsi_score,Phase,3,bfa_2020
seno,rcsi_score,Phase,3,bfa_2020
sissili,rcsi_score,Phase,2,bfa_2020
soum,rcsi_score,Phase,3,bfa_2020
sourou,rcsi_score,Phase,2,bfa_2020
tapoa,rcsi_score,Phase,3,bfa_2020
tuy,rcsi_score,Phase,2,bfa_2020
