"","admin1","admin2","admin3","water_source","time_going_water_source","time_queing_water_source","sufficiency_of_water","access_to_soap","uuid","cluster_id","distance_to_water_source","weights","type_of_sanitation_facility","sanitation_facility_sharing","water_source_dist","key_water","key_sanit","water_score","sanit_score","key_score","score","score_final","admin0"
"1","centre_est","koulpelogo","ouargaye","improved","less_30","less_30","sufficient","no_soap","f3227fe6-78ba-490b-9480-0f31750ac1f6","BF480204_pdi","less_30","0.03451270688","open_defec",NA,"improved_less_30","sufficient-/-improved_less_30","open_defec-/-NA-/-no_soap",2,4,"2-/-4","3",3,"BFA"
"2","centre_est","koulpelogo","ouargaye","improved","more_30","less_30","sufficient","no_soap","e27b5949-728e-4913-b07f-c94a1b278ace","BF480204_pdi","more_30","0.03451270688","open_defec",NA,"improved_more_30","sufficient-/-improved_more_30","open_defec-/-NA-/-no_soap",3,4,"3-/-4","4",4,"BFA"
"3","centre_est","koulpelogo","ouargaye","improved","less_30","less_30","sufficient","no_soap","127ce1fa-e05c-4b3e-9eca-8df58a4c61de","BF480204_pdi","less_30","0.03451270688","latrine_nonhygienic","shared_less20","improved_less_30","sufficient-/-improved_less_30","latrine_nonhygienic-/-shared_less20-/-no_soap",2,3,"2-/-3","3",3,"BFA"
"4","centre_est","koulpelogo","ouargaye","improved","less_30","less_30","sufficient","soap","994088cf-ac1e-4174-9ecb-ff2201d98655","BF480204_pdi","less_30","0.03451270688","latrine_hygienic","not_shared","improved_less_30","sufficient-/-improved_less_30","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"5","centre_est","koulpelogo","ouargaye","improved","less_30","less_30","sufficient","no_soap","afff9552-7ae6-403c-b688-f501285458a2","BF480204_pdi","less_30","0.03451270688","latrine_hygienic","shared_20to50","improved_less_30","sufficient-/-improved_less_30","latrine_hygienic-/-shared_20to50-/-no_soap",2,4,"2-/-4","3",3,"BFA"
"6","sahel","seno","dori","improved","more_30","more_30","sufficient","soap","ec37cd9c-27a4-4a48-8ac5-ceef62c3cfc7","BF560202_host","more_30","0.5743344605","latrine_hygienic","shared_less20","improved_more_30","sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"7","sahel","seno","dori","improved","more_30","more_30","not_sufficient","soap","7747b2f3-e375-482b-a8b7-a0787e5eecec","BF560202_host","more_30","0.5743344605","latrine_hygienic","shared_less20","improved_more_30","not_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",4,2,"4-/-2","3",3,"BFA"
"8","sahel","seno","dori","improved","more_30","more_30","just_sufficient","soap","8d6dc847-a339-4135-b8a7-130c125d47ed","BF560202_host","more_30","0.5743344605","latrine_hygienic","shared_less20","improved_more_30","just_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"9","sahel","seno","dori","improved","premises","premises","sufficient","soap","b27702a6-576f-494f-aab7-c625b6b130d5","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"10","sahel","seno","dori","improved","more_30","more_30","not_sufficient","soap","28d6720d-263a-4d5f-a849-2017aa3ad1e3","BF560202_host","more_30","0.5743344605","latrine_hygienic","not_shared","improved_more_30","not_sufficient-/-improved_more_30","latrine_hygienic-/-not_shared-/-soap",4,1,"4-/-1","2",2,"BFA"
"11","sahel","seno","dori","improved","premises","premises","sufficient","soap","3a2e9c58-a17b-4ca5-8c27-ec4296ef3e94","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"12","sahel","seno","dori","improved","premises","premises","just_sufficient","soap","af15720a-b9fa-4b2d-bdaf-465757705c40","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","just_sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"13","sahel","seno","dori","improved","less_30","less_30","not_sufficient","soap","36f954b4-1d41-4ffd-9b0a-5df214355ac6","BF560202_host","more_30","0.5743344605","latrine_nonhygienic","not_shared","improved_more_30","not_sufficient-/-improved_more_30","latrine_nonhygienic-/-not_shared-/-soap",4,2,"4-/-2","3",3,"BFA"
"14","sahel","seno","dori","improved","premises","premises","sufficient","soap","db71aceb-476f-46c7-9400-b798f6a8033e","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"15","sahel","seno","dori","improved","premises","premises","not_sufficient_at_all","soap","f0ec7af4-3a56-461c-89ea-4c6427cd5a26","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","not_sufficient_at_all-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",5,1,"5-/-1","5",5,"BFA"
"16","sahel","seno","dori","improved","premises","premises","not_sufficient","soap","300714a4-9801-4900-909f-0c908ee78edc","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","not_sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",3,1,"3-/-1","2",2,"BFA"
"17","sahel","seno","dori","improved","less_30","more_30","not_sufficient","soap","23f8a12a-b421-4f55-aa85-30babd6fc7a8","BF560202_host","more_30","0.5743344605","latrine_nonhygienic","not_shared","improved_more_30","not_sufficient-/-improved_more_30","latrine_nonhygienic-/-not_shared-/-soap",4,2,"4-/-2","3",3,"BFA"
"18","centre_nord","sanmatenga","kaya","improved","more_30","more_30","sufficient","soap","5c08cd0a-e0a8-4586-813f-28e06cd1cead","BF490304_pdi","more_30","1.517545689","latrine_nonhygienic","shared_less20","improved_more_30","sufficient-/-improved_more_30","latrine_nonhygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"19","centre_nord","sanmatenga","kaya","improved","more_30","more_30","sufficient","soap","ba6963b0-7f35-4d20-9a3f-14df0dbfd626","BF490304_pdi","more_30","1.517545689","latrine_nonhygienic","shared_less20","improved_more_30","sufficient-/-improved_more_30","latrine_nonhygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"20","centre_nord","sanmatenga","kaya","improved","more_30","more_30","just_sufficient","soap","49e90885-1231-4e4c-84e1-d45adee40891","BF490304_pdi","more_30","1.517545689","latrine_nonhygienic","not_shared","improved_more_30","just_sufficient-/-improved_more_30","latrine_nonhygienic-/-not_shared-/-soap",3,2,"3-/-2","3",3,"BFA"
"21","centre_nord","sanmatenga","kaya","improved","less_30","more_30","just_sufficient","soap","cc24391c-4693-41f8-8848-27b3bbcf1014","BF490304_pdi","more_30","1.517545689","latrine_hygienic","shared_less20","improved_more_30","just_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"22","centre_nord","sanmatenga","kaya","improved","less_30","more_30","just_sufficient","no_soap","4afe1283-1fba-45df-9ab4-73d1338cd35c","BF490304_pdi","more_30","1.517545689","latrine_hygienic","shared_less20","improved_more_30","just_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-no_soap",3,3,"3-/-3","3",3,"BFA"
"23","centre_nord","sanmatenga","kaya","improved","less_30","more_30","just_sufficient","soap","0fe93dcd-4936-45b1-83a5-7487aa27166f","BF490304_pdi","more_30","1.517545689","latrine_nonhygienic","shared_less20","improved_more_30","just_sufficient-/-improved_more_30","latrine_nonhygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"24","centre_nord","sanmatenga","kaya","improved","less_30","more_30","not_sufficient","no_soap","5518162e-bacf-4bc5-b95d-0c72d7e6396c","BF490304_pdi","more_30","1.517545689","latrine_nonhygienic","shared_less20","improved_more_30","not_sufficient-/-improved_more_30","latrine_nonhygienic-/-shared_less20-/-no_soap",4,3,"4-/-3","4",4,"BFA"
"25","centre_nord","sanmatenga","kaya","improved","less_30","more_30","sufficient","soap","17919858-e9a6-403a-8123-9cd44198a756","BF490304_pdi","more_30","1.517545689","latrine_hygienic","shared_less20","improved_more_30","sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"26","centre_nord","sanmatenga","kaya","improved","less_30","less_30","just_sufficient","soap","16eb93fe-698f-4f08-93e3-b14a921316a8","BF490304_pdi","more_30","1.517545689","latrine_hygienic","shared_less20","improved_more_30","just_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"27","centre_nord","sanmatenga","kaya","improved","less_30","less_30","more_sufficient","soap","c6e6f56a-a9b5-4060-89a7-7c97074f8ce6","BF490304_pdi","more_30","1.517545689","latrine_hygienic","not_shared","improved_more_30","more_sufficient-/-improved_more_30","latrine_hygienic-/-not_shared-/-soap",3,1,"3-/-1","2",2,"BFA"
"28","centre_nord","sanmatenga","kaya","improved","less_30","less_30","more_sufficient","soap","db3c0962-a06b-4aa1-ae98-66cf19994fe2","BF490304_pdi","more_30","1.517545689","latrine_hygienic","shared_less20","improved_more_30","more_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"29","centre_nord","sanmatenga","kaya","improved","less_30","more_30","more_sufficient","soap","bf84f703-f414-418a-a90d-f1cbb19b19b2","BF490304_pdi","more_30","1.517545689","latrine_hygienic","shared_less20","improved_more_30","more_sufficient-/-improved_more_30","latrine_hygienic-/-shared_less20-/-soap",3,2,"3-/-2","3",3,"BFA"
"30","sahel","seno","dori","improved","premises","premises","sufficient","soap","069386a1-3179-4183-9cf2-282796b5dc90","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"31","sahel","seno","dori","improved","premises","premises","sufficient","soap","fc82cebb-baca-4dbf-9a06-3baa7c5428f7","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"32","sahel","seno","dori","improved","less_30","less_30","sufficient","soap","4a541d54-af55-4f19-ba71-a14f05e33b8a","BF560202_host","more_30","0.5743344605","latrine_hygienic","not_shared","improved_more_30","sufficient-/-improved_more_30","latrine_hygienic-/-not_shared-/-soap",3,1,"3-/-1","2",2,"BFA"
"33","centre_est","koulpelogo","ouargaye","improved","less_30","more_30","not_sufficient","no_soap","a4aeb966-ada0-4d61-b6f2-0eb9b797b69e","BF480204_pdi","more_30","0.03451270688","open_defec",NA,"improved_more_30","not_sufficient-/-improved_more_30","open_defec-/-NA-/-no_soap",4,4,"4-/-4","4",4,"BFA"
"34","centre_est","koulpelogo","ouargaye","improved","less_30","more_30","not_sufficient","soap","eb1985ee-c6ad-48a8-b7ab-c8aa7cd8dadd","BF480204_pdi","more_30","0.03451270688","open_defec",NA,"improved_more_30","not_sufficient-/-improved_more_30","open_defec-/-NA-/-soap",4,4,"4-/-4","4",4,"BFA"
"35","sahel","seno","dori","improved","premises","premises","sufficient","soap","16cc300c-6b19-41e0-a76b-cce1ed46f5af","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",2,1,"2-/-1","2",2,"BFA"
"36","centre_est","koulpelogo","ouargaye","improved","more_30","more_30","not_sufficient","soap","c53e3eb7-c337-48c8-9e99-0bd0c6fd321a","BF480204_pdi","more_30","0.03451270688","open_defec",NA,"improved_more_30","not_sufficient-/-improved_more_30","open_defec-/-NA-/-soap",4,4,"4-/-4","4",4,"BFA"
"37","sahel","seno","dori","improved","more_30","more_30","just_sufficient","soap","a6b8e171-30cf-411e-9ac8-b615e6ee633c","BF560202_host","more_30","0.5743344605","latrine_nonhygienic","not_shared","improved_more_30","just_sufficient-/-improved_more_30","latrine_nonhygienic-/-not_shared-/-soap",3,2,"3-/-2","3",3,"BFA"
"38","sahel","seno","dori","improved","premises","premises","more_sufficient","soap","50e23693-e8bf-4b2d-b897-53d19e2b9ae8","BF560202_host","premises","0.5743344605","latrine_hygienic","not_shared","improved_premises","more_sufficient-/-improved_premises","latrine_hygienic-/-not_shared-/-soap",1,1,"1-/-1","1",1,"BFA"
"39","centre_est","koulpelogo","ouargaye","improved","more_30","more_30","just_sufficient","no_soap","ca75ec11-322a-4130-802b-d66488d1a564","BF480204_pdi","more_30","0.03451270688","open_defec",NA,"improved_more_30","just_sufficient-/-improved_more_30","open_defec-/-NA-/-no_soap",3,4,"3-/-4","4",4,"BFA"
